# best iteration: (array([27]),)
372966.718750,133479.171875
17.716755,18.990078
456.201172,622.367493
16.426270,18.002485
16.086800,17.526127
15.599019,16.982239
15.176910,16.525812
14.887756,16.218498
33.026382,59.060894
14.224142,15.293272
14.500693,14.378761
10.752677,12.031063
9.323224,10.466352
7.827126,8.832017
2.513797,2.523919
1.788700,1.588243
65.881775,25.594143
1.711101,1.507953
1.875767,1.845414
1.702618,1.498431
1.660127,1.483132
1.644875,1.473276
1.623006,1.459651
1.608490,1.446414
1.522096,1.394963
3.512529,4.820326
1.171386,1.155611
1.111231,1.088558
