# best iteration: (array([28]),)
1027193.500000,80962.867188
18.499315,19.387091
17.430290,18.504005
16.292812,17.561605
15.965074,17.197620
16.231773,17.772230
13.883835,14.760685
12.899570,13.847668
175.401794,37.965118
11.527842,12.733640
10.612863,11.766322
10.076787,11.181529
8.990467,10.547978
6.596213,7.627999
5.684347,7.632989
3.630311,4.329988
145.050018,179.138718
2.963863,3.538325
28.947229,23.611404
2.111167,2.270471
6.639190,13.657600
1.679802,1.571414
1.632604,1.504149
3.049584,3.969755
1.552289,1.418647
1.485289,1.363067
32.785748,51.721901
1.333164,1.251202
1.266000,1.211197
2.356518,1.796253
