# Training inputs, Training outputs, Predictions
-0.993972,1.004831,0.860549
-0.981870,1.162567,0.889337
-0.981870,1.372224,0.889337
-0.978204,0.666917,0.898277
-0.978204,0.598783,0.898277
-0.965073,0.751162,0.931172
-0.965073,1.018278,0.931172
-0.953233,0.764483,0.962037
-0.953233,0.943580,0.962037
-0.929401,1.449349,1.027792
-0.929401,1.138069,1.027792
-0.929401,0.797002,1.027792
-0.929401,0.584579,1.027792
-0.929401,1.072052,1.027792
-0.929401,0.937652,1.027792
-0.888542,1.386226,1.152706
-0.888542,0.843167,1.152706
-0.888542,1.475167,1.152706
-0.884964,0.942975,1.164428
-0.873130,1.161354,1.204142
-0.873130,0.729103,1.204142
-0.862410,1.216989,1.241400
-0.862410,1.242914,1.241400
-0.848646,1.386744,1.291083
-0.848646,1.449413,1.291083
-0.848646,0.704643,1.291083
-0.848646,1.048278,1.291083
-0.848646,1.287451,1.291083
-0.848646,1.805776,1.291083
-0.804611,1.623802,1.464812
-0.795215,2.199097,1.504951
-0.795215,1.748122,1.504951
-0.795215,1.942168,1.504951
-0.791725,1.285618,1.520150
-0.791725,0.181425,1.520150
-0.781187,1.139881,1.566998
-0.771586,1.603039,1.610948
-0.771586,2.033086,1.610948
-0.767891,2.881066,1.628195
-0.767891,2.114084,1.628195
-0.767891,1.113545,1.628195
-0.767891,0.828336,1.628195
-0.767891,1.972902,1.628195
-0.767891,2.605067,1.628195
-0.709930,1.710910,1.923531
-0.701888,1.630590,1.968315
-0.698486,1.273087,1.987548
-0.689243,1.390153,2.040659
-0.689243,1.811639,2.040659
-0.687136,2.265356,2.059104
-0.687136,1.933371,2.059104
-0.687136,1.274842,2.059104
-0.687136,3.744517,2.059104
-0.687136,2.183021,2.059104
-0.687136,1.663283,2.059104
-0.687136,0.717596,2.059104
-0.687136,2.958926,2.059104
-0.680763,1.995148,2.115959
-0.680763,3.672576,2.115959
-0.615250,4.059160,2.757260
-0.608561,2.673171,2.828592
-0.608561,2.578263,2.828592
-0.606381,4.202606,2.852071
-0.606381,2.039067,2.852071
-0.606381,3.178718,2.852071
-0.606381,1.814643,2.852071
-0.606381,1.107795,2.852071
-0.606381,1.340735,2.852071
-0.605247,1.971454,2.864339
-0.597300,3.212313,2.951118
-0.597300,3.726705,2.951118
-0.589940,2.988690,3.032831
-0.525626,6.226206,3.799120
-0.525626,4.560887,3.799120
-0.525626,5.176338,3.799120
-0.525626,2.635549,3.799120
-0.525626,5.225566,3.799120
-0.525626,1.863939,3.799120
-0.525626,3.771064,3.799120
-0.525626,3.136690,3.799120
-0.515234,5.104894,3.931102
-0.512007,2.614826,3.972495
-0.505356,3.191023,4.058414
-0.499117,4.741166,4.139735
-0.499117,4.347554,4.139735
-0.499117,4.408139,4.139735
-0.444872,2.455005,4.871257
-0.444872,6.155305,4.871257
-0.444872,2.898011,4.871257
-0.444872,5.216750,4.871257
-0.425888,6.132444,5.135085
-0.421907,5.732317,5.190749
-0.421907,4.316871,5.190749
-0.421907,6.612280,5.190749
-0.418768,2.237896,5.234696
-0.413413,6.299043,5.309787
-0.408293,4.870001,5.381691
-0.364117,8.044056,6.003074
-0.364117,7.814908,6.003074
-0.364117,4.421831,6.003074
-0.364117,4.673879,6.003074
-0.364117,7.341950,6.003074
-0.364117,3.835321,6.003074
-0.364117,7.432878,6.003074
-0.364117,6.668131,6.003074
-0.331208,8.100733,6.460435
-0.328580,6.457067,6.496513
-0.328580,6.230940,6.496513
-0.325529,5.571392,6.538292
-0.325529,6.989794,6.538292
-0.321470,6.427173,6.593704
-0.321470,7.855793,6.593704
-0.317470,5.720241,6.648083
-0.317470,6.309163,6.648083
-0.283362,6.412641,7.101578
-0.283362,9.897328,7.101578
-0.283362,6.156027,7.101578
-0.283362,8.863805,7.101578
-0.235252,8.395251,7.700341
-0.235252,8.878243,7.700341
-0.232290,4.852961,7.735325
-0.229526,7.230825,7.767737
-0.229526,7.375518,7.767737
-0.226647,7.969801,7.801284
-0.226647,6.546203,7.801284
-0.226647,6.766495,7.801284
-0.202607,7.118819,8.072054
-0.202607,8.596427,8.072054
-0.202607,9.057714,8.072054
-0.202607,8.979139,8.072054
-0.202607,7.208023,8.072054
-0.141925,9.325363,8.675031
-0.141846,10.110300,8.675737
-0.139050,7.031082,8.700575
-0.139050,7.337925,8.700575
-0.137583,9.403059,8.713503
-0.137583,7.864064,8.713503
-0.135824,8.728158,8.728907
-0.135824,9.260781,8.728907
-0.121852,9.925859,8.847506
-0.121852,8.797782,8.847506
-0.121852,8.610460,8.847506
-0.121852,9.460785,8.847506
-0.121852,8.401158,8.847506
-0.121852,8.434893,8.847506
-0.121852,8.589450,8.847506
-0.121852,9.448814,8.847506
-0.121852,9.165090,8.847506
-0.048598,9.270610,9.361093
-0.048598,9.523193,9.361093
-0.045811,9.192746,9.377120
-0.045640,9.330460,9.378098
-0.045000,8.838596,9.381737
-0.041097,9.707897,9.403664
-0.041097,9.062654,9.403664
-0.041097,9.747330,9.403664
-0.041097,9.678393,9.403664
-0.041097,9.444369,9.403664
0.039658,9.642720,9.382271
0.039658,9.508821,9.382271
0.039658,8.682829,9.382271
0.039658,8.596877,9.382271
0.039658,9.540557,9.382271
0.039658,9.154973,9.382271
0.039658,10.158664,9.382271
0.044729,9.243283,9.362573
0.044729,8.667581,9.362573
0.044729,9.615972,9.362573
0.045823,9.549662,9.358254
0.045823,9.549787,9.358254
0.047428,9.053103,9.351874
0.047428,10.217153,9.351874
0.120413,7.244186,8.685177
0.120413,10.032653,8.685177
0.120413,8.962171,8.685177
0.120413,9.166332,8.685177
0.120413,7.037832,8.685177
0.136646,8.333273,8.444367
0.138056,7.887754,8.423289
0.138056,7.702234,8.423289
0.138247,8.713086,8.420433
0.140667,9.446602,8.384196
0.140667,9.251798,8.384196
0.142196,8.837720,8.361283
0.201167,9.945034,7.463250
0.201167,8.656917,7.463250
0.201167,7.266113,7.463250
0.201167,6.354134,7.463250
0.201167,7.138247,7.463250
0.201167,6.027270,7.463250
0.201167,5.679791,7.463250
0.201167,6.608952,7.463250
0.227469,7.014437,7.060229
0.227469,9.250332,7.060229
0.230190,7.803324,7.018681
0.230190,6.879772,7.018681
0.231383,6.700821,7.000483
0.231383,7.708926,7.000483
0.233907,10.029645,6.962014
0.236876,5.713781,6.916799
0.281922,5.553108,6.242577
0.281922,6.770964,6.242577
0.281922,2.728838,6.242577
0.281922,8.179911,6.242577
0.281922,2.318519,6.242577
0.281922,6.461150,6.242577
0.281922,1.750982,6.242577
0.318292,8.375417,5.723394
0.318292,5.239154,5.723394
0.322134,9.475875,5.670342
0.322134,6.387348,5.670342
0.324710,5.610697,5.634971
0.327146,7.869633,5.601697
0.331557,9.437005,5.541842
0.362677,3.034855,5.135583
0.362677,-0.510490,5.135583
0.362677,4.435165,5.135583
0.362677,2.117492,5.135583
0.409116,7.871808,4.587058
0.409116,5.705663,4.587058
0.414077,4.341043,4.532729
0.414077,6.364909,4.532729
0.418038,4.574594,4.489948
0.418038,3.984381,4.489948
0.418038,5.756715,4.489948
0.420385,8.266936,4.464835
0.420385,5.064413,4.464835
0.426238,4.390037,4.403011
0.443432,3.146384,4.227673
0.443432,4.702875,4.227673
0.443432,0.965777,4.227673
0.443432,3.479599,4.227673
0.443432,2.582918,4.227673
0.443432,4.224915,4.227673
0.443432,3.867023,4.227673
0.499939,3.000337,3.707116
0.506021,3.401690,3.654784
0.506021,5.580019,3.654784
0.511365,3.752444,3.609144
0.513625,4.025926,3.589926
0.520918,1.168717,3.528155
0.524187,3.405092,3.500570
0.524187,3.301577,3.500570
0.524187,3.815394,3.500570
0.524187,4.171318,3.500570
0.524187,2.612304,3.500570
0.524187,2.341211,3.500570
0.590762,3.738712,2.925628
0.590762,2.117931,2.925628
0.590762,2.917009,2.925628
0.597964,2.881210,2.859344
0.597964,4.541106,2.859344
0.604692,3.040210,2.796373
0.604942,3.293564,2.794013
0.604942,1.396690,2.794013
0.604942,1.852621,2.794013
0.604942,3.334799,2.794013
0.604942,1.338192,2.794013
0.604942,3.586694,2.794013
0.604942,1.152242,2.794013
0.604942,2.349463,2.794013
0.606864,6.464447,2.775827
0.606864,1.771617,2.775827
0.615599,2.714907,2.692116
0.681585,2.494669,2.023924
0.685697,2.159814,1.982363
0.685697,0.942793,1.982363
0.685697,2.066122,1.982363
0.685697,2.238338,1.982363
0.685697,1.085722,1.982363
0.685697,1.857858,1.982363
0.685697,1.041412,1.982363
0.685697,1.231272,1.982363
0.689907,2.560419,1.940140
0.689907,3.084760,1.940140
0.698019,1.755954,1.859987
0.698019,2.336857,1.859987
0.700103,3.749725,1.839689
0.710280,2.187315,1.742625
0.766452,2.387920,1.292221
0.766452,1.939900,1.292221
0.766452,1.022079,1.292221
0.766452,-0.536615,1.292221
0.766452,1.713217,1.292221
0.766452,1.673025,1.292221
0.766452,1.732169,1.292221
0.766452,0.309346,1.292221
0.772409,0.749652,1.254376
0.772409,0.406626,1.254376
0.781851,0.208460,1.198390
0.791346,0.855786,1.146911
0.791346,1.953232,1.146911
0.793342,1.262997,1.136689
0.847207,-0.131686,0.929482
0.847207,1.325939,0.929482
0.847207,0.846069,0.929482
0.847207,1.307193,0.929482
0.847207,0.589834,0.929482
0.847207,0.377840,0.929482
0.847207,-0.005182,0.929482
0.863232,0.975806,0.888829
0.863232,0.416919,0.888829
0.873794,1.131709,0.866041
0.873794,1.141191,0.866041
0.884673,0.978665,0.845458
0.884673,1.265420,0.845458
0.886582,1.883736,0.842122
0.886582,1.546258,0.842122
0.927961,0.173744,0.786230
0.927961,0.968784,0.786230
0.927961,0.678123,0.786230
0.927961,1.031580,0.786230
0.927961,0.309314,0.786230
0.927961,0.921563,0.786230
0.954055,0.841080,0.763169
0.954055,0.818299,0.763169
0.965737,0.680814,0.755007
0.978000,0.944180,0.747593
0.979821,1.207118,0.746585
0.994322,0.528255,0.739276
