# Chi2_train, Chi2_test
619401.875000,679146.750000
32.451103,42.390560
30.166939,40.301529
29.516769,39.789509
29.438103,39.758320
29.392973,39.714485
29.300117,39.611217
29.065920,39.352806
28.246592,38.459423
20.143991,29.726818
18.672434,27.864843
17.721645,26.572376
16.793020,25.395285
13.727237,22.010214
10.286383,18.771891
7.247602,16.162493
5.048536,14.304664
3.353621,13.342620
2.545406,12.925040
2.048795,12.692494
1.742883,12.571228
1.558519,12.526836
1.442659,12.489271
1.364229,12.495009
1.314123,12.509178
1.289649,12.546118
1.265009,12.537712
1.266164,12.608626
1.239853,12.575406
1.230520,12.585621
