# best iteration: (array([58]),)
64790.632812,41546.664062
33.048573,29.595123
32.671124,29.255219
32.223206,28.817404
31.194637,27.794510
29.080502,25.697102
33.484577,26.369909
25.400574,21.873615
24.736076,21.195833
23.704599,20.280636
572.082031,247.406387
19.269033,16.714933
17.278069,15.603638
16.355034,14.972390
15.591179,14.363537
14.772443,13.789591
11.036632,10.593123
4.826012,5.348023
3.547897,4.135110
7.764633,6.177151
3.431410,3.783649
3.033819,3.595345
2.923725,3.454046
2.925803,3.398378
2.831179,3.322950
2.723526,3.390724
2.377778,2.752030
2.043873,2.276761
10.143863,4.114005
1.644309,1.789734
9.983494,15.291700
2.442424,2.415894
1.312464,1.444054
1.227123,1.359719
1.194071,1.317636
1.179407,1.300175
1.180372,1.296300
1.166658,1.283344
1.159813,1.276138
35.852703,37.141048
1.150645,1.271834
1.187303,1.467582
1.144436,1.268955
1.408858,1.620853
2.921534,2.171797
1.140627,1.266809
1.216711,1.876183
1.138927,1.265499
1.149977,1.297579
1.136481,1.263041
1.141944,1.277415
1.135178,1.261491
1.133598,1.259647
2.282875,3.440641
1.130580,1.258727
40.900963,38.869534
1.129295,1.257409
1.127960,1.256549
1.126846,1.254206
1.126850,1.256382
