# Training inputs, Training outputs, Predictions
-0.993972,1.076218,0.979504
-0.981870,1.121088,0.979752
-0.978204,1.174948,0.979907
-0.967397,0.600681,0.980898
-0.965073,0.944823,0.981291
-0.953233,0.751248,0.985488
-0.948521,1.177409,0.988942
-0.938592,1.083018,1.002748
-0.929401,1.050342,1.028332
-0.929401,1.031061,1.028332
-0.926009,1.026194,1.041974
-0.925333,1.072435,1.044988
-0.921622,1.021318,1.063310
-0.921622,0.999323,1.063310
-0.888542,1.301266,1.273959
-0.884964,1.380376,1.290278
-0.875257,1.216912,1.325496
-0.862410,1.210399,1.362075
-0.849552,1.655318,1.400926
-0.848646,1.413065,1.403975
-0.848646,1.320817,1.403975
-0.837819,1.325376,1.444030
-0.837120,1.659155,1.446834
-0.781187,1.864585,1.705385
-0.767891,1.761708,1.777972
-0.760512,1.552984,1.824146
-0.753233,1.562724,1.875807
-0.749628,1.874368,1.904168
-0.746077,2.090409,1.934187
-0.746077,2.189995,1.934187
-0.698486,2.058507,2.523018
-0.690978,2.664828,2.606291
-0.689243,2.601513,2.622901
-0.687136,3.415242,2.641669
-0.680763,2.721810,2.689169
-0.671472,2.814907,2.736105
-0.661438,2.159485,2.764755
-0.660692,2.340941,2.766220
-0.658304,3.282575,2.770416
-0.615250,1.234239,1.673485
-0.608561,2.302222,2.592843
-0.606381,3.264600,2.945993
-0.598838,4.235811,3.622550
-0.582432,4.253928,3.838169
-0.573248,3.311996,3.848831
-0.572478,3.473366,3.849435
-0.570532,4.258201,3.850931
-0.570532,3.605552,3.850931
-0.525626,4.759788,3.934018
-0.520569,4.148814,3.952228
-0.515234,2.661177,3.973657
-0.512007,2.959881,3.987751
-0.506699,4.271404,4.012848
-0.505356,3.222184,4.019584
-0.499117,3.507181,4.053004
-0.496812,4.216022,4.066273
-0.493392,4.571229,4.086918
-0.487396,3.896955,4.126057
-0.485057,4.807046,4.142404
-0.482759,5.928441,4.159102
-0.482759,5.593800,4.159102
-0.425888,5.168932,4.885326
-0.421907,4.454252,4.969790
-0.414559,2.922013,5.141588
-0.413413,4.407685,5.170306
-0.408293,4.964044,5.305086
-0.406470,5.025086,5.355666
-0.396867,6.977037,5.643719
-0.394987,7.529939,5.704185
-0.394987,7.391130,5.704185
-0.364117,7.471341,6.805346
-0.364117,5.717476,6.805346
-0.331208,7.637228,7.750902
-0.316128,7.554295,7.957472
-0.315312,7.130907,7.964252
-0.310171,7.355732,7.997067
-0.308676,4.907416,8.003502
-0.307836,8.968205,8.006521
-0.307214,9.287175,8.008491
-0.307214,8.893371,8.008491
-0.283362,8.303225,7.939138
-0.236527,8.023213,7.705996
-0.235252,7.890196,7.712895
-0.230280,6.946538,7.750763
-0.229526,6.506104,7.758056
-0.226647,8.432087,7.789785
-0.225786,7.849840,7.800460
-0.221559,6.260514,7.860923
-0.220486,8.789374,7.878402
-0.219623,8.543142,7.893066
-0.219442,8.172335,7.896207
-0.219442,8.079897,7.896207
-0.141925,9.468734,9.737562
-0.141846,10.119589,9.738163
-0.139050,10.391326,9.757563
-0.137583,9.408882,9.766423
-0.135824,10.440777,9.775967
-0.132947,10.133973,9.789324
-0.132295,9.955492,9.792001
-0.131669,9.296467,9.794462
-0.131409,9.784324,9.795456
-0.121852,8.819555,9.822055
-0.121852,10.713829,9.822055
-0.048598,9.993733,9.955982
-0.048192,9.561162,9.957215
-0.047166,9.644906,9.960356
-0.046000,9.586313,9.963964
-0.045811,9.746994,9.964556
-0.045640,10.262920,9.965093
-0.045103,9.875841,9.966779
-0.045000,9.762258,9.967099
-0.044334,10.175856,9.969205
-0.044105,9.978184,9.969934
-0.043897,10.008406,9.970596
-0.043897,10.213470,9.970596
-0.043195,10.144981,9.972842
0.039658,10.367254,10.186690
0.043875,10.029787,10.185277
0.043875,9.841740,10.185277
0.044729,10.336183,10.184749
0.045823,10.216302,10.183950
0.046304,10.263689,10.183556
0.047428,10.331277,10.182528
0.047515,10.324282,10.182444
0.129888,9.536223,9.667209
0.131648,9.502683,9.646915
0.135581,9.419157,9.600334
0.136646,9.521363,9.587440
0.138056,9.360809,9.570180
0.138247,9.893540,9.567825
0.138279,9.121943,9.567432
0.140667,10.210514,9.537675
0.201167,7.471698,8.633443
0.201167,7.374944,8.633443
0.218928,9.424225,8.334563
0.219420,8.924806,8.326191
0.219420,7.009989,8.326191
0.220466,8.244204,8.308393
0.221447,9.623719,8.291695
0.221502,8.762166,8.290749
0.233907,8.450864,8.078758
0.236876,8.673041,8.027906
0.281922,5.425939,7.265491
0.281922,5.782681,7.265491
0.307193,7.006038,6.853745
0.307968,7.768058,6.841344
0.308657,6.378290,6.830342
0.309661,7.337846,6.814329
0.310115,7.895292,6.807091
0.318292,7.983908,6.677605
0.324710,5.407469,6.577092
0.327146,4.708591,6.539203
0.331557,7.082352,6.470924
0.362677,6.548223,6.001268
0.362677,6.539055,6.001268
0.394965,5.176972,5.532557
0.394965,4.726623,5.532557
0.396847,4.677225,5.505697
0.397008,7.242517,5.503397
0.397875,6.274006,5.491047
0.398727,4.877289,5.478901
0.406606,5.623958,5.367041
0.409116,5.103969,5.331548
0.414077,5.423436,5.261561
0.414698,5.478207,5.252825
0.418038,6.661530,5.205852
0.420385,5.244121,5.172890
0.426238,5.888824,5.090908
0.443432,4.829532,4.851393
0.482738,3.733986,4.309405
0.482738,3.338297,4.309405
0.485038,3.002285,4.277901
0.486048,3.286603,4.264061
0.486088,4.804091,4.263521
0.487339,3.485785,4.246398
0.496948,3.847455,4.115172
0.499939,2.402582,4.074432
0.506021,4.218556,3.991756
0.506837,3.722840,3.980670
0.511365,3.981101,3.919314
0.520918,4.460810,3.790382
0.524187,3.228440,3.746455
0.570510,4.998349,3.139379
0.573228,4.032604,3.104968
0.574302,3.138119,3.091413
0.575088,4.023404,3.081507
0.587290,2.321452,2.929790
0.590762,3.560027,2.887341
0.597964,2.213319,2.800413
0.598977,2.502102,2.788305
0.606864,3.658209,2.695208
0.615599,2.408464,2.594534
0.658283,2.382566,2.145344
0.658283,1.586863,2.145344
0.661418,3.183566,2.115436
0.662516,3.599696,2.105069
0.664564,2.638683,2.085885
0.681585,1.704489,1.934016
0.685697,1.163962,1.899395
0.685697,2.002476,1.899395
0.689907,1.212708,1.864778
0.691117,2.313445,1.854993
0.698019,1.533367,1.800491
0.700103,0.981563,1.784486
0.710280,1.869434,1.709318
0.746055,2.210958,1.483558
0.749609,1.536639,1.464276
0.750730,1.321900,1.458306
0.753168,0.546500,1.445507
0.753176,2.009647,1.445466
0.766452,2.416777,1.380130
0.766452,0.528989,1.380130
0.772409,0.819559,1.353117
0.781851,0.984579,1.313097
0.833828,1.190277,1.146400
0.833828,1.187143,1.146400
0.837799,1.242654,1.136875
0.838944,0.979705,1.134204
0.841789,1.793622,1.127699
0.842208,0.929528,1.126756
0.847207,1.383388,1.115847
0.858315,1.586567,1.093603
0.863232,1.122892,1.084592
0.873794,0.142833,1.066828
0.886582,0.724619,1.047995
0.921600,1.022298,1.008889
0.925990,0.935353,1.005069
0.927961,1.495813,1.003421
0.930401,0.921585,1.001437
0.931249,1.032197,1.000761
0.948657,1.101791,0.988424
0.954055,1.123499,0.985140
0.965737,0.754520,0.978803
