# Training inputs, Training outputs, Predictions
-0.993972,1.083192,0.831082
-0.981870,0.800293,0.866608
-0.978204,0.694035,0.877616
-0.967397,0.941693,0.910748
-0.965073,0.729897,0.918006
-0.953233,0.996728,0.955747
-0.948521,0.929810,0.971126
-0.938592,1.392906,1.004198
-0.929401,1.071367,1.035650
-0.929401,0.749370,1.035650
-0.926009,1.092873,1.047461
-0.925333,1.126664,1.049828
-0.921622,0.841973,1.062908
-0.921622,0.992732,1.062908
-0.888542,1.456604,1.185606
-0.884964,1.410567,1.199562
-0.875257,1.201718,1.238112
-0.862410,1.485964,1.290731
-0.849552,1.390961,1.345261
-0.848646,1.250307,1.349178
-0.848646,1.503977,1.349178
-0.837819,1.232764,1.396715
-0.837120,0.963807,1.399834
-0.781187,2.278480,1.669521
-0.767891,1.880955,1.739963
-0.760512,1.636638,1.780204
-0.753233,1.889589,1.820735
-0.749628,1.895293,1.841117
-0.746077,1.976765,1.861411
-0.746077,1.474108,1.861411
-0.698486,2.287668,2.154937
-0.690978,2.046406,2.205300
-0.689243,2.526922,2.217112
-0.687136,2.127497,2.231547
-0.680763,2.675524,2.275822
-0.671472,2.437127,2.342084
-0.661438,2.187630,2.416053
-0.660692,2.548678,2.421657
-0.658304,1.609439,2.439695
-0.615250,2.818222,2.794244
-0.608561,2.382541,2.855014
-0.606381,2.243205,2.875196
-0.598838,3.244663,2.946536
-0.582432,3.707629,3.110350
-0.573248,3.704176,3.207741
-0.572478,4.451890,3.216100
-0.570532,3.324528,3.237385
-0.570532,3.377035,3.237385
-0.525626,2.738145,3.793525
-0.520569,3.070919,3.865149
-0.515234,2.513426,3.942945
-0.512007,3.129165,3.991160
-0.506699,3.334579,4.072417
-0.505356,3.146792,4.093359
-0.499117,7.216962,4.192801
-0.496812,4.346820,4.230426
-0.493392,4.974843,4.287152
-0.487396,5.875740,4.389215
-0.485057,4.486715,4.429945
-0.482759,4.783540,4.470456
-0.482759,5.391487,4.470456
-0.425888,6.188645,5.610411
-0.421907,5.692741,5.696270
-0.414559,5.761591,5.854242
-0.413413,6.254947,5.878745
-0.408293,4.866410,5.987487
-0.406470,4.702286,6.025859
-0.396867,7.332195,6.223463
-0.394987,6.079445,6.261063
-0.394987,7.837354,6.261063
-0.364117,8.160403,6.800160
-0.364117,5.003167,6.800160
-0.331208,5.574195,7.170683
-0.316128,7.554494,7.279501
-0.315312,6.630204,7.284644
-0.310171,6.016596,7.315722
-0.308676,5.302646,7.324384
-0.307836,8.037774,7.329184
-0.307214,8.580443,7.332712
-0.307214,8.691398,7.332712
-0.283362,8.272984,7.459763
-0.236527,6.940649,7.800520
-0.235252,7.841655,7.813590
-0.230280,8.147133,7.867015
-0.229526,8.126855,7.875447
-0.226647,7.746986,7.908492
-0.225786,7.278780,7.918628
-0.221559,8.092039,7.970052
-0.220486,8.376132,7.983541
-0.219623,8.852836,7.994521
-0.219442,7.117212,7.996835
-0.219442,7.371429,7.996835
-0.141925,9.562407,9.158012
-0.141846,9.316148,9.159064
-0.139050,9.692974,9.195901
-0.137583,9.631707,9.214903
-0.135824,10.229508,9.237381
-0.132947,8.703446,9.273444
-0.132295,9.507611,9.281495
-0.131669,8.329624,9.289185
-0.131409,8.446317,9.292375
-0.121852,9.157891,9.404651
-0.121852,9.682788,9.404651
-0.048598,9.778033,10.054922
-0.048192,9.782503,10.057837
-0.047166,9.899180,10.065185
-0.046000,10.675418,10.073467
-0.045811,10.754393,10.074811
-0.045640,9.691320,10.076027
-0.045103,10.082122,10.079813
-0.045000,9.653195,10.080534
-0.044334,9.554772,10.085220
-0.044105,9.939214,10.086823
-0.043897,10.812187,10.088284
-0.043897,10.027912,10.088284
-0.043195,10.243549,10.093190
0.039658,9.749422,10.452060
0.043875,10.838197,10.453440
0.043875,10.429363,10.453440
0.044729,9.935326,10.453463
0.045823,10.574711,10.453350
0.046304,10.624527,10.453256
0.047428,10.554439,10.452925
0.047515,10.880923,10.452888
0.129888,10.294702,9.922137
0.131648,9.880704,9.898621
0.135581,9.583603,9.844122
0.136646,9.895635,9.828904
0.138056,10.061301,9.808450
0.138247,9.606938,9.805655
0.138279,9.477189,9.805191
0.140667,9.776052,9.769658
0.201167,7.547112,8.590578
0.201167,8.064058,8.590578
0.218928,7.908610,8.191745
0.219420,8.822902,8.180843
0.219420,9.380428,8.180843
0.220466,8.375470,8.157721
0.221447,9.279766,8.136119
0.221502,7.513914,8.134895
0.233907,7.707194,7.869703
0.236876,7.544998,7.809053
0.281922,6.250770,7.097541
0.281922,5.781676,7.097541
0.307193,6.096055,6.868598
0.307968,5.699073,6.862810
0.308657,7.410005,6.857711
0.309661,8.393106,6.850339
0.310115,7.577226,6.847028
0.318292,6.571691,6.789252
0.324710,8.078067,6.745014
0.327146,5.232336,6.728106
0.331557,7.251369,6.696872
0.362677,6.295530,6.398239
0.362677,6.898370,6.398239
0.394965,5.547818,5.894962
0.394965,5.688080,5.894962
0.396847,5.865756,5.879455
0.397008,5.833898,5.878347
0.397875,5.825060,5.873016
0.398727,6.528050,5.868844
0.406606,5.161273,5.887328
0.409116,6.514894,5.916207
0.414077,6.222260,6.003394
0.414698,6.268807,6.016690
0.418038,5.861991,6.094688
0.420385,5.881810,6.153511
0.426238,6.297403,6.294107
0.443432,6.359022,6.165998
0.482738,3.718531,4.424125
0.482738,2.958154,4.424125
0.485038,5.666216,4.386508
0.486048,4.775065,4.371032
0.486088,4.985584,4.370431
0.487339,3.660102,4.352079
0.496948,3.699126,4.231222
0.499939,3.763306,4.198078
0.506021,4.759446,4.133398
0.506837,3.897358,4.124846
0.511365,5.148198,4.077537
0.520918,3.935340,3.975756
0.524187,4.077356,3.939777
0.570510,3.213601,3.363881
0.573228,5.106593,3.328244
0.574302,3.033532,3.314175
0.575088,3.513156,3.303882
0.587290,1.817853,3.145658
0.590762,3.061219,3.101375
0.597964,2.614346,3.010965
0.598977,3.044088,2.998420
0.606864,2.243605,2.902359
0.615599,3.500984,2.799551
0.658283,2.621467,2.355509
0.658283,2.732416,2.355509
0.661418,2.810622,2.326586
0.662516,1.388644,2.316572
0.664564,2.860052,2.298041
0.681585,1.587257,2.151342
0.685697,1.186467,2.117765
0.685697,2.457128,2.117765
0.689907,2.336620,2.084084
0.691117,1.269964,2.074538
0.698019,1.797230,2.021125
0.700103,2.439753,2.005346
0.710280,2.529976,1.930507
0.746055,2.535114,1.693524
0.749609,1.964113,1.671972
0.750730,2.270059,1.665242
0.753168,1.482793,1.650717
0.753176,1.282171,1.650671
0.766452,1.479346,1.574194
0.766452,1.550275,1.574194
0.772409,1.492257,1.541256
0.781851,1.252079,1.490719
0.833828,1.208862,1.245771
0.833828,1.386444,1.245771
0.837799,1.348281,1.229176
0.838944,1.428477,1.224447
0.841789,1.000142,1.212790
0.842208,0.807772,1.211084
0.847207,0.933675,1.190985
0.858315,1.733665,1.147840
0.863232,1.316982,1.129400
0.873794,1.164166,1.091108
