# Training inputs, Training outputs, Predictions
-0.993972,0.782758,0.745447
-0.981870,0.876183,0.799563
-0.978204,0.818760,0.816166
-0.967397,0.874830,0.865655
-0.965073,0.826612,0.876404
-0.953233,0.755055,0.931714
-0.948521,0.907729,0.953978
-0.938592,0.960477,1.001331
-0.929401,0.887892,1.045697
-0.929401,1.055308,1.045697
-0.926009,1.085774,1.062189
-0.925333,1.085857,1.065482
-0.921622,1.184398,1.083619
-0.921622,1.176361,1.083619
-0.888542,1.367592,1.248443
-0.884964,1.431194,1.266599
-0.875257,1.513536,1.316165
-0.862410,1.337366,1.382453
-0.849552,1.152352,1.449580
-0.848646,1.421505,1.454341
-0.848646,1.748059,1.454341
-0.837819,1.481060,1.511543
-0.837120,1.293677,1.515257
-0.781187,2.401754,1.821744
-0.767891,1.863769,1.897954
-0.760512,1.799591,1.940964
-0.753233,1.760175,1.983944
-0.749628,1.941103,2.005440
-0.746077,1.995474,2.026770
-0.746077,1.778401,2.026770
-0.698486,3.106146,2.329571
-0.690978,1.768906,2.380805
-0.689243,3.204968,2.392802
-0.687136,0.511027,2.407451
-0.680763,3.030361,2.452323
-0.671472,1.978265,2.519315
-0.661438,2.791196,2.593887
-0.660692,4.006204,2.599527
-0.658304,3.301258,2.617673
-0.615250,2.803287,2.970957
-0.608561,2.136131,3.030628
-0.606381,2.594528,3.050369
-0.598838,3.439510,3.119823
-0.582432,2.612150,3.277091
-0.573248,3.797216,3.368915
-0.572478,3.094857,3.376731
-0.570532,4.881178,3.396592
-0.570532,3.868447,3.396592
-0.525626,3.518078,3.889500
-0.520569,3.713931,3.949261
-0.515234,3.705853,4.013259
-0.512007,3.239930,4.052458
-0.506699,2.743050,4.117770
-0.505356,4.173186,4.134447
-0.499117,4.588263,4.212873
-0.496812,4.979244,4.242229
-0.493392,4.792588,4.286166
-0.487396,5.661694,4.364388
-0.485057,4.281318,4.395322
-0.482759,5.425372,4.425953
-0.482759,5.034532,4.425953
-0.425888,4.751467,5.286912
-0.421907,6.059035,5.356913
-0.414559,5.167302,5.489884
-0.413413,3.403311,5.511041
-0.408293,6.148833,5.606747
-0.406470,5.257723,5.641256
-0.396867,6.438014,5.824862
-0.394987,5.805101,5.860796
-0.394987,7.010145,5.860796
-0.364117,4.663975,6.332822
-0.364117,8.027644,6.332822
-0.331208,6.075276,5.963470
-0.316128,6.225332,6.405264
-0.315312,6.882318,6.519478
-0.310171,6.741978,7.479205
-0.308676,6.555836,7.794438
-0.307836,8.039155,7.967477
-0.307214,8.353914,8.091673
-0.307214,8.939992,8.091673
-0.283362,8.545415,8.792747
-0.236527,8.606342,8.105882
-0.235252,7.650565,8.128919
-0.230280,8.480744,8.227969
-0.229526,9.342638,8.244030
-0.226647,7.499086,8.307323
-0.225786,7.700104,8.326741
-0.221559,9.180064,8.424410
-0.220486,7.549974,8.449629
-0.219623,7.463712,8.469998
-0.219442,9.713202,8.474263
-0.219442,8.506469,8.474263
-0.141925,8.641553,9.749835
-0.141846,9.664896,9.750501
-0.139050,10.624316,9.773520
-0.137583,8.950350,9.785151
-0.135824,9.680305,9.798706
-0.132947,9.446234,9.820034
-0.132295,9.945032,9.824718
-0.131669,10.454313,9.829162
-0.131409,10.678903,9.831002
-0.121852,10.520006,9.893078
-0.121852,9.603845,9.893078
-0.048598,10.912349,10.138319
-0.048192,10.087749,10.138894
-0.047166,10.102406,10.140299
-0.046000,10.166700,10.141854
-0.045811,9.756186,10.142103
-0.045640,9.584107,10.142312
-0.045103,10.233611,10.143001
-0.045000,10.263575,10.143136
-0.044334,10.395850,10.143965
-0.044105,9.506797,10.144247
-0.043897,9.861216,10.144506
-0.043897,9.820675,10.144506
-0.043195,10.478426,10.145340
0.039658,10.510241,10.110331
0.043875,10.315164,10.101103
0.043875,10.277297,10.101103
0.044729,10.016161,10.099137
0.045823,9.992643,10.096567
0.046304,10.047137,10.095418
0.047428,9.824624,10.092693
0.047515,10.102236,10.092482
0.129888,9.735345,9.692048
0.131648,9.676944,9.677911
0.135581,10.260651,9.645229
0.136646,9.749105,9.636106
0.138056,8.593191,9.623848
0.138247,9.440380,9.622166
0.138279,9.716381,9.621886
0.140667,9.999142,9.600592
0.201167,8.985601,8.807007
0.201167,7.688690,8.807007
0.218928,8.590289,8.454569
0.219420,7.786289,8.443878
0.219420,7.786299,8.443878
0.220466,6.763425,8.420971
0.221447,9.965742,8.399292
0.221502,7.015661,8.398058
0.233907,10.198271,8.105809
0.236876,8.161349,8.030944
0.281922,7.231495,6.711668
0.281922,4.973317,6.711668
0.307193,6.835170,5.964688
0.307968,4.816198,5.944327
0.308657,7.008916,5.926439
0.309661,6.343809,5.900692
0.310115,4.120321,5.889178
0.318292,6.382224,5.697769
0.324710,8.278649,5.571935
0.327146,5.348754,5.530594
0.331557,4.314655,5.465430
0.362677,4.430156,5.399058
0.362677,6.844428,5.399058
0.394965,4.645196,5.880108
0.394965,7.641394,5.880108
0.396847,3.502935,5.909085
0.397008,5.458081,5.911497
0.397875,6.568286,5.924248
0.398727,5.298257,5.936428
0.406606,6.139889,6.026040
0.409116,8.218636,6.043387
0.414077,6.347849,6.056982
0.414698,5.504539,6.056532
0.418038,5.738097,6.045119
0.420385,6.580910,6.027533
0.426238,5.559476,5.947345
0.443432,5.591933,5.437102
0.482738,4.056225,4.252287
0.482738,5.062598,4.252287
0.485038,3.660728,4.222336
0.486048,4.158203,4.210212
0.486088,3.332688,4.209752
0.487339,4.222559,4.195573
0.496948,2.650395,4.107228
0.499939,4.040150,4.083568
0.506021,5.166124,4.034678
0.506837,5.161779,4.027747
0.511365,3.385449,3.986572
0.520918,4.406243,3.878635
0.524187,3.982705,3.833998
0.570510,3.256642,3.050314
0.573228,4.187675,3.021882
0.574302,1.868750,3.011879
0.575088,2.539153,3.005011
0.587290,2.818661,2.948285
0.590762,2.644905,2.948225
0.597964,2.887660,2.965716
0.598977,1.576146,2.969641
0.606864,4.257256,3.006413
0.615599,3.567264,3.045196
0.658283,3.242094,2.779326
0.658283,2.731460,2.779326
0.661418,4.627350,2.730967
0.662516,2.390757,2.713560
0.664564,2.799726,2.680535
0.681585,2.558620,2.392193
0.685697,2.608606,2.322491
0.685697,1.181878,2.322491
0.689907,1.128649,2.252316
0.691117,1.189111,2.232442
0.698019,0.702646,2.122024
0.700103,2.576984,2.089797
0.710280,2.607902,1.940849
0.746055,2.507797,1.533715
0.749609,1.994558,1.502445
0.750730,1.684048,1.492885
0.753168,0.803652,1.472572
0.753176,1.408189,1.472511
0.766452,0.881963,1.372923
0.766452,2.001504,1.372923
0.772409,1.130069,1.333740
0.781851,1.224892,1.277777
0.833828,1.199258,1.070011
0.833828,1.731763,1.070011
0.837799,0.920602,1.059261
0.838944,1.036229,1.056265
0.841789,1.211878,1.049007
0.842208,1.024796,1.047958
0.847207,1.094968,1.035901
0.858315,1.561630,1.011722
0.863232,1.117852,1.002068
0.873794,0.768071,0.983249
0.886582,0.087796,0.963575
0.921600,1.148495,0.923248
0.925990,0.686668,0.919309
0.927961,0.579300,0.917609
0.930401,0.698737,0.915560
0.931249,0.646053,0.914863
0.948657,1.269007,0.902015
0.954055,0.990874,0.898552
0.965737,0.878932,0.891794
