# Training inputs, Training outputs, Predictions
-0.993972,1.202546,0.914102
-0.978204,0.939855,0.919480
-0.967397,0.765821,0.923938
-0.965073,0.874708,0.924991
-0.953233,0.741347,0.930919
-0.948521,1.109344,0.933565
-0.930458,0.834192,0.945509
-0.929401,0.842200,0.946309
-0.929401,0.904020,0.946309
-0.925333,0.944287,0.949479
-0.921622,0.913356,0.952544
-0.884964,1.466658,0.992846
-0.875257,1.110840,1.007359
-0.873130,1.387944,1.010804
-0.858179,0.882922,1.038011
-0.848646,1.034420,1.058454
-0.848646,1.241423,1.058454
-0.841845,0.730042,1.074712
-0.837819,1.137477,1.085062
-0.837120,1.448451,1.086913
-0.833849,1.269642,1.095818
-0.804611,1.153347,1.195077
-0.795215,1.625464,1.235870
-0.783118,0.939018,1.296160
-0.767891,1.228669,1.386213
-0.767837,1.669430,1.386562
-0.753233,1.181926,1.490005
-0.749628,1.149852,1.518350
-0.746077,1.489545,1.547421
-0.746077,1.486742,1.547421
-0.709930,1.356674,1.911569
-0.690978,2.561176,2.149583
-0.687136,1.676633,2.200825
-0.687136,3.104062,2.200825
-0.680763,3.067052,2.287350
-0.677495,2.822830,2.332248
-0.664621,2.880713,2.510119
-0.660692,2.696360,2.563926
-0.615250,3.543553,3.093994
-0.608561,2.277928,3.151294
-0.606381,2.720048,3.168774
-0.605247,1.994913,3.177650
-0.597300,2.810383,3.235780
-0.587153,4.232466,3.301158
-0.582432,3.881321,3.328971
-0.573248,2.570891,3.380150
-0.572478,3.827344,3.384338
-0.570532,4.722423,3.394909
-0.520569,3.951467,3.829120
-0.515234,3.395332,3.932448
-0.506699,3.369375,4.150684
-0.505356,4.040849,4.191898
-0.499117,4.715292,4.410020
-0.496812,5.169479,4.501362
-0.487396,5.120501,4.917200
-0.482759,5.102003,5.127049
-0.444872,5.945706,5.529203
-0.444872,5.157510,5.529203
-0.421907,4.758325,4.616437
-0.418768,4.693522,4.467630
-0.414559,4.378626,4.321934
-0.413413,3.314814,4.302502
-0.408293,4.241681,4.420051
-0.406470,4.942205,4.578000
-0.404352,5.773735,4.852476
-0.398784,3.372023,5.844858
-0.396867,5.842473,6.156970
-0.396050,7.302597,6.272224
-0.394987,7.633081,6.404875
-0.364117,6.375975,6.969304
-0.331208,7.429845,6.958630
-0.328580,6.076537,6.959215
-0.325529,7.901905,6.960219
-0.322419,7.975043,6.961647
-0.321470,7.710052,6.962173
-0.317470,7.189077,6.964920
-0.310171,6.718638,6.972715
-0.307836,6.951545,6.976192
-0.307214,7.476182,6.977216
-0.307214,4.377381,6.977216
-0.283362,7.269666,7.069986
-0.236527,6.785940,7.889932
-0.232290,8.962459,8.001978
-0.229526,7.848916,8.075850
-0.226272,8.314507,8.163033
-0.225786,8.465242,8.176028
-0.221559,9.225432,8.288445
-0.219442,8.661400,8.344061
-0.219442,8.171626,8.344061
-0.202607,7.650800,8.754881
-0.202607,8.438349,8.754881
-0.141925,9.622305,9.600115
-0.135824,10.038743,9.640800
-0.135444,9.609928,9.643149
-0.131669,9.441168,9.665409
-0.131409,9.419001,9.666874
-0.121852,9.763315,9.714822
-0.121852,9.754843,9.714822
-0.048598,10.123727,9.903280
-0.048192,10.187328,9.904472
-0.047166,9.457401,9.907547
-0.045811,10.018240,9.911736
-0.045640,10.370175,9.912273
-0.045000,10.010474,9.914316
-0.044105,10.062592,9.917240
-0.043897,9.469733,9.917931
-0.043195,9.853296,9.920286
-0.041097,9.645518,9.927614
0.040848,10.515077,10.272326
0.043875,10.256169,10.265101
0.044085,9.943110,10.264544
0.044729,9.785460,10.262783
0.045823,10.140811,10.259646
0.046139,10.175153,10.258705
0.046304,11.015547,10.258210
0.047428,10.654786,10.254727
0.047515,9.902830,10.254450
0.120413,9.482085,9.873374
0.129888,10.390029,9.772040
0.131648,9.752742,9.750178
0.131648,9.878206,9.750178
0.132276,9.877879,9.742133
0.132890,9.511389,9.734137
0.133233,9.323211,9.729620
0.135581,9.486681,9.697613
0.136646,9.189159,9.682480
0.138056,9.716714,9.661840
0.138247,9.726127,9.658995
0.138279,10.067363,9.658520
0.142196,9.841998,9.597284
0.201167,6.995054,8.221808
0.201167,9.095562,8.221808
0.218928,6.335429,7.789195
0.219420,9.791963,7.777926
0.219420,7.190170,7.777926
0.220466,5.676232,7.754130
0.221502,9.346232,7.730757
0.225923,5.720854,7.633372
0.227469,7.813612,7.600214
0.230190,8.354131,7.543063
0.233907,8.040776,7.467487
0.281922,7.927963,6.742084
0.281922,6.933059,6.742084
0.308657,6.648111,6.499549
0.309661,7.104647,6.491949
0.316265,7.111667,6.444032
0.318292,6.403245,6.429975
0.322134,7.197219,6.404080
0.322558,6.110248,6.401277
0.324710,5.755610,6.387200
0.327146,5.856259,6.371561
0.331557,4.224851,6.343904
0.362677,7.104937,6.154677
0.394965,7.577071,5.880556
0.396847,6.641117,5.857666
0.397875,4.546608,5.844654
0.398727,4.402976,5.833557
0.406606,4.764062,5.716335
0.409116,5.518530,5.672395
0.414077,3.918527,5.573665
0.414698,4.680368,5.560061
0.418038,5.241638,5.481391
0.420385,7.207513,5.420019
0.426238,6.496247,5.241187
0.443432,3.077098,4.436937
0.443432,5.250136,4.436937
0.485038,4.103966,3.026732
0.486048,2.363832,3.038514
0.499939,3.095746,3.317202
0.506021,2.977937,3.472563
0.506837,4.549921,3.493376
0.511365,3.119595,3.604843
0.513625,3.098003,3.656666
0.520918,4.429322,3.796966
0.570510,2.489973,3.470391
0.573228,2.734233,3.416358
0.574302,1.840704,3.394884
0.575088,4.428515,3.379147
0.575952,5.240655,3.361858
0.587290,4.531856,3.138416
0.597964,2.676376,2.943834
0.598977,1.773049,2.926471
0.604692,2.274603,2.832434
0.604942,4.524294,2.828473
0.604942,2.775575,2.828473
0.606864,2.800512,2.798466
0.615599,2.441774,2.671586
0.658283,1.298982,2.230705
0.661418,1.160700,2.206481
0.662516,1.954353,2.198180
0.664128,2.214102,2.186137
0.664564,2.971244,2.182916
0.677632,1.642246,2.091620
0.681585,1.620566,2.065746
0.685697,3.411488,2.039541
0.691117,4.023537,2.005955
0.698019,1.350857,1.964533
0.700103,0.725134,1.952285
0.710280,2.563294,1.893922
0.746055,2.328103,1.701603
0.749609,2.002092,1.683260
