# Training inputs, Training outputs, Predictions
-0.998948,0.001216,0.000719
-0.997399,-0.000688,0.000719
-0.996748,0.000080,0.000719
-0.995607,0.001788,0.000719
-0.994439,0.001145,0.000719
-0.993919,0.001523,0.000720
-0.992727,0.001708,0.000720
-0.990660,0.000268,0.000720
-0.987809,0.001470,0.000721
-0.986816,0.000878,0.000721
-0.984844,-0.001273,0.000721
-0.984842,-0.000184,0.000721
-0.984842,0.000254,0.000721
-0.983308,0.001045,0.000721
-0.979921,0.002290,0.000722
-0.978870,0.001825,0.000722
-0.978234,0.000275,0.000722
-0.976157,0.000994,0.000723
-0.975765,0.001517,0.000723
-0.975765,0.001493,0.000723
-0.974083,0.000380,0.000723
-0.974081,0.000768,0.000723
-0.972196,0.001218,0.000723
-0.972146,0.000086,0.000723
-0.968697,0.000634,0.000724
-0.966688,0.003800,0.000725
-0.965404,0.000490,0.000725
-0.963741,-0.000045,0.000725
-0.963317,-0.001655,0.000725
-0.963018,0.000578,0.000725
-0.961085,0.001173,0.000726
-0.960991,-0.001199,0.000726
-0.958003,0.000094,0.000726
-0.957611,0.000195,0.000726
-0.957611,-0.000289,0.000726
-0.957507,-0.000460,0.000727
-0.954346,0.000800,0.000727
-0.953890,-0.000488,0.000727
-0.952554,0.000673,0.000728
-0.950886,0.000557,0.000728
-0.949974,-0.000412,0.000728
-0.949219,0.000506,0.000729
-0.948534,-0.000050,0.000729
-0.943597,0.000558,0.000730
-0.943112,-0.000349,0.000730
-0.941790,-0.000593,0.000730
-0.939995,0.000294,0.000731
-0.939457,0.000742,0.000731
-0.939457,0.000458,0.000731
-0.936369,-0.000158,0.000732
-0.935633,0.000221,0.000732
-0.934756,0.000964,0.000732
-0.932643,-0.000882,0.000733
-0.930380,-0.000218,0.000734
-0.930380,0.000390,0.000734
-0.929191,0.000357,0.000734
-0.927752,0.002254,0.000734
-0.926505,0.001010,0.000735
-0.925644,0.002963,0.000735
-0.925233,-0.000486,0.000735
-0.921303,0.001431,0.000736
-0.921303,0.002009,0.000736
-0.920264,-0.000031,0.000737
-0.920263,-0.000720,0.000737
-0.918311,0.003118,0.000737
-0.916294,-0.001463,0.000738
-0.914785,0.000006,0.000738
-0.912226,0.001317,0.000739
-0.912226,0.000810,0.000739
-0.911292,-0.001597,0.000740
-0.909500,-0.000317,0.000740
-0.907779,0.000463,0.000741
-0.907355,0.001408,0.000741
-0.905770,0.001170,0.000742
-0.903849,-0.000379,0.000742
-0.903149,0.001093,0.000742
-0.903149,0.000778,0.000742
-0.900379,0.002331,0.000744
-0.899491,0.000801,0.000744
-0.899120,0.000024,0.000744
-0.898737,0.000590,0.000744
-0.898415,-0.001032,0.000744
-0.896941,0.000300,0.000745
-0.894072,0.000429,0.000746
-0.891277,0.000528,0.000747
-0.891203,-0.000734,0.000747
-0.889388,0.001054,0.000748
-0.887973,0.001107,0.000749
-0.885973,0.001104,0.000750
-0.884995,0.000648,0.000750
-0.882590,0.000236,0.000751
-0.880864,0.000467,0.000752
-0.880537,-0.000598,0.000752
-0.877210,-0.000853,0.000753
-0.875918,-0.000776,0.000754
-0.874926,-0.000197,0.000755
-0.874626,0.000547,0.000755
-0.871736,-0.000500,0.000756
-0.871597,0.000287,0.000756
-0.871566,0.000692,0.000756
-0.868239,0.001502,0.000758
-0.866841,0.000400,0.000759
-0.866447,-0.001273,0.000759
-0.862658,0.000328,0.000761
-0.862607,0.001441,0.000761
-0.862292,0.001082,0.000761
-0.861085,0.000804,0.000762
-0.858050,0.000373,0.000763
-0.857764,0.000292,0.000763
-0.857764,0.001532,0.000763
-0.857160,0.001395,0.000764
-0.855683,0.000558,0.000765
-0.853888,-0.000242,0.000766
-0.853479,0.000417,0.000766
-0.849762,0.000613,0.000768
-0.849265,0.001370,0.000769
-0.848687,0.000669,0.000769
-0.848687,0.000998,0.000769
-0.847799,0.000323,0.000769
-0.846003,0.001416,0.000771
-0.844920,-0.000215,0.000771
-0.844779,0.000398,0.000771
-0.839610,0.000244,0.000775
-0.839610,0.000692,0.000775
-0.839537,0.001480,0.000775
-0.838863,0.000609,0.000775
-0.835223,-0.000853,0.000778
-0.834747,0.000807,0.000778
-0.834157,0.000440,0.000778
-0.833306,0.000629,0.000779
-0.833186,0.001228,0.000779
-0.827752,0.000515,0.000783
-0.826901,0.000891,0.000784
-0.826094,0.001791,0.000784
-0.825185,0.000922,0.000785
-0.821456,0.002045,0.000788
-0.821456,0.000699,0.000788
-0.820230,0.000111,0.000789
-0.817961,0.000912,0.000791
-0.817080,-0.000195,0.000791
-0.816966,0.000057,0.000791
-0.816641,0.001128,0.000792
-0.816610,0.000091,0.000792
-0.813942,0.001579,0.000794
-0.812630,0.001110,0.000795
-0.812379,0.000817,0.000795
-0.812379,0.000983,0.000795
-0.809022,0.002562,0.000798
-0.808322,0.002749,0.000799
-0.807838,0.000424,0.000799
-0.805713,0.000840,0.000801
-0.805529,0.001881,0.000801
-0.804321,-0.000415,0.000802
-0.802618,0.000806,0.000804
-0.801866,-0.000200,0.000805
-0.800082,0.000277,0.000806
-0.799536,0.002192,0.000807
-0.796483,0.000471,0.000810
-0.794226,0.000602,0.000812
-0.794226,0.000536,0.000812
-0.791746,0.001953,0.000815
-0.791143,0.001181,0.000815
-0.791103,0.000988,0.000815
-0.789828,0.001217,0.000817
-0.789582,0.001160,0.000817
-0.785149,-0.000456,0.000822
-0.783458,0.000512,0.000824
-0.782204,0.002045,0.000825
-0.780453,0.000717,0.000827
-0.780340,0.000697,0.000827
-0.776678,0.002774,0.000831
-0.776072,0.000178,0.000832
-0.776072,0.000454,0.000832
-0.775335,0.003280,0.000833
-0.775169,0.001451,0.000833
-0.773695,0.001315,0.000835
-0.773264,0.000536,0.000836
-0.772196,-0.001311,0.000837
-0.771325,0.001733,0.000838
-0.770723,0.001232,0.000839
-0.766995,0.000216,0.000844
-0.766881,0.001081,0.000844
-0.764325,0.002223,0.000847
-0.762197,0.000239,0.000850
-0.762160,0.000183,0.000850
-0.760842,0.003099,0.000852
-0.759234,0.000722,0.000854
-0.758813,0.000576,0.000855
-0.758593,0.001624,0.000855
-0.757918,0.002759,0.000856
-0.757918,0.000538,0.000856
-0.756317,0.001328,0.000858
-0.755386,0.002784,0.000859
-0.753429,0.000773,0.000862
-0.753069,0.000028,0.000863
-0.748841,0.000195,0.000869
-0.748841,0.001354,0.000869
-0.748050,-0.000029,0.000870
-0.747643,0.000019,0.000871
-0.746446,-0.000399,0.000873
-0.746350,0.000703,0.000873
-0.742017,0.000589,0.000880
-0.739764,0.002491,0.000884
-0.739764,0.000197,0.000884
-0.737507,-0.000414,0.000887
-0.737286,0.000444,0.000888
-0.734812,0.001374,0.000892
-0.733126,-0.000039,0.000895
-0.731857,0.002634,0.000897
-0.730687,0.000941,0.000899
-0.730687,0.000655,0.000899
-0.730311,0.000204,0.000900
-0.728568,0.001695,0.000903
-0.727751,0.001366,0.000905
-0.726523,0.002302,0.000907
-0.725684,0.000396,0.000909
-0.725441,-0.000159,0.000909
-0.721610,0.002705,0.000917
-0.721610,0.001372,0.000917
-0.719628,0.000177,0.000921
-0.718608,0.000796,0.000923
-0.717364,0.001846,0.000925
-0.717153,-0.000408,0.000925
-0.716640,0.003448,0.000927
-0.716556,0.000493,0.000927
-0.713099,-0.000174,0.000934
-0.712533,0.002866,0.000935
-0.710689,0.003436,0.000939
-0.710376,0.001027,0.000940
-0.708865,0.000293,0.000943
-0.707428,0.000612,0.000946
-0.705529,-0.000155,0.000951
-0.704996,0.000545,0.000952
-0.703456,0.001506,0.000955
-0.703456,0.000646,0.000955
-0.702871,0.001726,0.000957
-0.701388,0.002050,0.000960
-0.698693,0.000134,0.000967
-0.698299,0.001771,0.000968
-0.694418,0.001295,0.000977
-0.694233,0.000797,0.000978
-0.692810,0.001720,0.000981
-0.689574,0.001810,0.000990
-0.689171,0.000660,0.000991
-0.686926,0.000251,0.000997
-0.685302,-0.000144,0.001001
-0.685302,0.001673,0.001001
-0.684286,-0.000592,0.001004
-0.684000,0.003500,0.001005
-0.683871,0.002905,0.001005
-0.683469,0.001619,0.001006
-0.683307,0.000945,0.001007
-0.681674,0.001243,0.001011
-0.680043,0.000652,0.001016
-0.676225,0.001242,0.001027
-0.676225,0.000948,0.001027
-0.675712,0.000626,0.001029
-0.673886,0.001813,0.001034
-0.672706,0.001897,0.001038
-0.672465,0.000510,0.001039
-0.672196,0.002872,0.001040
-0.670915,0.002671,0.001044
-0.669880,0.002616,0.001047
-0.667424,-0.000392,0.001055
-0.667322,0.000373,0.001055
-0.667148,0.002112,0.001056
-0.667148,0.002424,0.001056
-0.661943,0.003058,0.001073
-0.661786,0.001639,0.001073
-0.660539,0.000331,0.001078
-0.659136,0.002377,0.001082
-0.658071,0.001702,0.001086
-0.658071,0.002875,0.001086
-0.658003,0.001875,0.001086
-0.655474,0.001392,0.001095
-0.652971,0.003596,0.001105
-0.652658,0.001111,0.001106
-0.651179,-0.000358,0.001111
-0.649974,0.001134,0.001116
-0.648994,-0.000490,0.001120
-0.648113,0.002708,0.001123
-0.646021,-0.001582,0.001131
-0.643542,0.002307,0.001141
-0.642560,0.001947,0.001145
-0.641068,0.000463,0.001151
-0.640416,0.001490,0.001154
-0.639917,0.001454,0.001156
