# Training inputs, Training outputs, Predictions
-0.992079,0.080737,0.070734
-0.982921,0.086745,0.071704
-0.971825,0.063158,0.072936
-0.969544,0.079729,0.073196
-0.953044,0.061583,0.075165
-0.950225,0.069453,0.075516
-0.937208,0.084408,0.077198
-0.926628,0.079113,0.078641
-0.924409,0.062507,0.078952
-0.906913,0.087498,0.081522
-0.906025,0.073445,0.081658
-0.890286,0.082948,0.084164
-0.881431,0.079287,0.085656
-0.860782,0.093711,0.089382
-0.845780,0.100666,0.092322
-0.836233,0.096531,0.094302
-0.817627,0.080061,0.098425
-0.800066,0.096488,0.102659
-0.791036,0.106919,0.104975
-0.788493,0.130233,0.105645
-0.768521,0.144434,0.111194
-0.754352,0.154152,0.115456
-0.745839,0.144164,0.118156
-0.743870,0.135669,0.118796
-0.729229,0.133564,0.123742
-0.722390,0.128594,0.126171
-0.708638,0.122041,0.131295
-0.700642,0.119194,0.134428
-0.698735,0.106729,0.135192
-0.686700,0.165502,0.140175
-0.685029,0.157576,0.140890
-0.662924,0.155821,0.150872
-0.655444,0.138782,0.154486
-0.653601,0.160695,0.155396
-0.640830,0.183324,0.161914
-0.635804,0.167322,0.164585
-0.617210,0.169566,0.175010
-0.610247,0.143467,0.179145
-0.608466,0.199664,0.180223
-0.596631,0.196791,0.187612
-0.583997,0.255891,0.195940
-0.571497,0.197486,0.204649
-0.563331,0.218226,0.210601
-0.552432,0.244128,0.218880
-0.534011,0.168776,0.233785
-0.525783,0.214880,0.240827
-0.519853,0.250558,0.246056
-0.518196,0.227371,0.247539
-0.508232,0.229698,0.256682
-0.491735,0.309940,0.272662
-0.480069,0.321681,0.284619
-0.473062,0.266049,0.292070
-0.464033,0.355913,0.301974
-0.445604,0.270231,0.323278
-0.434355,0.240437,0.337017
-0.432218,0.394336,0.339691
-0.419834,0.255476,0.355590
-0.399474,0.347268,0.383247
-0.384261,0.481174,0.405149
-0.375635,0.577030,0.418036
-0.342927,0.375864,0.469899
-0.339063,0.515081,0.476328
-0.331436,0.366486,0.489200
-0.307212,0.434592,0.531559
-0.297213,0.513258,0.549642
-0.287236,0.664693,0.567992
-0.279528,0.768146,0.582357
-0.261081,0.676700,0.617283
-0.251500,0.604883,0.635659
-0.248669,0.621796,0.641110
-0.247388,0.659656,0.643579
-0.243037,0.662837,0.651976
-0.228632,0.756337,0.679847
-0.205786,0.695025,0.723907
-0.202253,0.752090,0.730665
-0.198838,0.550250,0.737176
-0.177735,0.850009,0.776762
-0.168819,0.791490,0.793047
-0.160072,0.858297,0.808699
-0.158274,0.794420,0.811870
-0.157118,0.848441,0.813901
-0.126839,0.839677,0.864347
-0.122688,0.794975,0.870787
-0.114358,0.873798,0.883312
-0.113077,0.844324,0.885189
-0.110439,0.837777,0.889011
-0.076558,1.007181,0.932475
-0.067880,0.964224,0.941750
-0.066240,0.948500,0.943410
-0.022930,1.000964,0.975718
-0.022683,0.950089,0.975835
-0.022041,0.949066,0.976135
-0.021714,0.976537,0.976285
0.022158,0.991947,0.983189
0.022515,0.970131,0.983134
0.023421,0.937694,0.982986
0.025851,0.972778,0.982532
0.061835,0.993723,0.965791
0.066357,0.966946,0.962364
0.068556,0.993816,0.960593
0.076747,1.003257,0.953391
0.107966,0.801521,0.917528
0.112909,0.908390,0.910687
0.113690,0.959253,0.909578
0.114211,0.808716,0.908835
0.127644,0.869555,0.888560
0.158106,0.813728,0.835500
0.159925,0.825196,0.832062
0.198955,0.879856,0.752956
0.200228,0.668256,0.750245
0.203304,0.604438,0.743669
0.203960,0.640860,0.742262
0.229437,0.619588,0.686883
0.246358,0.711826,0.649812
0.248501,0.693273,0.645130
0.251353,0.643575,0.638908
0.280333,0.587218,0.576655
0.292489,0.696451,0.551312
0.294229,0.576823,0.547731
0.297067,0.522201,0.541919
0.331229,0.520085,0.474865
0.331553,0.436467,0.474258
0.338620,0.411373,0.461132
0.338896,0.477401,0.460626
0.339364,0.423889,0.459766
0.342781,0.489927,0.453530
0.375752,0.449117,0.396654
0.382126,0.495799,0.386357
0.384093,0.344313,0.383226
