# Training inputs, Training outputs, Predictions
-0.100406,0.010288,0.007199
-0.100406,0.009746,0.007199
-0.100406,0.009028,0.007199
-0.100406,0.010427,0.007199
-0.100406,0.009056,0.007199
-0.100406,0.011914,0.007199
-0.100406,0.010918,0.007199
-0.100406,0.010583,0.007199
-0.100406,0.010133,0.007199
-0.100406,0.009300,0.007199
-0.100406,0.008594,0.007199
-0.100406,0.007497,0.007199
-0.100406,0.008035,0.007199
-0.100406,0.007470,0.007199
-0.100406,0.011209,0.007199
-0.100406,0.009440,0.007199
-0.100406,0.009508,0.007199
-0.100406,0.011290,0.007199
-0.100406,0.006464,0.007199
-0.100406,0.011496,0.007199
-0.100406,0.010441,0.007199
-0.100406,0.010531,0.007199
-0.100406,0.009747,0.007199
-0.100406,0.008013,0.007199
-0.100406,0.009673,0.007199
-0.100406,0.008646,0.007199
-0.100406,0.008724,0.007199
-0.100406,0.009341,0.007199
-0.100406,0.009048,0.007199
-0.100406,0.010375,0.007199
-0.100406,0.010357,0.007199
-0.100406,0.010732,0.007199
-0.100406,0.010749,0.007199
-0.100406,0.008446,0.007199
-0.100406,0.006975,0.007199
-0.100406,0.009275,0.007199
-0.100406,0.008302,0.007199
-0.100406,0.009698,0.007199
-0.100406,0.013002,0.007199
-0.100406,0.009161,0.007199
-0.100406,0.007623,0.007199
-0.100406,0.010856,0.007199
-0.100406,0.009104,0.007199
-0.100406,0.008537,0.007199
-0.100406,0.009382,0.007199
-0.100406,0.010160,0.007199
-0.100406,0.010473,0.007199
-0.100406,0.012802,0.007199
-0.100406,0.009511,0.007199
-0.100406,0.011174,0.007199
-0.100406,0.009213,0.007199
-0.100406,0.008833,0.007199
-0.100406,0.009545,0.007199
-0.100406,0.012075,0.007199
-0.100406,0.010762,0.007199
-0.100406,0.008830,0.007199
-0.100406,0.009453,0.007199
-0.100406,0.008515,0.007199
-0.100406,0.012235,0.007199
-0.100406,0.009913,0.007199
-0.100406,0.010463,0.007199
-0.100406,0.010752,0.007199
-0.100406,0.008714,0.007199
-0.100406,0.010844,0.007199
-0.100406,0.009551,0.007199
-0.100406,0.010577,0.007199
-0.100406,0.009004,0.007199
-0.100406,0.007751,0.007199
-0.100406,0.009735,0.007199
-0.100406,0.012114,0.007199
-0.100406,0.010506,0.007199
-0.100406,0.009320,0.007199
-0.100406,0.011023,0.007199
-0.100406,0.010697,0.007199
-0.100406,0.011474,0.007199
-0.100406,0.009087,0.007199
-0.100406,0.009746,0.007199
-0.100406,0.009812,0.007199
-0.100406,0.009209,0.007199
-0.100406,0.009915,0.007199
-0.100406,0.011173,0.007199
-0.100406,0.007563,0.007199
-0.100406,0.008440,0.007199
-0.100406,0.010630,0.007199
-0.100406,0.007416,0.007199
-0.100406,0.008345,0.007199
-0.100406,0.011038,0.007199
-0.100406,0.010674,0.007199
-0.100406,0.008837,0.007199
-0.100406,0.008790,0.007199
-0.100406,0.011272,0.007199
-0.100406,0.008736,0.007199
-0.100406,0.009589,0.007199
-0.100406,0.009704,0.007199
-0.100406,0.010528,0.007199
-0.100406,0.006929,0.007199
-0.100406,0.009185,0.007199
-0.100406,0.012066,0.007199
-0.100406,0.010812,0.007199
-0.100406,0.009191,0.007199
-0.100406,0.008364,0.007199
-0.100406,0.009914,0.007199
-0.100406,0.007638,0.007199
-0.100406,0.008404,0.007199
-0.100406,0.010454,0.007199
-0.100406,0.009323,0.007199
-0.100406,0.009336,0.007199
-0.100406,0.011351,0.007199
-0.100406,0.008677,0.007199
-0.100406,0.008005,0.007199
-0.100406,0.007283,0.007199
-0.100406,0.008529,0.007199
-0.100406,0.009307,0.007199
-0.100406,0.010866,0.007199
-0.100406,0.008517,0.007199
-0.100406,0.010348,0.007199
-0.100406,0.011852,0.007199
-0.100406,0.011414,0.007199
-0.100406,0.010043,0.007199
-0.100406,0.010997,0.007199
-0.100406,0.008722,0.007199
-0.100406,0.009827,0.007199
-0.100406,0.008462,0.007199
-0.100406,0.010251,0.007199
-0.100406,0.008020,0.007199
-0.100406,0.010144,0.007199
-0.100406,0.008045,0.007199
-0.100406,0.008922,0.007199
-0.100406,0.008768,0.007199
-0.100406,0.009420,0.007199
-0.100406,0.008043,0.007199
-0.100406,0.008973,0.007199
-0.100406,0.007918,0.007199
-0.100406,0.009680,0.007199
-0.100406,0.009077,0.007199
-0.100406,0.011955,0.007199
-0.100406,0.006816,0.007199
-0.100406,0.010356,0.007199
-0.100406,0.009177,0.007199
-0.100406,0.010009,0.007199
-0.100406,0.010877,0.007199
-0.100406,0.009228,0.007199
-0.100406,0.007149,0.007199
-0.100406,0.009344,0.007199
-0.100406,0.008276,0.007199
-0.100406,0.009971,0.007199
-0.100406,0.010798,0.007199
-0.100406,0.009267,0.007199
-0.100406,0.010302,0.007199
-0.100406,0.009721,0.007199
-0.100406,0.009641,0.007199
-0.100406,0.010143,0.007199
-0.100406,0.009431,0.007199
-0.100406,0.008505,0.007199
-0.100406,0.010655,0.007199
-0.100406,0.008141,0.007199
-0.100406,0.010133,0.007199
-0.100406,0.009672,0.007199
-0.100406,0.009192,0.007199
-0.100406,0.010726,0.007199
-0.100406,0.010340,0.007199
-0.100406,0.011254,0.007199
-0.100406,0.008475,0.007199
-0.100406,0.011193,0.007199
-0.100406,0.007592,0.007199
-0.100300,0.011384,0.007251
-0.100300,0.011583,0.007251
-0.100300,0.011570,0.007251
-0.100300,0.009963,0.007251
-0.100300,0.011067,0.007251
-0.100300,0.009193,0.007251
-0.100300,0.009792,0.007251
-0.100300,0.008225,0.007251
-0.100300,0.010461,0.007251
-0.100300,0.010339,0.007251
-0.100300,0.010163,0.007251
-0.100300,0.008988,0.007251
-0.100300,0.010337,0.007251
-0.100300,0.009661,0.007251
-0.100300,0.011460,0.007251
-0.100300,0.008432,0.007251
-0.100300,0.010059,0.007251
-0.100300,0.008686,0.007251
-0.100300,0.008661,0.007251
-0.100300,0.008629,0.007251
-0.100300,0.007811,0.007251
-0.100300,0.010701,0.007251
-0.100300,0.009260,0.007251
-0.100300,0.010338,0.007251
-0.100300,0.008626,0.007251
-0.100300,0.008409,0.007251
-0.100300,0.007831,0.007251
-0.100300,0.009785,0.007251
-0.100300,0.009745,0.007251
-0.100300,0.009345,0.007251
-0.100300,0.009393,0.007251
-0.100300,0.009010,0.007251
-0.100300,0.010083,0.007251
-0.100300,0.010619,0.007251
-0.100300,0.011547,0.007251
-0.100300,0.010795,0.007251
-0.100300,0.010742,0.007251
-0.100300,0.009972,0.007251
-0.100300,0.012015,0.007251
-0.100300,0.011358,0.007251
-0.100300,0.010674,0.007251
-0.100300,0.006570,0.007251
-0.100300,0.009591,0.007251
-0.100300,0.005363,0.007251
-0.100300,0.010627,0.007251
-0.100300,0.008010,0.007251
-0.100300,0.007777,0.007251
-0.100300,0.009481,0.007251
-0.100300,0.008901,0.007251
-0.100300,0.006102,0.007251
-0.100300,0.010924,0.007251
-0.100300,0.010068,0.007251
-0.100300,0.008975,0.007251
-0.100300,0.008460,0.007251
-0.100300,0.009997,0.007251
-0.100300,0.009543,0.007251
-0.100300,0.010458,0.007251
-0.100300,0.010293,0.007251
-0.100300,0.008891,0.007251
-0.100300,0.010511,0.007251
-0.100300,0.007977,0.007251
-0.100300,0.009335,0.007251
-0.100300,0.008987,0.007251
-0.100300,0.010937,0.007251
-0.100300,0.008336,0.007251
