# Training inputs, Training outputs, Predictions
-0.100406,0.010688,0.009050
-0.100406,0.008588,0.009050
-0.100406,0.010707,0.009050
-0.100406,0.008897,0.009050
-0.100406,0.010302,0.009050
-0.100406,0.010797,0.009050
-0.100406,0.008435,0.009050
-0.100406,0.008288,0.009050
-0.100406,0.009130,0.009050
-0.100406,0.008624,0.009050
-0.100406,0.009724,0.009050
-0.100406,0.009650,0.009050
-0.100406,0.012202,0.009050
-0.100406,0.010228,0.009050
-0.100406,0.011085,0.009050
-0.100406,0.009983,0.009050
-0.100406,0.011212,0.009050
-0.100406,0.012010,0.009050
-0.100406,0.008362,0.009050
-0.100406,0.012072,0.009050
-0.100406,0.007678,0.009050
-0.100406,0.008102,0.009050
-0.100406,0.009645,0.009050
-0.100406,0.010464,0.009050
-0.100406,0.008881,0.009050
-0.100406,0.009994,0.009050
-0.100406,0.009847,0.009050
-0.100406,0.008474,0.009050
-0.100406,0.011181,0.009050
-0.100406,0.009727,0.009050
-0.100406,0.009623,0.009050
-0.100406,0.009082,0.009050
-0.100406,0.009367,0.009050
-0.100406,0.006775,0.009050
-0.100406,0.011027,0.009050
-0.100406,0.009610,0.009050
-0.100406,0.009670,0.009050
-0.100406,0.009692,0.009050
-0.100406,0.009135,0.009050
-0.100406,0.010750,0.009050
-0.100406,0.010909,0.009050
-0.100406,0.009713,0.009050
-0.100406,0.009561,0.009050
-0.100406,0.011443,0.009050
-0.100406,0.010418,0.009050
-0.100406,0.008750,0.009050
-0.100406,0.010182,0.009050
-0.100406,0.010061,0.009050
-0.100406,0.012445,0.009050
-0.100406,0.009729,0.009050
-0.100406,0.011242,0.009050
-0.100406,0.009898,0.009050
-0.100406,0.008146,0.009050
-0.100406,0.009471,0.009050
-0.100406,0.010284,0.009050
-0.100406,0.011315,0.009050
-0.100406,0.008942,0.009050
-0.100406,0.009276,0.009050
-0.100406,0.009300,0.009050
-0.100406,0.012181,0.009050
-0.100406,0.010115,0.009050
-0.100406,0.008337,0.009050
-0.100406,0.010935,0.009050
-0.100406,0.012176,0.009050
-0.100406,0.009027,0.009050
-0.100406,0.009341,0.009050
-0.100406,0.010133,0.009050
-0.100406,0.008059,0.009050
-0.100406,0.009285,0.009050
-0.100406,0.010060,0.009050
-0.100406,0.006854,0.009050
-0.100406,0.009448,0.009050
-0.100406,0.010247,0.009050
-0.100406,0.008425,0.009050
-0.100406,0.007708,0.009050
-0.100406,0.009743,0.009050
-0.100406,0.009094,0.009050
-0.100406,0.008867,0.009050
-0.100406,0.009659,0.009050
-0.100406,0.011337,0.009050
-0.100406,0.010479,0.009050
-0.100406,0.007127,0.009050
-0.100406,0.010233,0.009050
-0.100406,0.008993,0.009050
-0.100406,0.010186,0.009050
-0.100406,0.010645,0.009050
-0.100406,0.008573,0.009050
-0.100406,0.008300,0.009050
-0.100406,0.008905,0.009050
-0.100406,0.008390,0.009050
-0.100406,0.008247,0.009050
-0.100406,0.009718,0.009050
-0.100406,0.009693,0.009050
-0.100406,0.008743,0.009050
-0.100406,0.008925,0.009050
-0.100406,0.010023,0.009050
-0.100406,0.011196,0.009050
-0.100406,0.008480,0.009050
-0.100406,0.009149,0.009050
-0.100406,0.009404,0.009050
-0.100406,0.009397,0.009050
-0.100406,0.011172,0.009050
-0.100406,0.008810,0.009050
-0.100406,0.010586,0.009050
-0.100406,0.009306,0.009050
-0.100406,0.010297,0.009050
-0.100406,0.007524,0.009050
-0.100406,0.010484,0.009050
-0.100406,0.010472,0.009050
-0.100406,0.008223,0.009050
-0.100406,0.009445,0.009050
-0.100406,0.010303,0.009050
-0.100406,0.011881,0.009050
-0.100406,0.009848,0.009050
-0.100406,0.009469,0.009050
-0.100406,0.008584,0.009050
-0.100406,0.007753,0.009050
-0.100406,0.011512,0.009050
-0.100406,0.009748,0.009050
-0.100406,0.010395,0.009050
-0.100406,0.010617,0.009050
-0.100406,0.009883,0.009050
-0.100406,0.009109,0.009050
-0.100406,0.010453,0.009050
-0.100406,0.009495,0.009050
-0.100406,0.007926,0.009050
-0.100406,0.010123,0.009050
-0.100406,0.009268,0.009050
-0.100406,0.010220,0.009050
-0.100406,0.010080,0.009050
-0.100406,0.008759,0.009050
-0.100406,0.010580,0.009050
-0.100406,0.010164,0.009050
-0.100406,0.007510,0.009050
-0.100406,0.009450,0.009050
-0.100406,0.011630,0.009050
-0.100406,0.009619,0.009050
-0.100406,0.011313,0.009050
-0.100406,0.010356,0.009050
-0.100406,0.009406,0.009050
-0.100406,0.009073,0.009050
-0.100406,0.010545,0.009050
-0.100406,0.009509,0.009050
-0.100406,0.007106,0.009050
-0.100406,0.010119,0.009050
-0.100406,0.008907,0.009050
-0.100406,0.010566,0.009050
-0.100406,0.009832,0.009050
-0.100406,0.010851,0.009050
-0.100406,0.010600,0.009050
-0.100406,0.010699,0.009050
-0.100406,0.006035,0.009050
-0.100406,0.009915,0.009050
-0.100406,0.010278,0.009050
-0.100406,0.006305,0.009050
-0.100406,0.008257,0.009050
-0.100406,0.009666,0.009050
-0.100406,0.008178,0.009050
-0.100406,0.008744,0.009050
-0.100406,0.008833,0.009050
-0.100406,0.008745,0.009050
-0.100406,0.008133,0.009050
-0.100406,0.011132,0.009050
-0.100406,0.006616,0.009050
-0.100406,0.009939,0.009050
-0.100300,0.010935,0.009008
-0.100300,0.011492,0.009008
