# Chi2_train, Chi2_test
1164242.500000,92414.984375
7.038699,8.061636
6.314714,7.241996
5.981760,6.886468
5.760096,6.654998
5.665683,6.577644
5.597626,6.521491
5.574566,6.516137
6.678683,15.528755
5.411239,6.352658
5.225710,6.145047
5.112684,5.993134
5.044408,5.890161
4.606711,5.359514
4.162075,4.799401
3.519075,4.099754
2.540708,2.832321
1.818342,1.661796
3.282600,1.599059
2.007950,1.371026
1.317119,1.412778
1.282551,1.327858
1.276399,1.322612
2.052292,2.495080
1.259861,1.297174
1.327272,1.379294
1.265504,1.302951
2.213764,2.984324
1.314503,1.376904
2.705175,2.340031
1.677425,1.515364
1.313543,1.351274
1.252430,1.300204
1.785702,1.959025
1.339403,1.338537
1.254206,1.301559
1.206252,1.235021
1.127315,1.130112
1.266259,1.206464
1.091698,1.089009
