# Chi2_train, Chi2_test
418352.125000,40420.437500
18.592476,19.860664
17.705118,18.790413
17.451880,18.527954
17.605137,18.645658
16.695890,17.698292
79.160973,181.880341
13.558210,14.550139
12.436024,13.326242
11.843912,12.665353
11.208948,11.948550
9.925371,10.528097
8.289400,8.779129
6.722449,7.079004
4.873067,4.992274
3.652748,3.584145
4.600392,8.829845
3.278605,3.180867
2.140263,2.127845
1.633567,1.656692
11.806230,18.711555
1.567549,1.601598
1.664091,1.654593
1.374071,1.424472
1.258573,1.299439
22.917700,36.631016
1.171120,1.218864
1.156267,1.201090
1.140562,1.186578
1.141216,1.184162
2.304121,1.821489
1.119292,1.162104
1.172711,3.822339
1.110081,1.149876
1.101920,1.138326
1.098481,1.135140
1.097021,1.131736
92.906364,111.464897
1.096186,1.130407
4.936326,8.990246
