# best iteration: (array([45]),)
4934030.500000,1849294.125000
24.629742,20.966002
20.705671,17.526653
18.602707,15.731718
18.019749,15.182569
17.872803,15.052750
17.588095,14.809684
16.993053,14.262431
16.357809,13.717496
15.553493,13.127148
14.605928,12.444691
13.561488,11.657914
12.111650,10.622332
10.732116,9.461709
24.390896,17.313362
8.183619,7.290359
4.124920,4.002704
2.683001,2.709296
6.164110,9.563741
2.078669,1.819826
1.732930,1.338466
1.676604,1.296490
1.644492,1.284449
2.450297,1.424484
1.626362,1.274843
1.548204,1.258996
1.477932,1.256116
1.465021,1.483328
1.191019,1.182410
1.154637,1.163111
7.048223,9.687380
1.129994,1.148706
1.123372,1.143450
1.123817,1.141796
1.116447,1.137265
1.105863,1.130742
37.911057,6.728742
1.095276,1.117645
1.092431,1.114483
1.088761,1.108596
1.176778,1.171528
1.081276,1.103213
1.081850,1.106092
54.088749,81.159157
1.080325,1.102722
1.079488,1.100876
1.110841,1.114136
1.096285,1.118363
2.387111,12.597067
1.083445,1.107439
