# best iteration: (array([49]),)
33563.511719,417572.687500
19.529379,16.911140
18.192554,15.633806
17.505957,15.166291
842.942566,1514.852417
15.708726,16.375185
14.191639,12.847857
13.509679,12.247924
12.955001,11.757134
11.725990,10.727028
11.188198,10.070088
13.861508,18.792953
6.382589,6.283783
4.423413,4.619884
3.577137,3.865101
3.383439,3.671511
3.288409,3.551819
67.464111,65.049515
3.146893,3.492175
2.696045,2.709644
1.936467,1.594225
1.732302,1.326382
1.702779,1.290791
1.686931,1.279927
1.667938,1.263041
3.258452,4.120887
1.581520,1.231651
1.465830,1.227663
1.260070,1.176880
1.171742,1.153157
1.166322,1.218032
1.407559,1.194165
1.386751,1.604432
43.268372,42.444946
1.083463,1.086974
1.074861,1.080513
1.364456,1.596613
1.139238,1.116243
1.506734,1.215754
1.066301,1.070288
2.727894,2.767576
1.067477,1.075371
1.063386,1.066722
1.062530,1.065570
1.061994,1.065046
1.061604,1.064880
1.064145,1.066407
11.394178,2.442194
1.965573,4.775467
1.060525,1.063284
