# best iteration: (array([41]),)
109878.062500,421519.781250
18.873577,15.628616
18.847021,15.554855
17.802856,14.773170
15.694362,13.030337
14.368114,12.113320
14.349701,12.399811
12.634328,10.974218
12.851932,11.187409
11.672511,10.217742
10.462179,9.208772
8.778769,7.811787
195.270844,134.717529
5.903700,5.592234
4.491254,4.487592
22.530207,60.542072
3.630650,3.817341
3.622756,3.831823
3.505471,3.737492
3.418461,3.652794
34.276814,24.616146
5.587103,5.105608
1.936312,1.677124
1.761737,1.354513
2.459105,4.139456
2.248352,2.134732
1.929411,1.667260
1.744508,1.337579
3.435593,5.724869
1.741713,1.333282
1.751994,1.343626
2.100156,2.105902
83.426796,63.475533
1.809114,1.398841
1.769366,1.365218
1.755172,1.348030
1.778399,1.368283
1.836922,1.478542
1.735558,1.326688
1.733743,1.325199
1.732347,1.325410
1.727538,1.317577
