# best iteration: (array([47]),)
95896.242188,420441.781250
18.848785,16.380428
18.474550,16.071703
18.541584,16.136385
18.431459,16.062798
16.946972,14.784052
13.550966,12.247072
12.643786,11.561838
11.956393,10.984293
11.127479,10.279201
94.227722,324.103699
37.749153,65.710564
7.566520,7.186446
5.453502,5.616494
3.738100,3.969100
2.705959,2.507300
1.851155,1.437106
1.769939,1.341768
1.742745,1.304451
1.739894,1.299018
1.732546,1.291568
6.449746,2.891114
1.518523,1.211241
11.306612,17.328802
1.704862,2.187862
1.958368,1.588117
1.659229,1.249999
1.238556,1.159712
1.137826,1.124465
6.557829,16.445614
1.110205,1.103137
5.936657,23.647411
1.103829,1.098516
1.097749,1.096507
24.263554,22.698351
1.096203,1.096055
1.094126,1.094599
1.217594,1.340981
1.096815,1.109891
1.094357,1.097268
1.120717,1.107228
1.092435,1.094538
8.582783,4.326198
1.091794,1.094777
1.727246,2.782892
9.558206,1.603786
8.559936,14.060207
1.090954,1.092541
3.279888,2.291393
3.279104,1.154498
