# best iteration: (array([42]),)
105502.796875,235665.359375
18.314777,15.428965
17.451382,14.731450
20.560955,15.257074
16.674885,15.445532
15.548412,13.184713
14.315353,12.287709
13.077563,11.349411
35.139896,15.102553
11.458886,10.139740
10.148852,9.001126
9.079055,15.767037
7.511992,6.558372
98.063721,69.482193
2.032092,1.599130
1.691841,1.343613
7.160738,10.488140
1.538947,1.250826
15.202954,5.278246
1.179838,1.160998
1.134281,1.154983
13.883630,22.212784
1.110796,1.129184
1.655177,1.271580
10.835310,6.382491
1.080324,1.088037
3.221122,1.478627
1.079705,1.086059
1.080128,1.084014
1.077310,1.082903
1.075992,1.081089
1.076425,1.082493
1.075155,1.081854
1.074722,1.080668
1.074847,1.079986
1.073641,1.080266
1.075883,1.081106
1.088936,1.097498
2.082790,2.908388
8.409328,14.164343
1.312867,1.219739
99.057007,82.035522
1.075367,1.079666
1.694760,1.306277
1.686485,1.315171
10.467846,8.835647
1.081761,1.087050
17.292782,29.008436
1.074147,1.081558
1.073198,1.079856
