# best iteration: (array([34]),)
1352326.875000,13079.795898
18.954481,16.163673
18.287872,15.597175
17.687225,15.083674
18.170668,15.553472
17.182331,14.768527
16.373663,14.170565
14.970964,13.220842
13.942363,12.592752
13.296241,12.126439
12.613180,11.602383
193.877655,116.353271
1162.528564,1161.666260
11.001909,10.248504
10.149624,9.549181
6.830594,6.679379
4.583419,4.762089
10.414889,32.004265
3.415696,3.781924
2.628280,2.581601
48.964081,81.020348
3.580928,2.832918
1.813325,1.401502
1.734558,1.316632
1.711994,1.303482
2.486737,1.631439
1.700201,1.299633
1.449943,1.245974
104.376953,120.527458
1.158208,1.122255
1.280894,1.141162
1.102557,1.098262
1.098850,1.094883
9.128401,10.542647
1.094247,1.091974
1.404598,1.589011
2.057908,1.944119
1.701308,1.129718
1.239448,1.568146
21.960890,35.539631
1.717687,2.236969
1.138389,1.196114
1.089844,1.095959
1.089688,1.095825
1.091418,1.094714
1.594502,1.362808
