# best iteration: (array([29]),)
13780.406250,22545.841797
51.079628,74.011551
50.552799,74.239517
50.477325,74.162178
50.448353,74.080551
50.428120,74.015167
50.445568,73.791405
50.135227,73.624344
48.971046,72.063248
40.584908,60.164268
27.248390,33.329132
5.843629,7.320674
3.621082,3.207598
3.265089,2.365694
3.216939,2.332092
7.105197,2.598661
3.213638,2.396926
3.176159,2.352067
3.203956,3.059620
3.157846,2.348977
4.299224,3.910655
3.113712,2.310037
3.085738,2.288548
4.072494,2.633517
16.069656,5.983215
2.988415,2.242351
2.750240,2.150557
0.944640,1.427837
0.821176,1.298505
0.796092,1.298076
0.910603,1.350805
0.780151,1.304773
0.789314,1.366041
0.771436,1.321934
0.768085,1.332971
0.765420,1.344539
0.762127,1.348238
0.760472,1.356117
2.268888,3.102813
0.755014,1.360067
0.753665,1.363618
0.752196,1.366395
