# best iteration: (array([29]),)
171057.171875,179103.546875
18.289043,19.366430
18.294395,19.266571
17.618086,18.686237
17.330103,18.402744
1896.850220,1844.982910
13.040769,14.202172
11.910934,13.274045
11.450026,12.834154
10.626830,11.991717
9.653934,10.940248
8.105497,9.207220
3.712188,4.163368
1.904281,2.052566
1.781567,1.906718
1.728622,1.847956
1.711070,1.828713
2.326334,1.926994
5.548727,3.746669
1.662419,1.772874
1.655039,1.766566
1.649885,1.761050
1.640364,1.742382
2.030052,2.022825
1.733052,1.874262
40.227467,36.454842
1.551521,1.639309
1.485399,1.570199
1.347747,1.422436
1.180377,1.258282
