# best iteration: (array([29]),)
5012473.000000,1442272.000000
22.231813,23.880043
18.423840,19.275894
17.667696,18.408733
17.431438,18.135508
218.225250,21.419344
16.383017,17.040941
189.587143,824.519775
14.645209,15.467885
12.563336,13.395718
12.070340,13.041304
11.836071,12.844472
12.447311,16.668858
10.885766,11.854183
55.656952,87.287910
9.296935,10.237016
8.013104,8.839166
7.913877,10.196444
3.888114,4.256570
4.503847,5.875902
2.325758,2.441174
1.719809,1.738383
1.663041,1.667386
1.685440,1.931836
10.466413,11.554778
1.722542,1.698944
1.883853,2.019186
18.185886,23.430262
1.775448,2.941499
1.601159,1.611925
