# best iteration: (array([28]),)
3421470.000000,736320.812500
18.629343,19.454559
17.757603,18.567936
17.324993,18.117353
16.684124,17.482601
16.195040,16.930811
14.848351,15.592423
13.797140,14.621956
17.853329,22.701073
385.228912,39.855797
11.708323,12.764913
10.807800,11.885194
9.873166,10.921218
8.996383,9.853540
7.542465,8.405829
6.064816,6.755739
4.916537,5.421593
5.547846,5.409428
2.417282,2.603239
1.903331,2.064006
6.569129,10.125760
1.579196,1.654561
1.527463,1.594345
15.816737,15.486350
1.694675,1.569296
1.195225,1.252926
1.149714,1.207275
1.236233,1.235016
1.113939,1.159350
1.729576,1.214184
