# best iteration: (array([27]),)
3836306.000000,722632.500000
19.559752,18.461025
18.188879,17.129055
17.317200,16.329025
16.410908,15.421477
16.542200,15.611484
16.206758,15.140529
15.857840,14.758394
322.150391,18.832352
13.546676,12.304419
12.962191,11.681110
11.907165,10.615312
10.772746,9.488573
8.648882,7.578353
6.544895,6.019377
2.603381,2.524677
1.807294,1.789854
1.711067,1.701501
45.020905,41.229904
1.691886,1.681627
1.876777,1.696311
16.210136,11.499250
3.970029,1.785764
1.662311,1.754375
1.805098,1.723098
6.772239,12.258545
1.691730,1.623664
1.635765,1.619869
1.904044,2.497131
48.221531,13.451258
