# best iteration: (array([29]),)
2101372.750000,359396.000000
19.305620,18.354794
18.356796,17.076637
17.864733,16.571848
16.972885,15.889172
16.883547,15.757626
16.039034,14.913889
14.368236,13.079342
14.019346,12.687486
12.931987,11.498313
12.332540,10.886675
11.737198,10.280660
11.014038,9.568747
9.413779,8.273455
5.442960,5.214017
2.421947,1.935351
1.736535,1.747801
1.712020,1.709706
116.768517,69.144951
1.691823,1.683605
1.728441,1.722218
1.663188,1.656277
31.325058,42.211651
1.544447,1.546073
1.386422,1.335657
2.178814,2.099902
1.134244,1.153921
1.116008,1.140015
3.484949,10.286782
1.095955,1.128038
