# best iteration: (array([29]),)
1032090.500000,10854.704102
18.369814,17.254414
17.680826,16.548960
16.938322,15.728716
16.280828,14.943992
77.271324,109.671059
13.988628,12.472240
18.460396,210.968353
11.902942,10.350901
10.804055,9.348276
9.288737,8.130392
7.880965,7.033628
6.774656,6.755583
4.736772,4.475268
4.224806,4.125832
3.758974,3.773458
3.572874,3.615893
3.461564,3.512893
3.418279,3.467827
23.121204,48.903027
3.111865,3.170946
2.571628,2.565233
2.461947,2.443187
5.918539,15.849072
1.695723,1.615639
1.632366,1.540613
1.497976,1.425361
1.265489,1.209845
1.260986,1.254618
1.167328,1.141958
