# best iteration: (array([29]),)
3574346.500000,1233107.875000
18.622303,17.041050
18.095686,16.542923
17.830526,16.299078
17.585146,16.082458
17.174320,15.689718
16.255541,14.826169
15.075065,13.685417
13.120790,11.791654
12.727863,11.408938
12.222074,10.930580
49.810532,20.340403
11.036991,9.840755
9.315428,8.282542
6.486716,5.768659
4.234085,3.928288
19.207895,31.222685
1.821200,1.863223
1.709938,1.778491
1.675314,1.732197
1.645680,1.704240
2.052738,2.026781
2.427458,2.684737
1.599127,1.654696
1.566825,1.623094
1.470464,1.524426
1.306434,1.339682
1.152242,1.188297
1.419727,3.832384
1.115458,1.145353
