# Chi2_train, Chi2_test
37477.300781,39859.449219
28.796101,30.710443
26.834600,28.332651
25.046200,26.165869
22.785641,23.424812
20.512613,20.716070
19.097406,18.793507
18.108280,17.271990
16.901999,15.638824
15.063422,13.426937
10.849951,9.330807
6.541475,5.579591
3.761926,3.372813
2.393500,2.437913
1.694119,2.453057
1.320275,2.069258
1.160028,2.083123
1.097074,2.196302
1.069653,2.229677
1.058131,2.265020
1.052202,2.281625
1.047976,2.289492
1.045436,2.296346
1.043614,2.299379
1.157360,2.562918
