# Training inputs, Training outputs, Predictions
-0.999531,-0.001335,0.000111
-0.998948,0.000153,0.000112
-0.996748,0.000701,0.000115
-0.994419,0.001924,0.000119
-0.993919,-0.000618,0.000119
-0.993919,-0.000548,0.000119
-0.992727,-0.000137,0.000121
-0.990660,-0.000399,0.000124
-0.990618,0.001851,0.000124
-0.984844,0.001412,0.000133
-0.984842,-0.001518,0.000133
-0.984842,0.001601,0.000133
-0.983048,0.001841,0.000136
-0.982372,-0.000485,0.000137
-0.979921,0.001793,0.000140
-0.978234,0.000650,0.000143
-0.975765,0.000797,0.000147
-0.974083,0.001158,0.000150
-0.974081,0.000221,0.000150
-0.972410,0.000850,0.000152
-0.972196,-0.000194,0.000153
-0.972146,0.000718,0.000153
-0.968697,-0.000883,0.000158
-0.966688,-0.001455,0.000162
-0.966688,0.001007,0.000162
-0.965795,0.000914,0.000163
-0.965404,-0.001830,0.000164
-0.963317,-0.000495,0.000167
-0.963018,-0.001273,0.000168
-0.961695,-0.000685,0.000170
-0.961085,0.000250,0.000171
-0.960991,-0.002476,0.000171
-0.958003,-0.000126,0.000176
-0.957611,0.000787,0.000177
-0.957611,-0.001201,0.000177
-0.957507,-0.000280,0.000177
-0.954346,0.000289,0.000183
-0.953890,0.001318,0.000183
-0.952554,0.000492,0.000186
-0.952052,0.000724,0.000187
-0.950886,-0.000555,0.000189
-0.949248,0.000122,0.000191
-0.949219,-0.000172,0.000192
-0.948534,-0.000137,0.000193
-0.947234,0.001188,0.000195
-0.944761,0.000555,0.000200
-0.943597,-0.001308,0.000202
-0.943112,0.000255,0.000203
-0.941790,-0.000321,0.000205
-0.940931,0.000852,0.000207
-0.939457,-0.000263,0.000209
-0.939457,0.001808,0.000209
-0.938863,-0.000561,0.000211
-0.936369,-0.000050,0.000215
-0.935633,0.000557,0.000217
-0.934173,-0.000280,0.000220
-0.932772,-0.000431,0.000222
-0.932643,-0.002339,0.000222
-0.931027,-0.000640,0.000226
-0.927752,-0.000369,0.000232
-0.926505,0.001440,0.000234
-0.925644,0.001337,0.000236
-0.925233,-0.000915,0.000237
-0.924355,-0.001753,0.000239
-0.921303,-0.000476,0.000245
-0.921303,0.000484,0.000245
-0.920264,-0.000488,0.000247
-0.920263,0.000106,0.000247
-0.917377,0.000210,0.000253
-0.916641,0.001314,0.000255
-0.916067,0.000832,0.000256
-0.914785,0.004214,0.000258
-0.912226,0.001567,0.000264
-0.911292,0.000470,0.000266
-0.909500,0.000247,0.000270
-0.908248,0.001011,0.000272
-0.907779,0.000706,0.000274
-0.907355,-0.000573,0.000274
-0.907334,0.000353,0.000275
-0.905770,0.000494,0.000278
-0.903149,-0.001447,0.000284
-0.900379,0.002231,0.000290
-0.899491,-0.001196,0.000292
-0.899120,-0.000450,0.000293
-0.898415,-0.000951,0.000294
-0.896941,0.000672,0.000298
-0.894418,-0.000092,0.000304
-0.894072,-0.000726,0.000304
-0.894072,0.001426,0.000304
-0.892817,0.000283,0.000307
-0.891277,0.001886,0.000311
-0.891203,-0.000185,0.000311
-0.889992,-0.000722,0.000314
-0.889476,0.001472,0.000315
-0.889388,0.001514,0.000315
-0.884995,0.000241,0.000326
-0.884995,0.001315,0.000326
-0.883307,0.000341,0.000330
-0.882915,0.001384,0.000331
-0.882590,0.000159,0.000332
-0.880864,0.000779,0.000336
-0.880537,0.001184,0.000337
-0.877210,-0.000755,0.000345
-0.876784,0.000209,0.000346
-0.875918,0.001003,0.000349
-0.875918,0.001097,0.000349
-0.874926,-0.001167,0.000351
-0.874626,-0.001074,0.000352
-0.872196,0.000338,0.000358
-0.871736,0.001992,0.000359
-0.871597,0.000125,0.000360
-0.871566,0.001130,0.000360
-0.868239,-0.000082,0.000368
-0.866841,-0.001303,0.000372
-0.866841,0.001353,0.000372
-0.866447,0.000485,0.000373
-0.866338,0.000663,0.000373
-0.863782,0.001540,0.000380
-0.862607,-0.000020,0.000383
-0.862292,-0.000333,0.000384
-0.861085,0.000426,0.000388
-0.857764,-0.000029,0.000397
-0.855683,0.000505,0.000403
-0.853888,0.001369,0.000408
-0.853719,-0.000117,0.000408
-0.853479,0.000566,0.000409
-0.849762,-0.000673,0.000419
-0.849265,-0.000674,0.000421
-0.848687,0.000417,0.000422
-0.847799,0.000119,0.000425
-0.844920,-0.001014,0.000433
-0.844779,0.001264,0.000434
-0.842754,0.000826,0.000440
-0.841474,-0.000515,0.000444
-0.839610,-0.000385,0.000449
-0.839537,-0.000123,0.000450
-0.835840,-0.000636,0.000461
-0.833306,0.001377,0.000469
-0.833186,-0.000137,0.000469
-0.830533,0.002569,0.000477
-0.830533,0.001807,0.000477
-0.827752,0.000689,0.000486
-0.826901,0.000563,0.000489
-0.826094,0.002178,0.000492
-0.825185,0.002491,0.000495
-0.824898,-0.000738,0.000495
-0.823393,0.001292,0.000500
-0.821456,0.000334,0.000507
-0.821456,0.000491,0.000507
-0.820230,0.001156,0.000511
-0.818813,0.002864,0.000516
-0.817961,0.001867,0.000518
-0.817080,0.000371,0.000521
-0.816641,0.001676,0.000523
-0.816610,-0.001612,0.000523
-0.813942,-0.000938,0.000532
-0.812379,-0.001256,0.000537
-0.809022,0.000625,0.000549
-0.808322,0.001118,0.000552
-0.807838,-0.000394,0.000553
-0.805713,0.001384,0.000561
-0.804321,0.001893,0.000566
-0.803303,-0.001802,0.000570
-0.803303,-0.001897,0.000570
-0.801866,0.001025,0.000575
-0.800082,0.001414,0.000581
-0.800034,0.002174,0.000581
-0.799536,0.001931,0.000583
-0.798710,0.000555,0.000586
-0.796483,0.000000,0.000595
-0.794418,0.002072,0.000602
-0.794226,0.000716,0.000603
-0.791195,-0.000350,0.000615
-0.791143,0.000967,0.000615
-0.789582,0.002041,0.000621
-0.785149,0.000945,0.000638
-0.785149,0.001783,0.000638
-0.785130,0.000436,0.000638
-0.783458,0.000572,0.000645
-0.783307,0.001438,0.000645
-0.780453,0.000400,0.000657
-0.780340,0.000094,0.000657
-0.776678,0.000271,0.000672
-0.776072,0.000961,0.000675
-0.775335,0.000570,0.000678
-0.775169,0.001112,0.000678
-0.773695,-0.000321,0.000685
-0.772196,0.000694,0.000691
-0.770723,0.000860,0.000697
-0.769576,0.001109,0.000702
-0.767781,0.000925,0.000710
-0.766995,0.000878,0.000713
-0.766995,0.001065,0.000713
-0.764325,0.000438,0.000725
-0.762197,0.000545,0.000734
-0.762160,0.001804,0.000734
-0.761085,0.001362,0.000739
-0.758813,0.001484,0.000749
-0.757918,-0.000462,0.000753
-0.757918,0.000652,0.000753
-0.756317,0.002175,0.000760
-0.755386,0.001486,0.000765
-0.753429,0.000805,0.000773
-0.753069,0.000747,0.000775
-0.750305,-0.000176,0.000788
-0.749974,0.000007,0.000789
-0.748841,-0.000648,0.000795
-0.748050,0.000415,0.000799
-0.747643,0.000771,0.000801
-0.746350,0.002736,0.000807
-0.744772,0.001283,0.000814
-0.743940,0.000239,0.000818
-0.742017,0.001706,0.000828
-0.739764,0.001229,0.000839
-0.739764,0.002509,0.000839
-0.739078,0.001279,0.000842
-0.737507,0.000769,0.000850
-0.733729,0.000866,0.000869
-0.733126,0.000677,0.000872
-0.731857,0.002547,0.000878
-0.730687,0.000125,0.000884
-0.730687,0.002092,0.000884
-0.730311,0.003147,0.000886
-0.728568,0.000156,0.000895
-0.727751,0.003134,0.000900
-0.725441,0.002723,0.000912
-0.721610,-0.000972,0.000932
-0.719628,0.001651,0.000943
-0.717364,0.001180,0.000955
-0.716640,0.001230,0.000959
-0.716556,-0.001667,0.000960
-0.715759,0.001720,0.000964
-0.712533,0.001065,0.000982
-0.710689,-0.000647,0.000993
-0.710376,0.000382,0.000994
-0.707428,-0.000492,0.001011
-0.705529,0.000597,0.001022
-0.704996,0.002454,0.001025
-0.704091,0.002094,0.001031
-0.703456,0.000887,0.001035
-0.703456,0.003140,0.001035
-0.702871,0.000386,0.001038
-0.701750,0.002162,0.001045
-0.701388,0.000484,0.001047
-0.700577,0.000929,0.001052
-0.698693,0.000027,0.001063
-0.698299,0.000028,0.001065
-0.696025,0.001409,0.001079
-0.694418,-0.000072,0.001089
-0.694379,-0.000794,0.001089
-0.694379,0.001496,0.001089
-0.694233,0.001886,0.001090
-0.692289,0.001969,0.001102
-0.689574,0.000231,0.001119
-0.689171,0.002643,0.001122
-0.688378,0.001809,0.001127
-0.685302,0.000224,0.001146
-0.685302,0.000824,0.001146
-0.684286,0.000824,0.001153
-0.684000,0.000174,0.001155
-0.683469,0.001606,0.001158
-0.683307,0.001936,0.001159
-0.681674,0.001311,0.001170
-0.680043,0.000642,0.001181
-0.675056,0.004114,0.001214
-0.673886,0.003066,0.001222
-0.672706,0.001965,0.001230
-0.672465,0.000149,0.001232
-0.670915,0.000420,0.001242
-0.669880,0.001736,0.001250
-0.667424,0.001753,0.001267
-0.667322,-0.000128,0.001267
-0.667148,0.001193,0.001269
-0.661943,0.000197,0.001306
-0.660539,-0.000013,0.001316
-0.659136,0.002299,0.001326
-0.658003,0.000815,0.001334
-0.657053,0.001697,0.001341
-0.655474,0.000802,0.001353
-0.652971,0.001771,0.001372
-0.652658,0.002459,0.001374
-0.651179,-0.001376,0.001386
-0.650848,0.001537,0.001388
-0.649974,0.001030,0.001395
-0.648994,-0.001198,0.001402
-0.648994,-0.000277,0.001402
-0.648113,0.003220,0.001409
-0.646021,0.000400,0.001425
-0.644900,0.001981,0.001434
-0.643542,0.002152,0.001445
-0.643530,0.001887,0.001445
-0.642560,0.002308,0.001453
-0.641068,-0.000693,0.001465
-0.640416,0.001662,0.001470
-0.639174,0.000761,0.001480
-0.634402,0.002314,0.001519
-0.634272,0.001275,0.001520
-0.631504,0.003705,0.001543
-0.630840,0.000265,0.001548
-0.630840,0.002192,0.001548
-0.630235,0.001349,0.001554
-0.629080,0.001198,0.001563
-0.626662,-0.000159,0.001584
-0.625984,0.000169,0.001590
-0.624269,0.002226,0.001605
-0.621763,0.001302,0.001627
-0.621763,-0.000386,0.001627
-0.621295,0.002092,0.001631
-0.616987,0.002668,0.001669
-0.616640,0.000211,0.001672
-0.616145,0.001914,0.001677
-0.614619,-0.000194,0.001691
-0.612687,0.002919,0.001708
-0.612356,0.000417,0.001711
-0.612256,0.001365,0.001712
-0.609918,0.000773,0.001734
-0.607017,0.001802,0.001761
-0.605529,0.002773,0.001775
-0.603610,0.000606,0.001794
-0.603417,0.000930,0.001796
-0.602469,0.003479,0.001805
-0.601120,0.000637,0.001818
-0.600157,0.000533,0.001827
-0.597889,0.002376,0.001850
-0.597362,0.001544,0.001855
-0.595567,0.003113,0.001873
-0.594533,-0.000687,0.001883
-0.594533,0.000489,0.001883
-0.594418,0.002768,0.001884
-0.587952,0.000307,0.001950
-0.586929,0.002294,0.001961
-0.586599,-0.000592,0.001964
-0.585696,0.001218,0.001974
-0.585538,0.002506,0.001976
-0.583443,0.000671,0.001998
-0.583307,-0.000397,0.001999
-0.581215,-0.000661,0.002021
-0.579632,0.001911,0.002039
-0.576599,0.002702,0.002072
-0.576379,-0.000333,0.002074
-0.576379,0.002674,0.002074
-0.576255,0.001102,0.002075
-0.575835,0.002208,0.002080
-0.573434,0.003755,0.002107
-0.572436,-0.000449,0.002118
-0.572196,0.003993,0.002121
-0.571234,0.002376,0.002131
-0.570504,0.000221,0.002140
-0.567967,0.004563,0.002169
-0.567659,-0.000349,0.002172
-0.567302,-0.000178,0.002176
-0.567302,0.002562,0.002176
-0.566864,0.004036,0.002181
-0.565072,0.000482,0.002202
-0.561376,0.001550,0.002245
-0.561084,-0.001018,0.002249
-0.559679,0.000718,0.002265
-0.558917,0.002448,0.002275
-0.558720,0.002188,0.002277
-0.558225,0.002454,0.002283
-0.554631,0.001498,0.002327
-0.554309,0.003141,0.002330
-0.552513,0.002356,0.002352
-0.552248,0.004464,0.002356
-0.551391,-0.000390,0.002367
-0.549781,0.001900,0.002386
-0.549148,0.002287,0.002394
-0.544400,0.003442,0.002455
-0.543545,0.003118,0.002466
-0.543103,-0.000066,0.002472
-0.540841,0.002171,0.002501
-0.540225,0.003125,0.002509
-0.540071,0.001522,0.002511
-0.538862,0.001437,0.002527
-0.538162,0.002212,0.002536
-0.534815,0.004847,0.002581
-0.532782,0.002811,0.002609
-0.531902,0.003148,0.002621
-0.529882,0.002042,0.002648
-0.528958,0.004642,0.002661
-0.527850,0.002357,0.002677
-0.525819,0.004066,0.002705
-0.523811,0.003369,0.002733
-0.521917,0.005164,0.002760
-0.521917,0.002934,0.002760
-0.518239,0.001089,0.002814
-0.516640,0.002099,0.002837
-0.515735,0.004960,0.002850
-0.515365,0.002361,0.002856
-0.512840,0.002495,0.002894
-0.512840,0.001036,0.002894
-0.511413,0.002067,0.002915
-0.509460,0.003076,0.002945
-0.505529,0.003248,0.003005
-0.503763,0.005474,0.003033
-0.501663,0.003641,0.003066
-0.500848,0.001472,0.003079
-0.500492,0.004314,0.003085
-0.498926,0.003470,0.003110
-0.497478,0.004011,0.003133
-0.496144,0.002997,0.003155
-0.495108,0.003484,0.003172
-0.494686,0.004299,0.003178
-0.494418,0.001106,0.003183
-0.493375,0.006148,0.003200
-0.489728,0.005349,0.003261
-0.486330,0.003948,0.003318
-0.485609,0.000459,0.003331
-0.485609,0.004164,0.003331
-0.484465,0.002772,0.003350
-0.483307,0.001742,0.003370
-0.482600,0.001710,0.003382
