# Training inputs, Training outputs, Predictions
-0.999531,-0.001084,0.000409
-0.998948,0.002011,0.000409
-0.997399,-0.000452,0.000410
-0.996748,0.002000,0.000410
-0.995607,-0.001332,0.000410
-0.994439,0.000332,0.000411
-0.994419,0.000078,0.000411
-0.992727,0.002154,0.000412
-0.990618,-0.000084,0.000413
-0.990402,0.001465,0.000413
-0.986816,0.000023,0.000415
-0.984842,0.000701,0.000415
-0.984842,-0.002122,0.000415
-0.983308,0.001274,0.000416
-0.982372,-0.000718,0.000416
-0.981274,-0.000933,0.000417
-0.978870,0.000677,0.000418
-0.978234,-0.001337,0.000419
-0.974081,-0.000188,0.000421
-0.972196,-0.000177,0.000422
-0.972146,-0.000843,0.000422
-0.969930,0.000269,0.000423
-0.966688,-0.000039,0.000425
-0.966688,0.001423,0.000425
-0.965795,-0.000762,0.000425
-0.963741,0.000053,0.000426
-0.963317,0.001368,0.000426
-0.961695,-0.001062,0.000427
-0.961085,0.001014,0.000428
-0.960991,-0.000345,0.000428
-0.958003,-0.001410,0.000429
-0.957611,0.000505,0.000430
-0.957507,-0.001452,0.000430
-0.953890,0.000368,0.000432
-0.952554,-0.000023,0.000433
-0.952052,-0.000255,0.000433
-0.950886,0.000044,0.000433
-0.949974,0.000301,0.000434
-0.949248,0.000182,0.000434
-0.948534,-0.000065,0.000435
-0.948534,0.000603,0.000435
-0.944761,-0.000198,0.000437
-0.943597,-0.000177,0.000438
-0.943112,0.001445,0.000438
-0.941790,-0.001354,0.000439
-0.940931,0.000412,0.000440
-0.939995,0.001183,0.000440
-0.939457,0.000349,0.000441
-0.938863,0.000445,0.000441
-0.936369,0.000074,0.000443
-0.935633,-0.000247,0.000443
-0.934756,0.000002,0.000444
-0.934173,0.000214,0.000444
-0.930380,0.002380,0.000447
-0.930380,0.000742,0.000447
-0.929191,-0.003065,0.000448
-0.926505,0.000449,0.000449
-0.925233,0.003036,0.000450
-0.924355,0.000243,0.000451
-0.920263,0.001571,0.000454
-0.917377,-0.002483,0.000456
-0.916641,-0.000717,0.000457
-0.916294,-0.000572,0.000457
-0.916067,0.002709,0.000457
-0.914785,0.001323,0.000458
-0.911292,-0.001078,0.000461
-0.909500,0.001479,0.000462
-0.908248,0.000839,0.000463
-0.907334,0.000719,0.000464
-0.905770,0.001193,0.000465
-0.905530,-0.001068,0.000465
-0.903849,0.001223,0.000467
-0.903149,-0.002920,0.000467
-0.903149,0.002435,0.000467
-0.900379,-0.000993,0.000470
-0.898737,-0.000072,0.000471
-0.898415,0.000003,0.000471
-0.896941,0.001275,0.000473
-0.894418,0.001395,0.000475
-0.892817,-0.000696,0.000476
-0.891277,0.000904,0.000478
-0.891203,0.001054,0.000478
-0.889388,-0.000847,0.000479
-0.887973,-0.000891,0.000481
-0.884995,0.000203,0.000483
-0.884995,0.000585,0.000483
-0.883307,0.000673,0.000485
-0.882915,0.001107,0.000485
-0.882590,0.001697,0.000486
-0.880864,0.001050,0.000487
-0.880537,-0.000632,0.000488
-0.878300,0.000104,0.000490
-0.877210,-0.000351,0.000491
-0.875918,0.000275,0.000492
-0.874926,0.000867,0.000493
-0.872196,0.000791,0.000496
-0.871736,0.000771,0.000497
-0.871566,0.000346,0.000497
-0.868239,0.000661,0.000500
-0.866841,-0.000890,0.000502
-0.866447,0.000636,0.000502
-0.866338,-0.000640,0.000502
-0.863782,0.000527,0.000505
-0.862658,-0.000079,0.000506
-0.862607,0.001440,0.000506
-0.861085,-0.001053,0.000508
-0.860465,0.000068,0.000509
-0.857764,-0.000808,0.000512
-0.857764,0.001489,0.000512
-0.857160,0.000073,0.000512
-0.855683,0.001735,0.000514
-0.853888,0.001749,0.000516
-0.849762,0.002386,0.000521
-0.848687,0.000279,0.000522
-0.847799,0.000965,0.000524
-0.846003,0.001258,0.000526
-0.844779,0.000961,0.000527
-0.842754,0.000871,0.000530
-0.841474,-0.000687,0.000531
-0.839610,-0.000373,0.000534
-0.839610,0.000273,0.000534
-0.834747,-0.000573,0.000540
-0.833306,0.000529,0.000542
-0.833186,0.001511,0.000542
-0.831542,0.001668,0.000545
-0.830533,-0.000435,0.000546
-0.828348,0.000644,0.000549
-0.827752,0.001873,0.000550
