# best iteration: (array([26]),)
4658193.500000,1460564.250000
18.812860,19.881071
17.859276,19.186556
17.647642,19.020948
17.295702,18.711130
16.941795,18.333490
16.930975,18.323753
16.797995,18.177803
15.937351,17.189068
14.435453,15.545904
12.175425,13.440797
11.306201,12.585067
10.766050,14.554715
8.115692,9.320508
5.328680,6.279364
3.440830,4.160380
3.061037,3.755405
2.404394,2.714476
1.929935,1.482721
1.627337,1.428568
5.561512,2.776066
2.873699,3.026453
1.362602,1.248647
1.219186,1.182813
1.148350,1.105822
1.134730,1.093381
1.123720,1.087968
1.210628,3.383250
