# best iteration: (array([29]),)
789082.437500,522.460754
20.644936,24.257645
19.480534,22.926125
17.980265,21.206606
16.276447,19.257055
15.225591,17.871347
14.784519,17.264700
13.009917,14.856764
12.084410,13.734097
11.793797,13.382266
11.150365,12.612454
9.515288,10.472770
53.785854,36.846691
4.085539,3.974414
3.144303,2.856347
21.507935,19.888107
1.746256,1.414619
98.164543,121.219894
1.694192,1.374335
1.689401,1.377586
2.342303,2.128410
1.648788,1.399031
2.163016,2.431901
1.383331,1.230053
1.220245,1.141844
1.142353,1.092714
1.121369,1.079787
1.107718,1.066967
1.336632,1.289235
1.103792,1.064388
1.103163,1.064667
1.266852,1.100807
1.929562,3.014228
1.304736,2.060328
1.100242,1.064580
