# best iteration: (array([22]),)
1562906.500000,116460.125000
19.068913,18.306437
18.434896,17.631325
18.073885,17.282017
18.553528,23.791594
17.607887,16.877869
17.290253,16.613722
14.836362,13.832456
15.181242,13.038894
12.071389,10.900347
11.252022,10.137296
10.330426,9.241820
8.913806,7.993578
6.896986,6.306894
4.205489,4.004643
3.073517,2.978452
2.695201,2.580128
9.658223,5.869442
1.814819,1.607631
9.075062,17.100187
1.551318,1.346253
1.505728,1.317549
1.416666,1.279226
8.175804,5.533280
1.502838,2.055510
