# Training inputs, Training outputs, Predictions
-0.993972,1.027185,0.841936
-0.981870,0.852088,0.865209
-0.978204,1.037672,0.872617
-0.967397,0.744650,0.895431
-0.965073,0.909544,0.900538
-0.953233,1.115577,0.927720
-0.948521,0.773482,0.939100
-0.938592,1.035416,0.964159
-0.929401,1.010327,0.988734
-0.929401,0.877210,0.988734
-0.926009,0.918727,0.998147
-0.925333,0.859200,1.000050
-0.921622,0.835673,1.010616
-0.921622,0.876126,1.010616
-0.888542,1.093730,1.115743
-0.884964,1.450967,1.128373
-0.875257,1.284825,1.163968
-0.862410,1.489948,1.214175
-0.849552,1.287496,1.268124
-0.848646,1.071000,1.272074
-0.848646,1.232601,1.272074
-0.837819,1.336975,1.320756
-0.837120,1.526098,1.323998
-0.781187,1.995890,1.624328
-0.767891,2.037984,1.708227
-0.760512,2.131974,1.756934
-0.753233,1.204298,1.806477
-0.749628,1.923638,1.831553
-0.746077,1.556931,1.856627
-0.746077,1.982343,1.856627
-0.698486,2.055746,2.225594
-0.690978,2.324288,2.289129
-0.689243,2.144278,2.304004
-0.687136,2.497605,2.322160
-0.680763,2.183698,2.377710
-0.671472,1.301545,2.460330
-0.661438,2.283210,2.551618
-0.660692,2.383521,2.558485
-0.658304,2.221581,2.580549
-0.615250,1.904442,2.996038
-0.608561,3.546939,3.063314
-0.606381,2.618870,3.085387
-0.598838,4.663707,3.162336
-0.582432,3.043389,3.332760
-0.573248,4.960817,3.430085
-0.572478,4.675024,3.438307
-0.570532,4.263777,3.459146
-0.570532,3.578633,3.459146
-0.525626,4.206603,3.963761
-0.520569,3.154477,4.024291
-0.515234,2.204869,4.089219
-0.512007,2.495431,4.129059
-0.506699,4.121509,4.195622
-0.505356,3.114964,4.212661
-0.499117,5.152213,4.293060
-0.496812,4.887863,4.323284
-0.493392,5.180697,4.368654
-0.487396,4.739982,4.449872
-0.485057,5.306015,4.482152
-0.482759,5.323142,4.514207
-0.482759,5.333230,4.514207
-0.425888,6.774840,5.432559
-0.421907,5.728982,5.505464
-0.414559,5.023759,5.641645
-0.413413,5.026871,5.663022
-0.408293,5.492933,5.758673
-0.406470,4.348013,5.792740
-0.396867,7.542344,5.970696
-0.394987,6.063488,6.004999
-0.394987,4.905230,6.004999
-0.364117,8.008332,6.503426
-0.364117,7.563602,6.503426
-0.331208,5.941719,6.856532
-0.316128,6.662160,7.192045
-0.315312,5.372239,7.224061
-0.310171,6.944845,7.471337
-0.308676,7.374063,7.557403
-0.307836,9.352613,7.608107
-0.307214,7.481423,7.646614
-0.307214,7.519942,7.646614
-0.283362,9.455282,8.641308
-0.236527,8.802819,8.398499
-0.235252,9.068586,8.399590
-0.230280,8.348177,8.408962
-0.229526,8.353185,8.411102
-0.226647,8.334997,8.421046
-0.225786,7.425297,8.424568
-0.221559,8.882629,8.445621
-0.220486,8.910359,8.451975
-0.219623,7.827028,8.457378
-0.219442,7.997472,8.458546
-0.219442,7.942862,8.458546
-0.141925,9.712583,9.500793
-0.141846,9.671985,9.501679
-0.139050,10.306129,9.532215
-0.137583,9.630451,9.547674
-0.135824,9.191476,9.565711
-0.132947,10.023490,9.594041
-0.132295,9.366189,9.600263
-0.131669,8.647019,9.606174
-0.131409,9.980885,9.608622
-0.121852,9.440208,9.690809
-0.121852,9.618410,9.690809
-0.048598,10.431157,10.029947
-0.048192,10.497869,10.031050
-0.047166,10.485569,10.033821
-0.046000,9.513027,10.036924
-0.045811,9.000510,10.037425
-0.045640,10.026879,10.037880
-0.045103,9.951278,10.039289
-0.045000,10.552853,10.039558
-0.044334,9.369324,10.041298
-0.044105,9.830886,10.041895
-0.043897,9.956781,10.042431
-0.043897,10.484662,10.042431
-0.043195,10.288057,10.044249
0.039658,9.996526,10.163094
0.043875,10.386172,10.162255
0.043875,10.001592,10.162255
0.044729,10.132539,10.161968
0.045823,9.554923,10.161535
0.046304,10.392496,10.161324
0.047428,10.413465,10.160779
0.047515,10.574883,10.160732
0.129888,9.864812,9.839140
0.131648,10.100482,9.824335
0.135581,9.848235,9.789709
0.136646,9.170699,9.779972
0.138056,10.094183,9.766817
0.138247,10.102107,9.765018
0.138279,9.105079,9.764715
0.140667,9.774108,9.741713
0.201167,7.983879,8.842695
0.201167,8.767223,8.842695
0.218928,7.496817,8.455599
0.219420,8.970795,8.444178
0.219420,8.364801,8.444178
0.220466,8.989021,8.419801
0.221447,9.766266,8.396817
0.221502,8.748505,8.395508
0.233907,7.753373,8.095150
0.236876,7.279766,8.021178
0.281922,8.650382,6.921958
0.281922,7.776313,6.921958
0.307193,7.896992,6.437273
0.307968,5.016415,6.424698
0.308657,8.140919,6.413647
0.309661,6.501440,6.397735
0.310115,5.403112,6.390615
0.318292,5.752767,6.270512
0.324710,7.151980,6.186735
0.327146,3.566453,6.157254
0.331557,3.966847,6.106944
0.362677,3.621094,5.845241
0.362677,6.761798,5.845241
0.394965,6.403674,5.670925
0.394965,6.109271,5.670925
0.396847,5.237594,5.661251
0.397008,5.199386,5.660415
0.397875,6.205065,5.655914
0.398727,6.499293,5.651448
0.406606,6.887530,5.607963
0.409116,5.558209,5.592943
0.414077,5.249039,5.560831
0.414698,4.832930,5.556546
0.418038,4.623998,5.532262
0.420385,4.117655,5.513794
0.426238,6.135319,5.461518
0.443432,5.853114,5.227516
0.482738,3.634698,3.975149
0.482738,4.086783,3.975149
0.485038,3.456915,3.909209
0.486048,4.996686,3.883492
0.486088,3.969477,3.882518
0.487339,3.549110,3.853859
0.496948,2.795882,3.766059
0.499939,3.658230,3.789755
0.506021,4.711730,3.906154
0.506837,4.012717,3.927823
0.511365,4.380734,4.067745
0.520918,3.784914,4.418407
0.524187,4.844385,4.533494
0.570510,4.481438,3.610389
0.573228,4.955908,3.514253
0.574302,2.253660,3.479470
0.575088,2.562264,3.455177
0.587290,2.912056,3.193168
0.590762,3.995634,3.151247
0.597964,2.812756,3.095266
0.598977,2.227878,3.089995
0.606864,2.969365,3.064180
0.615599,3.597700,3.057523
0.658283,3.449865,3.548516
0.658283,3.522062,3.548516
0.661418,4.371131,3.532125
0.662516,2.975023,3.505175
0.664564,3.438088,3.420405
0.681585,1.650817,1.548196
0.685697,1.841330,1.211003
0.685697,0.123533,1.211003
0.689907,1.233455,1.119866
0.691117,1.628401,1.151668
0.698019,0.944575,1.799574
0.700103,2.675857,2.092148
0.710280,3.290989,3.289501
0.746055,2.150033,1.939253
0.749609,1.777146,1.737501
0.750730,0.562280,1.683015
0.753168,1.333626,1.578762
0.753176,2.712481,1.578457
0.766452,2.025675,1.262392
0.766452,1.717154,1.262392
0.772409,0.861658,1.201204
0.781851,1.232236,1.148238
0.833828,1.479695,1.094099
0.833828,1.203166,1.094099
0.837799,0.874298,1.093507
0.838944,1.351942,1.093354
0.841789,0.570241,1.093010
0.842208,0.949356,1.092961
0.847207,1.352812,1.092460
0.858315,1.288501,1.091655
0.863232,1.469096,1.091396
0.873794,0.834632,1.090975
0.886582,0.991151,1.090630
0.921600,1.134591,1.090149
0.925990,1.034379,1.090115
0.927961,0.832350,1.090100
0.930401,0.918890,1.090084
0.931249,1.060924,1.090077
0.948657,0.807690,1.089985
0.954055,1.206685,1.089962
0.965737,1.302647,1.089922
