# Training inputs, Training outputs, Predictions
-0.993972,0.734595,0.899157
-0.978204,1.028601,0.928292
-0.967397,0.860352,0.949351
-0.965073,1.044947,0.954000
-0.953233,1.069853,0.978384
-0.948521,1.184938,0.988422
-0.930458,1.106329,1.028754
-0.929401,0.887119,1.031210
-0.929401,0.790331,1.031210
-0.925333,0.839044,1.040757
-0.921622,1.084243,1.049614
-0.884964,1.892462,1.144981
-0.875257,1.688663,1.172853
-0.873130,1.379785,1.179120
-0.858179,1.265713,1.224863
-0.848646,1.114042,1.255652
-0.848646,1.197597,1.255652
-0.841845,1.130425,1.278435
-0.837819,1.470626,1.292257
-0.837120,1.494919,1.294683
-0.833849,1.495036,1.306133
-0.804611,1.210586,1.416516
-0.795215,1.135845,1.455299
-0.783118,2.283809,1.507850
-0.767891,1.692438,1.578482
-0.767837,1.696698,1.578741
-0.753233,1.626083,1.651607
-0.749628,1.381405,1.670411
-0.746077,1.275243,1.689273
-0.746077,2.181991,1.689273
-0.709930,0.971353,1.901643
-0.690978,1.866564,2.029680
-0.687136,1.326529,2.057202
-0.687136,2.540133,2.057202
-0.680763,1.961088,2.104087
-0.677495,3.465408,2.128740
-0.664621,1.798703,2.230066
-0.660692,2.977503,2.262370
-0.615250,1.408246,2.688466
-0.608561,2.517281,2.760074
-0.606381,2.106096,2.783941
-0.605247,2.416942,2.796470
-0.597300,2.287464,2.886248
-0.587153,4.385496,3.006139
-0.582432,3.744076,3.063979
-0.573248,3.203597,3.180297
-0.572478,3.524022,3.190269
-0.570532,3.338445,3.215658
-0.520569,3.497072,3.944309
-0.515234,4.143376,4.030370
-0.506699,4.210166,4.170924
-0.505356,4.089368,4.193334
-0.499117,4.623755,4.298494
-0.496812,4.806324,4.337738
-0.487396,6.399066,4.499981
-0.482759,4.832851,4.580882
-0.444872,4.796841,5.252186
-0.444872,5.983364,5.252186
-0.421907,3.923053,5.648434
-0.418768,4.045409,5.700689
-0.414559,4.660113,5.769801
-0.413413,6.138840,5.788414
-0.408293,6.123454,5.870398
-0.406470,5.289295,5.899114
-0.404352,5.154012,5.932119
-0.398784,5.702799,6.017047
-0.396867,6.009956,6.045626
-0.396050,6.869668,6.057690
-0.394987,7.036099,6.073306
-0.364117,7.962116,6.470937
-0.331208,6.531022,6.760252
-0.328580,7.126969,6.777867
-0.325529,7.932008,6.797562
-0.322419,6.186072,6.816911
-0.321470,7.684375,6.822694
-0.317470,7.903509,6.846532
-0.310171,6.334204,6.888792
-0.307836,5.820111,6.902285
-0.307214,5.704059,6.905898
-0.307214,5.986928,6.905898
-0.283362,7.988866,7.070873
-0.236527,7.423016,7.819311
-0.232290,10.700622,7.919464
-0.229526,7.122542,7.986509
-0.226272,6.396718,8.066826
-0.225786,8.406535,8.078915
-0.221559,8.377479,8.184874
-0.219442,8.640529,8.238271
-0.219442,8.514580,8.238271
-0.202607,8.814495,8.655957
-0.202607,6.860964,8.655957
-0.141925,10.116500,9.685777
-0.135824,10.114654,9.743443
-0.135444,9.422313,9.746803
-0.131669,9.431402,9.778926
-0.131409,10.324783,9.781057
-0.121852,9.673808,9.851783
-0.121852,9.588757,9.851783
-0.048598,10.117985,10.082977
-0.048192,10.009391,10.083321
-0.047166,10.023461,10.084157
-0.045811,9.840200,10.085198
-0.045640,9.618528,10.085326
-0.045000,9.960296,10.085793
-0.044105,10.154176,10.086420
-0.043897,10.684348,10.086557
-0.043195,10.440515,10.087023
-0.041097,9.624652,10.088312
0.040848,10.160805,10.053753
0.043875,10.331806,10.049958
0.044085,9.877590,10.049686
0.044729,10.010845,10.048856
0.045823,9.715165,10.047420
0.046139,10.015340,10.047002
0.046304,10.465512,10.046780
0.047428,9.921579,10.045271
0.047515,10.137911,10.045152
0.120413,9.617511,9.864018
0.129888,10.058965,9.820547
0.131648,10.148326,9.811647
0.131648,9.985614,9.811647
0.132276,9.439672,9.808406
0.132890,9.728403,9.805198
0.133233,9.623173,9.803391
0.135581,9.801112,9.790723
0.136646,9.452527,9.784804
0.138056,10.139009,9.776781
0.138247,9.561889,9.775680
0.138279,9.755404,9.775496
0.142196,9.950762,9.752028
0.201167,9.220422,9.088116
0.201167,8.137438,9.088116
0.218928,9.387950,8.706588
0.219420,6.787483,8.694398
0.219420,8.014035,8.694398
0.220466,7.898742,8.668196
0.221502,9.510284,8.641838
0.225923,8.572989,8.524942
0.227469,8.811841,8.482365
0.230190,7.885287,8.405366
0.233907,10.658602,8.296073
0.281922,6.591445,6.756939
0.281922,7.139505,6.756939
0.308657,5.263714,6.279519
0.309661,6.362859,6.270183
0.316265,7.297208,6.221950
0.318292,6.796453,6.211382
0.322134,4.292273,6.196221
0.322558,5.561463,6.194912
0.324710,5.882998,6.189310
0.327146,6.714849,6.184946
0.331557,7.629132,6.181790
0.362677,5.967567,6.226779
0.394965,6.467253,5.912870
0.396847,6.850106,5.874122
0.397875,2.795318,5.852217
0.398727,6.837327,5.833659
0.406606,5.400044,5.648737
0.409116,5.740028,5.586027
0.414077,2.940413,5.458970
0.414698,5.946768,5.442900
0.418038,7.044645,5.356153
0.420385,7.557844,5.295182
0.426238,4.259529,5.144762
0.443432,2.593174,4.735060
0.443432,5.246926,4.735060
0.485038,6.504195,4.024636
0.486048,3.375572,4.011778
0.499939,3.030290,3.850508
0.506021,4.715747,3.787708
0.506837,3.583452,3.779579
0.511365,2.899707,3.735736
0.513625,3.074127,3.714565
0.520918,2.787321,3.649089
0.570510,4.349857,3.268356
0.573228,4.906190,3.248762
0.574302,3.054532,3.241015
0.575088,3.818182,3.235345
0.575952,5.075484,3.229117
0.587290,5.789596,3.146965
0.597964,1.822828,3.068518
0.598977,1.869441,3.060996
0.604692,3.592234,3.018263
0.604942,2.202591,3.016383
0.604942,1.678154,3.016383
0.606864,1.970035,3.001889
0.615599,3.973444,2.935179
0.658283,2.181155,2.588015
0.661418,2.564579,2.561166
0.662516,2.262191,2.551731
0.664128,2.048483,2.537837
0.664564,2.982331,2.534079
0.677632,1.970299,2.420013
0.681585,3.059938,2.385085
0.685697,3.305931,2.348597
