# Training inputs, Training outputs, Predictions
-0.993972,0.684143,0.826946
-0.978204,1.120055,0.862786
-0.967397,0.975086,0.888740
-0.965073,0.968224,0.894474
-0.953233,1.022108,0.924557
-0.948521,0.796334,0.936942
-0.930458,0.997990,0.986691
-0.929401,0.834401,0.989714
-0.929401,0.910408,0.989714
-0.925333,0.812149,1.001479
-0.921622,0.922938,1.012387
-0.884964,1.162325,1.129289
-0.875257,2.115765,1.163208
-0.873130,1.431647,1.170816
-0.858179,1.661895,1.226115
-0.848646,1.441634,1.263095
-0.848646,0.859813,1.263095
-0.841845,1.515438,1.290327
-0.837819,1.410688,1.306789
-0.837120,1.054122,1.309674
-0.833849,1.231144,1.323272
-0.804611,2.185625,1.452736
-0.795215,1.174954,1.497499
-0.783118,1.139550,1.557536
-0.767891,1.804095,1.637110
-0.767837,1.364061,1.637402
-0.753233,1.415405,1.718160
-0.749628,1.542060,1.738788
-0.746077,2.203773,1.759387
-0.746077,1.292100,1.759387
-0.709930,1.383190,1.985573
-0.690978,2.013109,2.117201
-0.687136,3.513912,2.145071
-0.687136,3.745932,2.145071
-0.680763,2.293607,2.192225
-0.677495,1.096454,2.216859
-0.664621,2.489595,2.317014
-0.660692,3.147860,2.348590
-0.615250,2.477221,2.752019
-0.608561,1.988437,2.817890
-0.606381,2.969860,2.839749
-0.605247,2.304752,2.851207
-0.597300,2.823715,2.932962
-0.587153,4.285545,3.041332
-0.582432,2.260547,3.093344
-0.573248,3.062164,3.197523
-0.572478,3.325971,3.206439
-0.570532,3.939521,3.229109
-0.520569,3.834094,3.880822
-0.515234,3.299180,3.959120
-0.506699,1.821363,4.088221
-0.505356,4.465177,4.108969
-0.499117,4.992280,4.206994
-0.496812,6.139657,4.243885
-0.487396,5.286561,4.398400
-0.482759,4.937918,4.476790
-0.444872,6.361554,5.173589
-0.444872,3.594000,5.173589
-0.421907,5.172275,5.635797
-0.418768,5.212553,5.700018
-0.414559,7.127903,5.786091
-0.413413,6.073548,5.809488
-0.408293,5.316589,5.913545
-0.406470,5.039409,5.950356
-0.404352,6.164648,5.992857
-0.398784,4.456128,6.103034
-0.396867,6.574651,6.140298
-0.396050,6.648199,6.156041
-0.394987,6.319495,6.176431
-0.364117,7.104668,6.663160
-0.331208,6.686850,6.739990
-0.328580,6.692350,6.719697
-0.325529,7.090544,6.691754
-0.322419,7.297119,6.658916
-0.321470,6.464232,6.648100
-0.317470,7.369608,6.599265
-0.310171,5.593838,6.501685
-0.307836,5.907048,6.470011
-0.307214,4.481064,6.461663
-0.307214,8.063034,6.461663
-0.283362,6.969020,6.281763
-0.236527,7.033645,7.471317
-0.232290,6.742551,7.646058
-0.229526,7.546602,7.760252
-0.226272,9.364582,7.893869
-0.225786,8.184606,7.913683
-0.221559,8.002545,8.083675
-0.219442,7.814404,8.166849
-0.219442,8.850759,8.166849
-0.202607,8.163575,8.756994
-0.202607,8.607862,8.756994
-0.141925,10.816713,9.757853
-0.135824,9.748927,9.800097
-0.135444,8.825588,9.802557
-0.131669,9.524058,9.826106
-0.131409,9.756546,9.827669
-0.121852,10.293539,9.880299
-0.121852,9.821613,9.880299
-0.048598,10.262987,10.107569
-0.048192,10.447147,10.108265
-0.047166,10.246378,10.110003
-0.045811,10.412629,10.112249
-0.045640,9.806233,10.112530
-0.045000,9.793930,10.113567
-0.044105,10.373682,10.115002
-0.043897,10.157046,10.115333
-0.043195,9.269281,10.116431
-0.041097,10.474971,10.119643
0.040848,10.245852,10.148041
0.043875,10.504789,10.145238
0.044085,9.778785,10.145031
0.044729,9.775090,10.144386
0.045823,9.999328,10.143265
0.046139,10.156661,10.142931
0.046304,10.077405,10.142753
0.047428,10.343006,10.141531
0.047515,10.381757,10.141438
0.120413,9.929515,9.925418
0.129888,9.912715,9.865894
0.131648,9.417873,9.853516
0.131648,9.912890,9.853516
0.132276,10.372362,9.848989
0.132890,9.327254,9.844507
0.133233,9.984482,9.841980
0.135581,10.041184,9.824168
0.136646,10.124244,9.815804
0.138056,9.587554,9.804432
0.138247,10.083135,9.802863
0.138279,9.575812,9.802605
0.142196,9.635158,9.769009
0.201167,8.445980,8.629436
0.201167,9.513073,8.629436
0.218928,7.733581,7.858330
0.219420,7.394172,7.834511
0.219420,7.578594,7.834511
0.220466,7.775047,7.783895
0.221502,6.323044,7.733917
0.225923,7.185622,7.527892
0.227469,9.231395,7.461508
0.230190,8.470344,7.358079
0.233907,6.324480,7.261826
0.281922,11.154846,9.932671
0.281922,8.750622,9.932671
0.308657,6.215007,6.182752
0.309661,6.034362,6.195145
0.316265,6.293196,6.488197
0.318292,6.956799,6.613461
0.322134,7.211716,6.842304
0.322558,6.856121,6.865502
0.324710,7.081880,6.974214
0.327146,5.976018,7.077684
0.331557,7.872437,7.213614
0.362677,7.214423,7.378665
0.394965,6.808641,6.339955
0.396847,6.753083,5.921966
0.397875,3.871164,5.700807
0.398727,5.036750,5.531462
0.406606,4.979580,4.749411
0.409116,5.582423,4.679511
0.414077,3.914021,4.611256
0.414698,3.347085,4.605816
0.418038,5.548107,4.581710
0.420385,2.622036,4.567798
0.426238,5.477305,4.536945
0.443432,6.508002,4.445257
0.443432,3.845942,4.445257
0.485038,5.213595,4.154170
0.486048,3.808572,4.145776
0.499939,4.168187,4.024208
0.506021,2.902174,3.967457
0.506837,3.957388,3.959676
0.511365,4.048763,3.915900
0.513625,4.008067,3.893641
0.520918,3.276652,3.820025
0.570510,4.002872,3.266371
0.573228,4.552412,3.234471
0.574302,4.271831,3.221851
0.575088,3.154342,3.212609
0.575952,2.550076,3.202459
0.587290,5.737207,3.069075
0.597964,2.460470,2.944153
0.598977,1.874114,2.932362
0.604692,1.592445,2.866160
0.604942,3.041150,2.863276
0.604942,2.018837,2.863276
0.606864,3.034633,2.841153
0.615599,3.366666,2.741585
0.658283,1.783840,2.287988
0.661418,1.949702,2.257275
0.662516,1.862996,2.246617
0.664128,2.396245,2.231048
0.664564,3.063521,2.226861
0.677632,1.905780,2.104785
0.681585,1.634279,2.069224
0.685697,2.902249,2.032925
0.691117,1.268480,1.986127
0.698019,1.001317,1.928264
0.700103,0.886286,1.911170
0.710280,1.923327,1.830209
0.746055,2.743608,1.577205
0.749609,1.922369,1.554624
0.750730,2.389495,1.547591
0.753168,1.830637,1.532444
0.753176,1.299477,1.532398
0.766452,2.028501,1.453447
0.772409,1.473275,1.419892
0.793342,2.861633,1.310638
0.804960,0.787670,1.255492
0.833828,1.062377,1.133852
0.833828,0.553793,1.133852
0.837799,1.284144,1.118711
0.841789,1.283741,1.103866
0.847207,1.222366,1.084274
0.847207,0.904510,1.084274
0.858315,1.077759,1.046085
0.863232,1.011609,1.030005
0.873794,1.408521,0.997073
0.875396,0.956462,0.992266
0.884673,1.262557,0.965354
0.886582,1.803937,0.960010
0.899641,0.820184,0.925124
0.921600,0.880718,0.872625
0.925990,0.946776,0.862988
0.927158,1.037214,0.860470
0.927961,0.847229,0.858748
0.927961,0.684319,0.858748
0.930401,0.758024,0.853575
0.931249,0.698259,0.851797
0.948657,0.738379,0.817356
0.954055,0.662893,0.807443
0.965737,0.648069,0.787154
0.978000,0.990623,0.767463
0.994322,0.806702,0.743604
