# Training inputs, Training outputs, Predictions
-0.988091,1.441090,1.396276
-0.966580,1.500880,1.441125
-0.961236,1.657066,1.453182
-0.956050,1.352145,1.465253
-0.956050,1.680095,1.465253
-0.940815,1.612085,1.502921
-0.928202,1.483014,1.536746
-0.918004,1.601388,1.565955
-0.908000,1.387107,1.596310
-0.902951,1.629086,1.612296
-0.898104,1.418989,1.628075
-0.898104,1.293003,1.628075
-0.868313,1.830806,1.734838
-0.849421,1.924771,1.811818
-0.844666,1.669375,1.832386
-0.840158,1.863858,1.852339
-0.840158,1.829613,1.852339
-0.826772,1.950484,1.914203
-0.786381,2.189385,2.125073
-0.782211,2.495520,2.148903
-0.782211,2.017720,2.148903
-0.769751,2.406044,2.222365
-0.748536,2.325094,2.354917
-0.740324,2.656099,2.408632
-0.732263,2.085411,2.462595
-0.728096,2.880486,2.490955
-0.724265,2.074633,2.517292
-0.712729,2.599695,2.598107
-0.688647,2.987166,2.773518
-0.681098,3.397593,2.830212
-0.673684,3.728394,2.886623
-0.669811,3.530428,2.916381
-0.666319,2.755184,2.943372
-0.666319,2.977500,2.943372
-0.655708,3.370455,3.026350
-0.628759,3.074044,3.243986
-0.621871,3.192577,3.301454
-0.615105,3.731982,3.358816
-0.611525,2.293323,3.389575
-0.608373,2.575431,3.416930
-0.608373,3.339391,3.416930
-0.598687,2.956156,3.502717
-0.562645,3.877681,3.859004
-0.553240,4.362747,3.967626
-0.541665,4.562652,4.115073
-0.508981,4.346543,4.628292
-0.503418,4.389298,4.724320
-0.494955,4.076784,4.863827
-0.484644,5.054786,5.004088
-0.449093,4.969346,4.980150
-0.389204,6.250500,6.596373
-0.380789,6.746981,6.685075
-0.378385,7.627348,6.704618
-0.376587,7.187016,6.718536
-0.329315,6.172475,7.138371
-0.322209,6.847323,7.221275
-0.320100,7.659797,7.246965
-0.318641,6.895804,7.265008
-0.269427,7.773030,7.980485
-0.266512,8.074788,8.026760
-0.263630,8.720274,8.072574
-0.261814,8.170879,8.101460
-0.256558,8.730996,8.184985
-0.209538,7.980915,8.881805
-0.207285,9.519065,8.911422
-0.205051,8.191678,8.940366
-0.202749,8.581543,8.969755
-0.202749,9.225113,8.969755
-0.146472,9.510589,9.544548
-0.144802,9.290258,9.557566
-0.144802,9.971604,9.557566
-0.087893,9.735447,9.885414
-0.086959,10.594587,9.889118
-0.086856,9.560289,9.889526
-0.085493,9.833553,9.894837
-0.029872,10.540957,10.030643
-0.029605,10.172867,10.030939
-0.029314,9.620124,10.031258
-0.028910,10.559936,10.031693
-0.028910,9.669414,10.031693
-0.028674,9.776068,10.031944
0.028550,9.477498,10.018576
0.029037,10.594292,10.017820
0.029037,10.275094,10.017820
0.029265,9.748148,10.017464
0.029611,9.966435,10.016918
0.030017,10.150366,10.016270
0.085571,9.875414,9.849529
0.086983,9.587958,9.843102
0.087844,9.731436,9.839123
0.089905,9.819458,9.829416
0.144929,8.025927,9.463478
0.144929,8.254696,9.463478
0.146182,9.473459,9.452450
0.149794,11.346342,9.419875
0.202875,9.650721,8.800979
0.202875,8.697116,8.800979
0.205002,9.249912,8.770547
0.207301,7.420982,8.737199
0.256636,8.195183,7.935829
0.260822,7.667522,7.864642
0.260822,8.374381,7.864642
0.262752,8.476553,7.831944
0.266527,8.319440,7.768323
0.313657,7.804820,7.067236
0.318768,6.859333,7.005997
0.318768,6.590463,7.005997
0.321037,5.819500,6.979831
0.322161,6.402555,6.967103
0.325754,7.022573,6.927398
0.329460,6.108017,6.888001
0.370679,6.603191,6.526330
0.376714,6.188085,6.478368
0.379322,7.181782,6.457397
0.380740,6.373472,6.445898
0.389349,7.245951,6.373808
0.444207,5.026074,5.682313
0.449237,5.338918,5.590895
0.484722,5.116767,4.862044
0.492607,5.530535,4.697157
0.492607,5.081310,4.697157
0.495893,4.306609,4.629887
0.497898,4.664299,4.589354
0.503434,3.056025,4.479845
0.550553,4.367793,3.727129
0.550553,4.150956,3.727129
0.562660,3.776302,3.583762
0.569015,3.796749,3.514987
0.598765,2.764106,3.238586
0.612463,2.873521,3.129885
0.615056,3.195207,3.110258
0.621887,2.179982,3.059784
0.628903,3.301795,3.009571
0.655786,2.685042,2.828422
0.666446,3.198053,2.759972
0.666446,3.274315,2.759972
0.673635,3.428563,2.714500
0.688792,2.917058,2.619925
0.712808,2.008197,2.472151
0.724392,2.021499,2.401330
0.724392,2.072442,2.401330
0.729033,2.488246,2.373009
0.732214,2.249012,2.353616
0.740340,2.379807,2.304139
0.748681,1.770826,2.253463
0.769829,2.353744,2.125776
0.782338,2.425910,2.051126
0.782338,2.193159,2.051126
0.790793,2.834538,2.001218
0.799566,1.916626,1.950032
0.808569,1.804481,1.898266
0.840285,2.043935,1.724049
0.840285,1.356699,1.724049
0.845604,1.614434,1.696350
0.849373,1.611444,1.677024
0.858793,1.769889,1.629876
0.868458,1.578971,1.583308
0.883872,1.482642,1.513059
0.898231,1.340192,1.452269
0.898231,1.815850,1.452269
0.903889,1.341322,1.429577
0.940894,1.261015,1.298710
0.956177,1.097031,1.253239
0.956177,1.150113,1.253239
0.962174,1.195722,1.236686
0.966531,1.303398,1.225099
0.977246,1.220451,1.198120
0.997915,1.352613,1.151807
