# Training inputs, Training outputs, Predictions
-0.988091,1.366544,1.394813
-0.966580,1.386050,1.423369
-0.961236,1.387178,1.431959
-0.956050,1.717595,1.440954
-0.956050,1.336120,1.440954
-0.940815,1.521862,1.471544
-0.928202,1.484941,1.502186
-0.918004,1.640805,1.530904
-0.908000,1.390850,1.562740
-0.902951,1.412839,1.580225
-0.898104,1.634921,1.597910
-0.898104,1.609727,1.597910
-0.868313,1.824450,1.724513
-0.849421,1.996271,1.816795
-0.844666,1.759496,1.840772
-0.840158,1.940547,1.863619
-0.840158,1.665354,1.863619
-0.826772,1.798405,1.931412
-0.786381,2.427380,2.125717
-0.782211,2.453488,2.144752
-0.782211,2.307009,2.144752
-0.769751,2.546950,2.201176
-0.748536,2.320471,2.298635
-0.740324,2.415378,2.338086
-0.732263,2.287955,2.378376
-0.728096,2.168775,2.399943
-0.724265,2.137687,2.420269
-0.712729,2.130536,2.484768
-0.688647,3.071597,2.638644
-0.681098,2.822280,2.693047
-0.673684,2.934203,2.749574
-0.669811,3.142710,2.780362
-0.666319,2.580012,2.808860
-0.666319,2.211568,2.808860
-0.655708,2.897308,2.899827
-0.628759,3.011877,3.159765
-0.621871,3.042828,3.232437
-0.615105,3.354902,3.306049
-0.611525,3.613189,3.345829
-0.608373,2.882984,3.381320
-0.608373,3.689831,3.381320
-0.598687,3.500007,3.492794
-0.562645,3.950034,3.930779
-0.553240,4.404468,4.048263
-0.541665,3.771878,4.193083
-0.508981,4.376459,4.595991
-0.503418,3.934568,4.662930
-0.494955,4.354483,4.763572
-0.484644,5.064047,4.884172
-0.449093,5.133983,5.283380
-0.389204,6.547658,5.926893
-0.380789,7.015892,6.019247
-0.378385,6.538651,6.045905
-0.376587,6.395220,6.065922
-0.329315,6.607280,6.632604
-0.322209,7.042437,6.726535
-0.320100,5.943385,6.754947
-0.318641,6.214756,6.774734
-0.269427,8.643490,7.512638
-0.266512,8.642815,7.560309
-0.263630,7.289712,7.607777
-0.261814,7.982155,7.637855
-0.256558,8.307917,7.725600
-0.209538,7.959873,8.522493
-0.207285,8.510528,8.559513
-0.205051,7.537025,8.595955
-0.202749,8.328066,8.633228
-0.202749,7.722501,8.633228
-0.146472,9.520785,9.401655
-0.144802,9.418808,9.419336
-0.144802,9.448549,9.419336
-0.087893,10.392250,9.847065
-0.086959,9.672642,9.851640
-0.086856,10.388836,9.852141
-0.085493,10.139909,9.858690
-0.029872,9.506369,10.034685
-0.029605,9.332274,10.035200
-0.029314,9.772350,10.035759
-0.028910,10.219986,10.036530
-0.028910,10.038280,10.036530
-0.028674,10.103922,10.036978
0.028550,9.670667,10.102940
0.029037,9.984490,10.103208
0.029037,10.453098,10.103208
0.029265,9.716548,10.103331
0.029611,10.184558,10.103517
0.030017,9.412387,10.103732
0.085571,10.364146,10.100452
0.086983,10.587112,10.099012
0.087844,10.366767,10.098069
0.089905,10.671257,10.095589
0.144929,8.698099,9.578362
0.144929,9.272158,9.578362
0.146182,10.488725,9.551767
0.149794,9.406844,9.476109
0.202875,9.410359,8.823642
0.202875,8.360204,8.823642
0.205002,8.747254,8.803261
0.207301,8.429807,8.780888
0.256636,8.859633,8.189884
0.260822,7.795511,8.130754
0.260822,8.361843,8.130754
0.262752,7.818355,8.103142
0.266527,9.114976,8.048560
0.313657,6.003431,7.332322
0.318768,6.976784,7.253475
0.318768,7.235190,7.253475
0.321037,6.799238,7.218506
0.322161,6.733854,7.201201
0.325754,7.022871,7.145913
0.329460,6.874103,7.088984
0.370679,7.257315,6.464473
0.376714,7.183595,6.374432
0.379322,7.154103,6.335632
0.380740,6.935176,6.314567
0.389349,6.867096,6.187035
0.444207,4.201222,5.389607
0.449237,4.329905,5.317919
0.484722,4.699896,4.821197
0.492607,4.237017,4.713343
0.492607,4.416871,4.713343
0.495893,5.163696,4.668719
0.497898,4.223564,4.641579
0.503434,2.961185,4.567045
0.550553,4.950038,3.959023
0.550553,3.500645,3.959023
0.562660,3.821642,3.811547
0.569015,4.202601,3.735729
0.598765,3.798367,3.396143
0.612463,3.406782,3.248631
0.615056,3.273146,3.221345
0.621887,3.826264,3.150472
0.628903,2.519384,3.079165
0.655786,2.697914,2.820036
0.666446,2.710123,2.723433
0.666446,2.954664,2.723433
0.673635,2.947804,2.660222
0.688792,2.936389,2.532037
0.712808,1.990778,2.342642
0.724392,2.340743,2.257092
0.724392,2.480997,2.257092
0.729033,1.765458,2.223846
0.732214,2.065946,2.201394
0.740340,2.927022,2.145254
0.748681,1.502837,2.089410
0.769829,1.966563,1.955621
0.782338,1.859456,1.881520
0.782338,2.538675,1.881520
0.790793,2.005943,1.833464
0.799566,1.921382,1.785268
0.808569,1.392782,1.737517
0.840285,1.388152,1.582304
0.840285,1.389248,1.582304
0.845604,1.526501,1.558144
0.849373,1.564360,1.541331
0.858793,1.094023,1.500402
0.868458,1.199458,1.459979
0.883872,1.680123,1.398653
0.898231,1.601689,1.344819
0.898231,1.676549,1.344819
0.903889,1.214874,1.324439
0.940894,1.365210,1.201822
0.956177,1.070320,1.156171
0.956177,1.104174,1.156171
0.962174,1.139984,1.138993
0.966531,1.119673,1.126760
0.977246,1.082591,1.097546
0.997915,1.101996,1.044505
