# Training inputs, Training outputs, Predictions
-0.992079,0.065615,0.070659
-0.982921,0.087757,0.071947
-0.971825,0.067923,0.073564
-0.969544,0.074774,0.073904
-0.953044,0.077476,0.076449
-0.950225,0.079764,0.076898
-0.937208,0.072875,0.079032
-0.926628,0.083777,0.080839
-0.924409,0.082691,0.081227
-0.906913,0.072974,0.084391
-0.906025,0.075202,0.084557
-0.890286,0.090895,0.087582
-0.881431,0.092584,0.089359
-0.860782,0.092809,0.093722
-0.845780,0.103480,0.097096
-0.836233,0.094088,0.099337
-0.817627,0.108177,0.103927
-0.800066,0.092581,0.108542
-0.791036,0.150199,0.111029
-0.788493,0.163288,0.111744
-0.768521,0.133278,0.117587
-0.754352,0.109483,0.121990
-0.745839,0.130070,0.124745
-0.743870,0.139296,0.125394
-0.729229,0.136032,0.130367
-0.722390,0.150430,0.132781
-0.708638,0.126280,0.137819
-0.700642,0.120682,0.140866
-0.698735,0.125559,0.141606
-0.686700,0.158910,0.146396
-0.685029,0.202189,0.147078
-0.662924,0.158715,0.156505
-0.655444,0.167497,0.159875
-0.653601,0.161206,0.160720
-0.640830,0.130825,0.166737
-0.635804,0.169292,0.169185
-0.617210,0.183746,0.178662
-0.610247,0.131610,0.182390
-0.608466,0.160946,0.183359
-0.596631,0.158214,0.189976
-0.583997,0.269170,0.197386
-0.571497,0.265858,0.205094
-0.563331,0.184773,0.210342
-0.552432,0.223286,0.217623
-0.534011,0.245210,0.230695
-0.525783,0.233925,0.236865
-0.519853,0.197408,0.241447
-0.518196,0.208482,0.242747
-0.508232,0.222092,0.250766
-0.491735,0.420305,0.264820
-0.480069,0.382195,0.275384
-0.473062,0.371974,0.281994
-0.464033,0.292003,0.290818
-0.445604,0.300794,0.309964
-0.434355,0.283445,0.322451
-0.432218,0.246525,0.324896
-0.419834,0.443044,0.339530
-0.399474,0.391822,0.365423
-0.384261,0.286084,0.386354
-0.375635,0.558874,0.398854
-0.342927,0.398352,0.450592
-0.339063,0.374374,0.457166
-0.331436,0.423084,0.470433
-0.307212,0.462152,0.515039
-0.297213,0.513791,0.534497
-0.287236,0.619851,0.554470
-0.279528,0.605633,0.570249
-0.261081,0.552013,0.609066
-0.251500,0.720033,0.629689
-0.248669,0.640671,0.635825
-0.247388,0.644910,0.638608
-0.243037,0.694501,0.648081
-0.228632,0.686659,0.679592
-0.205786,0.620947,0.729352
-0.202253,0.713288,0.736947
-0.198838,0.718497,0.744249
-0.177735,0.822362,0.788213
-0.168819,0.882195,0.806011
-0.160072,0.828178,0.822912
-0.158274,0.886887,0.826310
-0.157118,0.767015,0.828481
-0.126839,0.850369,0.880888
-0.122688,0.910945,0.887333
-0.114358,0.820156,0.899678
-0.113077,0.846951,0.901504
-0.110439,0.853264,0.905203
-0.076558,1.008133,0.945003
-0.067880,0.992579,0.952787
-0.066240,0.929621,0.954144
-0.022930,1.018930,0.976627
-0.022683,0.935991,0.976681
-0.022041,0.984936,0.976817
-0.021714,0.976455,0.976884
0.022158,0.927627,0.972610
0.022515,0.955466,0.972469
0.023421,0.946598,0.972103
0.025851,1.002918,0.971068
0.061835,0.919960,0.946892
0.066357,0.967405,0.942722
0.068556,0.942842,0.940609
0.076747,0.972331,0.932239
0.107966,0.904392,0.893604
0.112909,0.864898,0.886578
0.113690,0.892547,0.885446
0.114211,0.989507,0.884688
0.127644,0.847890,0.864303
0.158106,0.904282,0.812694
0.159925,0.726161,0.809408
0.198955,0.716028,0.734781
0.200228,0.667311,0.732244
0.203304,0.681973,0.726091
0.203960,0.729777,0.724775
0.229437,0.614983,0.673006
0.246358,0.697125,0.638281
0.248501,0.527284,0.633887
0.251353,0.615901,0.628042
0.280333,0.547060,0.569281
0.292489,0.604985,0.545188
0.294229,0.742452,0.541774
0.297067,0.619982,0.536231
0.331229,0.479978,0.471867
0.331553,0.385538,0.471281
0.338620,0.419186,0.458602
0.338896,0.353725,0.458112
0.339364,0.347190,0.457280
0.342781,0.328814,0.451247
0.375752,0.496652,0.396035
0.382126,0.425534,0.386014
0.384093,0.462453,0.382966
0.384751,0.428443,0.381951
0.388495,0.427943,0.376219
0.419951,0.319593,0.331032
0.429634,0.280379,0.318186
0.430882,0.355006,0.316566
0.433022,0.351522,0.313806
0.434208,0.400798,0.312288
0.464150,0.326436,0.276334
0.474487,0.326810,0.264955
0.479922,0.252551,0.259176
0.519685,0.188594,0.220952
0.523144,0.195202,0.217946
0.525636,0.204543,0.215809
0.552549,0.176832,0.194278
0.565038,0.230708,0.185187
0.569274,0.189198,0.182225
0.585712,0.168214,0.171293
0.610079,0.120226,0.156617
0.610173,0.158524,0.156564
0.615405,0.121926,0.153636
0.617064,0.145446,0.152724
0.640947,0.176702,0.140381
0.655308,0.133286,0.133632
0.662778,0.172355,0.130307
0.685146,0.184281,0.121058
0.687505,0.142265,0.120142
0.707667,0.088650,0.112732
0.708492,0.094101,0.112445
0.729346,0.097920,0.105555
0.738401,0.119264,0.102779
0.745577,0.103866,0.100667
0.773545,0.080748,0.093123
0.789298,0.098142,0.089315
0.790712,0.080726,0.088988
0.790868,0.115645,0.088951
0.799919,0.078960,0.086912
0.799929,0.078758,0.086910
0.817744,0.070434,0.083154
0.835847,0.076592,0.079666
0.836065,0.075996,0.079626
0.840194,0.074167,0.078874
0.845633,0.085731,0.077908
0.846060,0.083977,0.077833
0.881263,0.081655,0.072185
0.891091,0.074298,0.070777
0.892190,0.089368,0.070624
0.926460,0.058798,0.066246
0.937061,0.053287,0.065036
0.938321,0.062293,0.064897
0.941987,0.051039,0.064496
0.971251,0.067827,0.061544
0.971657,0.060148,0.061505
0.984452,0.068671,0.060346
0.994541,0.062955,0.059483
