# Chi2_train, Chi2_test
785534.750000,139225.781250
6.395264,7.074313
6.153680,6.861668
5.983625,6.701268
5.725293,6.415714
23.105677,45.338631
5.646482,6.329731
5.739413,6.416639
5.547425,6.250945
5.471399,6.175139
5.367100,6.064223
5.085727,5.768611
5.378876,5.569740
4.510304,5.014406
4.022264,4.381201
3.415102,3.592440
2.585761,2.627489
1.603932,1.574283
1.499923,1.472169
1.488662,1.463281
1.482629,1.457485
1.476069,1.451340
1.474955,1.449255
1.586919,1.540966
1.472483,1.448853
1.967841,1.798219
1.453626,1.430534
1.451661,1.429063
1.454205,1.566671
1.444202,1.421800
1.441970,1.418700
1.441074,1.416869
2.595152,2.037546
32.668606,38.684017
1.434779,1.411334
1.423479,1.399997
8.006008,3.383236
1.416971,1.619722
1.804720,2.002137
1.970255,2.216426
