# best iteration: (array([48]),)
21476.765625,414033.875000
18.690830,16.062263
18.105576,15.461290
17.367331,15.018233
15.999848,13.943335
13.328831,11.953104
12.219493,10.976729
11.593434,10.465908
10.671013,9.694801
9.502926,8.721142
43.016796,12.516496
9.979540,4.039688
2.036954,1.745556
3.584983,14.968781
1.737377,1.370339
19.729881,44.604523
1.710068,1.343546
2.025817,2.008566
1.740669,1.349537
1.738430,1.361483
1.690622,1.326678
1.681140,1.319696
2.620185,1.539892
1.680372,1.338730
1.697444,1.338798
41.565166,58.240860
23.660721,33.089367
1.717823,1.348269
6.246689,4.372462
1.686324,1.324854
1.634171,1.293986
1.617578,1.285943
1.978358,1.588638
6.569591,9.885822
1.650419,1.296864
1.739205,1.316724
1.310761,1.244901
5.281451,4.169983
1.120496,1.114479
1.104058,1.105433
1.332418,2.530804
1.090964,1.093615
1.089584,1.092019
1.128201,1.274136
1.084291,1.089774
1.083695,1.086996
20.986454,12.252244
1.081506,1.085952
1.081222,1.085144
1.080185,1.085477
