# best iteration: (array([48]),)
1065788.500000,33450.769531
19.373598,16.420177
17.188940,14.738391
16.345984,14.019099
15.832397,13.561391
14.779212,12.660898
14.163335,12.319251
13.467451,11.784686
12.950130,11.404200
11.787354,10.476286
11.281887,10.087385
10.999602,9.876303
9.785406,8.749604
7.397097,6.691898
1.965158,1.575120
1.752871,1.336168
1.673563,1.272681
1.836603,1.274686
1.613358,1.258980
1.490161,1.225871
1.719606,1.854739
1.207658,1.134582
6.834955,4.591710
1.150197,1.109055
1.143744,1.108250
1.152700,1.106483
1.115281,1.101926
1.110989,1.102765
1.128884,1.114150
1.376746,1.609204
1.101736,1.099436
1.102508,1.100295
1.099424,1.097075
1.103288,1.101566
79.835884,34.517365
1.097055,1.094153
3.073044,1.132194
1.093741,1.092951
22.965622,20.407780
1.091973,1.092807
1.092023,1.093072
1.099686,1.095948
1.088573,1.090809
1.092020,1.092865
2.044738,10.133177
1.086236,1.089985
1.087499,1.090020
1.093334,1.091353
1.084823,1.089861
1.095003,1.115050
