# best iteration: (array([47]),)
4647157.000000,1200084.750000
20.256729,17.369026
18.108305,15.366800
16.285810,13.888335
15.415775,13.208496
15.523635,13.247728
15.420792,13.149678
15.430732,13.169353
14.048078,12.181950
14.296999,13.625098
12.581029,11.068236
12.126297,10.730371
11.532851,10.271182
10.717896,9.658262
9.644023,8.796350
27.467571,16.747847
2.940993,2.794483
2.747571,1.621163
1.726579,1.363838
5.591606,5.366741
1.661351,1.306693
5.880314,3.553324
1.662439,1.310666
1.576532,1.260614
1.492801,1.235953
1.238288,1.179540
1.147301,1.149644
1.107607,1.120263
1.583275,1.373345
1.089146,1.110884
1.095778,1.113506
101.872459,53.650715
1.082933,1.109144
1.414123,1.123156
1.079554,1.106258
3.747881,1.531653
1.078803,1.105242
1.148566,1.180301
1.077170,1.103031
1.231954,1.441402
1.076457,1.102193
1.079452,1.104349
2.016585,1.335036
1.075782,1.101683
8.796243,1.630725
1.074949,1.101061
1.075512,1.102413
1.073910,1.100929
1.075388,1.102750
4.092446,3.041029
