# best iteration: (array([34]),)
795761.187500,1492.454834
20.520174,17.215622
19.055775,15.976965
2003.223877,148.177780
17.390732,14.638411
15.588740,13.263422
15.028299,12.853083
13.868672,11.999347
13.489908,11.789534
11.851393,10.538918
12.887727,11.692410
9.106566,8.292677
7.117199,6.595505
23.341135,54.405273
2.066481,1.739290
1.736309,1.360342
2.161602,1.390042
1.658672,1.276844
1.650838,1.264759
4.677483,4.733215
1.641668,1.255320
4.761831,6.015002
1.753939,3.236238
1.660689,1.380564
1.551547,1.227959
1.392335,1.195751
1.186970,1.117396
1.118585,1.083678
1.097272,1.073018
3.046405,4.646587
1.208556,3.115335
8.082343,1.360589
1.084130,1.071409
1.081728,1.068262
1.080934,1.067580
1.081514,1.068351
1.082461,1.078302
1.161138,1.296021
149.536072,91.503654
1.081680,1.072135
1.080255,1.071018
1.079945,1.070593
1.079876,1.070420
1.086342,1.078921
