# best iteration: (array([27]),)
4834492.000000,2342259.750000
24.374559,25.629200
20.147413,21.235979
18.489170,19.313877
17.961851,18.772818
17.512568,18.350117
16.189491,17.080179
13.421761,14.382332
11.937617,13.004811
11.067917,12.231008
10.281088,11.478365
21.532490,12.754066
9.064152,10.205643
7.796680,8.823515
5.058293,5.638532
2.412957,2.570417
1.939049,2.004246
2.014215,3.581893
1.674982,1.706012
1.649958,1.671567
1.634836,1.655418
36.652225,8.934253
1.607501,1.622230
43.112350,47.401760
1.431623,1.424300
1.275809,1.258800
6.830761,1.441847
1.177183,1.151186
84.340126,39.698158
1.337574,1.412425
