# best iteration: (array([27]),)
368939.406250,25565.277344
17.976685,18.799681
16.765436,17.670364
16.487890,17.397257
14.980432,15.923021
13.655714,14.666128
12.442286,13.489229
11.827073,12.979890
11.592388,12.754902
11.349526,12.510168
183.698364,79.570366
9.847849,11.083536
9.313419,8.773926
1.927360,1.951644
51.765274,82.806259
4.590446,2.985286
12.767643,13.578879
1.630143,1.646677
1.593817,1.615898
1.840361,3.611409
1.527075,1.546901
1.390487,1.464180
1.131121,1.166826
7.830675,3.817125
1.089309,1.109266
1.088083,1.102079
1.079569,1.090678
1.078223,1.089153
1.081180,1.089986
1.099528,1.130730
