# best iteration: (array([29]),)
2101568.250000,338909.531250
19.381199,20.570778
17.459457,18.316912
16.289579,17.039776
16.195257,16.955584
15.990054,16.750053
15.889267,16.678499
18.460781,36.549126
14.259231,15.086515
12.974284,13.828016
10.870965,11.906579
20.872936,20.166830
6.824395,7.470169
3.120062,3.282987
1.820101,1.834487
1.572020,1.575993
1.498715,1.508111
5.211021,18.526051
1.380493,1.399163
1.288053,1.311035
1.274815,1.224347
1.136867,1.145205
4.597142,6.900732
1.314175,1.114704
1.099611,1.102682
1.093414,1.105619
1.103151,1.104431
1.081938,1.081146
1.079587,1.080793
1.080693,1.080418
