# best iteration: (array([29]),)
5559237.500000,1556872.250000
20.133520,19.570194
19.069782,17.976204
18.604130,17.453981
17.804739,16.646851
17.020325,15.776675
16.443878,15.229229
17.434446,15.431787
14.449951,13.060406
12.922005,11.330692
13.636675,11.232629
11.833124,10.285660
11.418097,9.832429
10.416579,8.916638
9.009710,7.711098
6.551070,5.910167
3.948300,3.933704
4.902949,4.104622
4.043257,3.575035
1.938473,1.919752
2.375050,2.250248
1.729045,1.698475
1.893820,3.172368
1.675856,1.653394
1.676599,1.652078
1.633590,1.622827
1.977349,1.983157
1.616831,1.631344
1.607861,1.594774
1.600845,1.585994
