# best iteration: (array([25]),)
353702.625000,38974.328125
18.816465,17.395683
18.461140,17.057367
18.833149,17.169325
18.027481,16.620405
17.331680,15.950706
15.041400,13.866582
15.246013,14.973148
12.844655,11.696523
12.386740,11.240834
11.610495,10.459035
10.730390,9.625516
62.242874,11.935025
12.185217,8.475901
7.778349,7.097878
6.462291,5.865547
5.177603,4.753778
3.708781,3.482248
2.633231,2.532954
1.890527,1.851490
1.426235,1.399713
1.208812,1.207953
1.163887,1.174426
1.107882,1.115600
1.848679,2.764411
1.093155,1.095593
8.102756,12.277289
1.649403,1.661428
1.252306,1.233777
74.424522,79.918823
