#                                                                                
# Lorentzian broadening with gamma= 0.050000  [eV]
# Im(epsilon) shifted by   0.0000   [eV]
# No intraband contributions added
#
# Energy [eV]    eloss_xx      eloss_zz
#
   0.013610  0.463142E-03  0.477489E-03
   0.040820  0.472740E-03  0.483401E-03
   0.068030  0.482521E-03  0.489388E-03
   0.095240  0.492493E-03  0.495452E-03
   0.122450  0.502665E-03  0.501596E-03
   0.149660  0.513045E-03  0.507821E-03
   0.176870  0.523642E-03  0.514132E-03
   0.204090  0.534471E-03  0.520532E-03
   0.231300  0.545534E-03  0.527020E-03
   0.258510  0.556848E-03  0.533601E-03
   0.285720  0.568423E-03  0.540278E-03
   0.312930  0.580275E-03  0.547055E-03
   0.340140  0.592417E-03  0.553934E-03
   0.367350  0.604865E-03  0.560920E-03
   0.394570  0.617641E-03  0.568018E-03
   0.421780  0.630755E-03  0.575228E-03
   0.448990  0.644230E-03  0.582555E-03
   0.476200  0.658089E-03  0.590006E-03
   0.503410  0.672356E-03  0.597583E-03
   0.530620  0.687059E-03  0.605293E-03
   0.557830  0.702226E-03  0.613139E-03
   0.585040  0.717889E-03  0.621129E-03
   0.612260  0.734092E-03  0.629269E-03
   0.639470  0.750861E-03  0.637562E-03
   0.666680  0.768249E-03  0.646015E-03
   0.693890  0.786305E-03  0.654637E-03
   0.721100  0.805086E-03  0.663434E-03
   0.748310  0.824656E-03  0.672414E-03
   0.775520  0.845088E-03  0.681587E-03
   0.802740  0.866475E-03  0.690963E-03
   0.829950  0.888896E-03  0.700546E-03
   0.857160  0.912470E-03  0.710351E-03
   0.884370  0.937327E-03  0.720387E-03
   0.911580  0.963617E-03  0.730666E-03
   0.938790  0.991521E-03  0.741202E-03
   0.966000  0.102125E-02  0.752009E-03
   0.993220  0.105307E-02  0.763106E-03
   1.020430  0.108728E-02  0.774500E-03
   1.047640  0.112425E-02  0.786213E-03
   1.074850  0.116447E-02  0.798265E-03
   1.102060  0.120852E-02  0.810676E-03
   1.129270  0.125715E-02  0.823470E-03
   1.156480  0.131136E-02  0.836672E-03
   1.183700  0.137245E-02  0.850315E-03
   1.210910  0.144214E-02  0.864419E-03
   1.238120  0.152286E-02  0.879023E-03
   1.265330  0.161809E-02  0.894167E-03
   1.292540  0.173296E-02  0.909894E-03
   1.319750  0.187542E-02  0.926252E-03
   1.346960  0.205843E-02  0.943300E-03
   1.374180  0.230459E-02  0.961113E-03
   1.401390  0.265540E-02  0.979763E-03
   1.428600  0.319084E-02  0.999365E-03
   1.455810  0.404043E-02  0.102007E-02
   1.483020  0.526711E-02  0.104210E-02
   1.510230  0.671865E-02  0.106567E-02
   1.537440  0.826373E-02  0.109098E-02
   1.564660  0.985158E-02  0.111814E-02
   1.591870  0.112921E-01  0.114715E-02
   1.619080  0.123916E-01  0.117807E-02
   1.646290  0.131674E-01  0.121103E-02
   1.673500  0.137022E-01  0.124628E-02
   1.700710  0.140521E-01  0.128407E-02
   1.727920  0.142676E-01  0.132469E-02
   1.755130  0.143796E-01  0.136864E-02
   1.782350  0.144055E-01  0.141662E-02
   1.809560  0.143636E-01  0.146943E-02
   1.836770  0.142672E-01  0.152819E-02
   1.863980  0.141242E-01  0.159464E-02
   1.891190  0.139435E-01  0.167174E-02
   1.918400  0.137332E-01  0.176453E-02
   1.945610  0.135011E-01  0.187994E-02
   1.972830  0.132592E-01  0.202104E-02
   2.000040  0.130207E-01  0.218282E-02
   2.027250  0.128032E-01  0.236279E-02
   2.054460  0.126479E-01  0.256485E-02
   2.081670  0.126436E-01  0.279769E-02
   2.108880  0.128874E-01  0.307319E-02
   2.136090  0.133565E-01  0.340559E-02
   2.163310  0.139183E-01  0.382157E-02
   2.190520  0.144069E-01  0.435986E-02
   2.217730  0.148179E-01  0.507478E-02
   2.244940  0.152132E-01  0.605271E-02
   2.272150  0.156214E-01  0.743296E-02
   2.299360  0.160962E-01  0.937412E-02
   2.326570  0.167036E-01  0.117812E-01
   2.353790  0.174208E-01  0.140338E-01
   2.381000  0.181348E-01  0.157108E-01
   2.408210  0.187690E-01  0.169653E-01
   2.435420  0.193178E-01  0.180826E-01
   2.462630  0.198021E-01  0.191250E-01
   2.489840  0.202755E-01  0.201202E-01
   2.517050  0.208401E-01  0.211048E-01
   2.544270  0.216005E-01  0.221205E-01
   2.571480  0.226732E-01  0.232147E-01
   2.598690  0.241103E-01  0.244371E-01
   2.625900  0.258429E-01  0.257479E-01
   2.653110  0.277661E-01  0.269416E-01
   2.680320  0.296153E-01  0.278542E-01
   2.707530  0.311946E-01  0.285148E-01
   2.734750  0.324630E-01  0.289775E-01
   2.761960  0.334806E-01  0.292324E-01
   2.789170  0.343396E-01  0.292918E-01
   2.816380  0.350685E-01  0.292458E-01
   2.843590  0.357051E-01  0.291455E-01
   2.870800  0.363389E-01  0.290005E-01
   2.898010  0.371113E-01  0.288310E-01
   2.925220  0.384272E-01  0.286674E-01
   2.952440  0.411841E-01  0.285479E-01
   2.979650  0.461915E-01  0.285443E-01
   3.006860  0.527541E-01  0.287977E-01
   3.034070  0.591429E-01  0.295863E-01
   3.061280  0.641601E-01  0.311493E-01
   3.088490  0.675998E-01  0.331937E-01
   3.115700  0.696933E-01  0.351893E-01
   3.142920  0.712317E-01  0.366422E-01
   3.170130  0.721597E-01  0.374506E-01
   3.197340  0.723201E-01  0.380598E-01
   3.224550  0.723480E-01  0.387672E-01
   3.251760  0.731879E-01  0.388843E-01
   3.278970  0.750259E-01  0.377164E-01
   3.306180  0.775435E-01  0.357787E-01
   3.333400  0.803722E-01  0.338673E-01
   3.360610  0.829979E-01  0.323730E-01
   3.387820  0.848264E-01  0.313732E-01
   3.415030  0.855304E-01  0.307850E-01
   3.442240  0.851129E-01  0.305063E-01
   3.469450  0.839787E-01  0.304415E-01
   3.496660  0.827289E-01  0.305317E-01
   3.523880  0.815572E-01  0.307751E-01
   3.551090  0.801828E-01  0.312021E-01
   3.578300  0.780454E-01  0.317399E-01
   3.605510  0.750208E-01  0.319972E-01
   3.632720  0.717211E-01  0.317247E-01
   3.659930  0.688485E-01  0.311940E-01
   3.687140  0.666386E-01  0.306733E-01
   3.714360  0.649954E-01  0.302929E-01
   3.741570  0.640003E-01  0.301524E-01
   3.768780  0.638786E-01  0.303868E-01
   3.795990  0.645271E-01  0.311289E-01
   3.823200  0.655194E-01  0.322012E-01
   3.850410  0.665891E-01  0.330827E-01
   3.877620  0.676314E-01  0.335462E-01
   3.904840  0.686676E-01  0.337952E-01
   3.932050  0.697555E-01  0.340268E-01
   3.959260  0.708820E-01  0.342961E-01
   3.986470  0.718884E-01  0.345822E-01
   4.013680  0.725969E-01  0.347272E-01
   4.040890  0.728889E-01  0.344767E-01
   4.068100  0.727170E-01  0.338705E-01
   4.095310  0.721377E-01  0.330305E-01
   4.122530  0.712086E-01  0.319393E-01
   4.149740  0.699601E-01  0.305868E-01
   4.176950  0.684129E-01  0.290232E-01
   4.204160  0.665810E-01  0.273738E-01
   4.231370  0.644461E-01  0.256966E-01
   4.258580  0.619885E-01  0.240676E-01
   4.285790  0.595921E-01  0.226101E-01
   4.313010  0.582778E-01  0.214107E-01
   4.340220  0.586644E-01  0.204948E-01
   4.367430  0.602435E-01  0.198073E-01
   4.394640  0.625214E-01  0.192580E-01
   4.421850  0.648551E-01  0.189253E-01
   4.449060  0.671089E-01  0.189124E-01
   4.476270  0.693268E-01  0.192733E-01
   4.503490  0.713481E-01  0.199082E-01
   4.530700  0.730385E-01  0.207857E-01
   4.557910  0.745193E-01  0.218700E-01
   4.585120  0.759797E-01  0.231184E-01
   4.612330  0.773420E-01  0.246948E-01
   4.639540  0.784402E-01  0.267284E-01
   4.666750  0.792514E-01  0.289034E-01
   4.693970  0.797993E-01  0.308369E-01
   4.721180  0.800564E-01  0.324891E-01
   4.748390  0.802456E-01  0.339108E-01
   4.775600  0.805969E-01  0.352408E-01
   4.802810  0.810970E-01  0.367060E-01
   4.830020  0.817215E-01  0.383927E-01
   4.857230  0.824766E-01  0.402405E-01
   4.884450  0.831960E-01  0.420819E-01
   4.911660  0.838706E-01  0.437562E-01
   4.938870  0.846717E-01  0.451488E-01
   4.966080  0.855157E-01  0.462512E-01
   4.993290  0.861510E-01  0.471235E-01
   5.020500  0.866878E-01  0.478097E-01
   5.047710  0.873643E-01  0.482799E-01
   5.074930  0.880924E-01  0.484900E-01
   5.102140  0.886384E-01  0.484706E-01
   5.129350  0.888289E-01  0.484840E-01
   5.156560  0.886947E-01  0.491374E-01
   5.183770  0.883638E-01  0.509019E-01
   5.210980  0.879143E-01  0.534051E-01
   5.238190  0.873507E-01  0.557539E-01
   5.265400  0.870116E-01  0.574710E-01
   5.292620  0.878756E-01  0.582949E-01
   5.319830  0.900745E-01  0.579488E-01
   5.347040  0.929833E-01  0.565691E-01
   5.374250  0.963146E-01  0.550447E-01
   5.401460  0.999594E-01  0.543284E-01
   5.428670  0.104152E+00  0.541120E-01
   5.455880  0.108329E+00  0.533648E-01
   5.483100  0.110755E+00  0.523042E-01
   5.510310  0.109985E+00  0.516485E-01
   5.537520  0.106696E+00  0.515207E-01
   5.564730  0.103851E+00  0.518554E-01
   5.591940  0.102738E+00  0.525221E-01
   5.619150  0.102462E+00  0.534571E-01
   5.646360  0.102173E+00  0.545987E-01
   5.673580  0.101422E+00  0.558922E-01
   5.700790  0.100277E+00  0.574945E-01
   5.728000  0.988980E-01  0.596259E-01
   5.755210  0.974335E-01  0.621692E-01
   5.782420  0.959959E-01  0.648512E-01
   5.809630  0.946904E-01  0.675524E-01
   5.836840  0.937224E-01  0.702690E-01
   5.864060  0.933465E-01  0.731210E-01
   5.891270  0.937814E-01  0.762339E-01
   5.918480  0.948408E-01  0.795199E-01
   5.945690  0.961764E-01  0.827130E-01
   5.972900  0.979394E-01  0.856888E-01
   6.000110  0.100279E+00  0.884183E-01
   6.027320  0.102674E+00  0.908404E-01
   6.054540  0.104175E+00  0.930066E-01
   6.081750  0.104507E+00  0.952119E-01
   6.108960  0.104687E+00  0.979377E-01
   6.136170  0.105728E+00  0.101439E+00
   6.163380  0.107721E+00  0.105658E+00
   6.190590  0.110434E+00  0.110548E+00
   6.217800  0.113639E+00  0.116040E+00
   6.245020  0.117038E+00  0.121945E+00
   6.272230  0.120308E+00  0.127997E+00
   6.299440  0.123523E+00  0.133972E+00
   6.326650  0.126996E+00  0.139810E+00
   6.353860  0.131033E+00  0.145708E+00
   6.381070  0.135587E+00  0.151525E+00
   6.408280  0.140021E+00  0.156733E+00
   6.435490  0.143926E+00  0.161025E+00
   6.462710  0.147428E+00  0.164289E+00
   6.489920  0.150675E+00  0.166376E+00
   6.517130  0.153707E+00  0.167236E+00
   6.544340  0.156326E+00  0.166995E+00
   6.571550  0.158259E+00  0.166255E+00
   6.598760  0.159378E+00  0.166146E+00
   6.625970  0.159611E+00  0.166603E+00
   6.653190  0.159104E+00  0.167130E+00
   6.680400  0.158799E+00  0.167766E+00
   6.707610  0.159514E+00  0.168575E+00
   6.734820  0.161275E+00  0.169366E+00
   6.762030  0.163882E+00  0.169712E+00
   6.789240  0.167073E+00  0.169561E+00
   6.816450  0.171035E+00  0.169900E+00
   6.843670  0.175942E+00  0.171109E+00
   6.870880  0.180717E+00  0.172320E+00
   6.898090  0.183961E+00  0.173236E+00
   6.925300  0.185715E+00  0.173913E+00
   6.952510  0.186582E+00  0.173981E+00
   6.979720  0.186645E+00  0.172861E+00
   7.006930  0.185540E+00  0.170238E+00
   7.034150  0.184337E+00  0.166397E+00
   7.061360  0.184222E+00  0.162024E+00
   7.088570  0.185851E+00  0.157780E+00
   7.115780  0.188921E+00  0.154245E+00
   7.142990  0.192178E+00  0.151758E+00
   7.170200  0.194011E+00  0.150129E+00
   7.197410  0.193304E+00  0.149294E+00
   7.224630  0.190603E+00  0.149600E+00
   7.251840  0.186758E+00  0.151536E+00
   7.279050  0.182776E+00  0.155759E+00
   7.306260  0.179511E+00  0.161942E+00
   7.333470  0.176880E+00  0.168806E+00
   7.360680  0.174432E+00  0.175994E+00
   7.387890  0.171948E+00  0.184518E+00
   7.415110  0.168955E+00  0.193790E+00
   7.442320  0.165199E+00  0.202231E+00
   7.469530  0.161334E+00  0.207874E+00
   7.496740  0.157740E+00  0.208289E+00
   7.523950  0.154632E+00  0.203541E+00
   7.551160  0.153968E+00  0.197158E+00
   7.578370  0.157164E+00  0.191663E+00
   7.605580  0.164060E+00  0.187150E+00
   7.632800  0.174290E+00  0.183551E+00
   7.660010  0.186839E+00  0.181179E+00
   7.687220  0.200350E+00  0.180067E+00
