,Unnamed: 0,pred,pred_high,pred_low,dif4,sigma_dif4,dif4_high,dif4_low,dif4_median,match4,sigma_match4,match4_high,match4_low,match4_median,spectrum4,dif5,sigma_dif5,dif5_high,dif5_low,dif5_median,match5,sigma_match5,match5_high,match5_low,match5_median,spectrum5,dif6,sigma_dif6,dif6_high,dif6_low,dif6_median,match6,sigma_match6,match6_high,match6_low,match6_median,spectrum6,dif7,sigma_dif7,dif7_high,dif7_low,dif7_median,match7,sigma_match7,match7_high,match7_low,match7_median,spectrum7
0,0,45729.37165671736,39475.185149549914,51944.1179398981,0.0,0.0,0.0,0.0,0.0,32531.99724094912,5.448790135789677e-12,32531.997240949022,32531.997240949022,32531.997240949022,32531.997240949022,0.0,0.0,0.0,0.0,0.0,28825.921511165103,2.992098323039752e-12,28825.9215111651,28825.9215111651,28825.9215111651,28825.9215111651,0.0,0.0,0.0,0.0,0.0,58283.96745263503,8.457953800049812e-12,58283.967452635225,58283.967452635225,58283.967452635225,58283.967452635225,0.0,0.0,0.0,0.0,0.0,43781.82617907656,2.9283471259483453e-12,43781.826179076656,43781.826179076656,43781.826179076656,43781.826179076656
1,1,48087.18869287082,41330.68319030785,54662.619124958444,0.0,0.0,0.0,0.0,0.0,32531.99724094912,5.448790135789677e-12,32531.997240949022,32531.997240949022,32531.997240949022,32531.997240949022,0.0,0.0,0.0,0.0,0.0,28825.921511165103,2.992098323039752e-12,28825.9215111651,28825.9215111651,28825.9215111651,28825.9215111651,0.0,0.0,0.0,0.0,0.0,58283.967452635035,8.457953800049812e-12,58283.967452635225,58283.967452635225,58283.967452635225,58283.967452635225,0.0,0.0,0.0,0.0,0.0,43781.82617907656,2.9283471259483453e-12,43781.82617907666,43781.82617907666,43781.82617907666,43781.82617907666
2,2,50548.75661329358,43595.15557505492,57448.41464449162,0.0,0.0,0.0,0.0,0.0,32840.845536034554,5.688290131161976e-12,32840.845536034445,32840.845536034445,32840.845536034445,32840.845536034445,0.0,0.0,0.0,0.0,0.0,29142.061316152784,3.0620894953550812e-12,29142.06131615277,29142.06131615277,29142.06131615277,29142.06131615277,0.0,0.0,0.0,0.0,0.0,58697.75700512418,8.412862268078192e-12,58697.757005124346,58697.757005124346,58697.757005124346,58697.757005124346,0.0,0.0,0.0,0.0,0.0,44038.313968577335,2.9015016105108704e-12,44038.313968577444,44038.313968577444,44038.313968577444,44038.313968577444
3,3,53200.133244812816,45754.58343238597,60561.92958671782,0.0,0.0,0.0,0.0,0.0,33451.05910169342,6.120587557350781e-12,33451.0591016933,33451.0591016933,33451.0591016933,33451.0591016933,0.0,0.0,0.0,0.0,0.0,29773.186227129663,3.2152362342723172e-12,29773.186227129645,29773.186227129645,29773.186227129645,29773.186227129645,0.0,0.0,0.0,0.0,0.0,59507.79742787362,8.32756557129129e-12,59507.79742787378,59507.79742787378,59507.79742787378,59507.79742787378,0.0,0.0,0.0,0.0,0.0,44538.56020395491,2.912966779280301e-12,44538.560203955,44538.560203955,44538.560203955,44538.560203955
4,4,56060.73804259593,48282.33921245708,63542.257595749856,0.0,0.0,0.0,0.0,0.0,34342.055289722244,6.6365892089472e-12,34342.05528972213,34342.05528972213,34342.05528972213,34342.05528972213,0.0,0.0,0.0,0.0,0.0,30709.18304190621,3.4764407619770463e-12,30709.18304190618,30709.18304190618,30709.18304190618,30709.18304190618,0.0,0.0,0.0,0.0,0.0,60686.03421165207,8.294303025628098e-12,60686.034211652186,60686.034211652186,60686.034211652186,60686.034211652186,0.0,0.0,0.0,0.0,0.0,45261.54723087536,3.0237472748156914e-12,45261.54723087546,45261.54723087546,45261.54723087546,45261.54723087546
5,5,59152.599579931455,51059.734958670924,67279.3746590675,0.0,0.0,0.0,0.0,0.0,35482.69938925399,7.118131228914548e-12,35482.699389253874,35482.699389253874,35482.699389253874,35482.699389253874,0.0,0.0,0.0,0.0,0.0,31929.551631289625,3.838146538718496e-12,31929.55163128958,31929.55163128958,31929.55163128958,31929.55163128958,0.0,0.0,0.0,0.0,0.0,62199.595253664775,8.378926215528442e-12,62199.59525366483,62199.59525366483,62199.59525366483,62199.59525366483,0.0,0.0,0.0,0.0,0.0,46180.84867222644,3.2633363591530427e-12,46180.84867222655,46180.84867222655,46180.84867222655,46180.84867222655
6,6,62499.87277869659,53979.87117299745,70867.69291400707,0.0,0.0,0.0,0.0,0.0,36839.578102997526,7.471533019831304e-12,36839.57810299742,36839.57810299742,36839.57810299742,36839.57810299742,0.0,0.0,0.0,0.0,0.0,33408.6763651216,4.240408107311455e-12,33408.676365121544,33408.676365121544,33408.676365121544,33408.676365121544,0.0,0.0,0.0,0.0,0.0,64007.00160034288,8.63451197679818e-12,64007.0016003429,64007.0016003429,64007.0016003429,64007.0016003429,0.0,0.0,0.0,0.0,0.0,47267.524505090485,3.6057708373967215e-12,47267.524505090594,47267.524505090594,47267.524505090594,47267.524505090594
7,7,66123.86799308617,57009.670339167125,75030.91912014544,0.0,0.0,0.0,0.0,0.0,38387.48278538478,7.679247037889741e-12,38387.48278538468,38387.48278538468,38387.48278538468,38387.48278538468,0.0,0.0,0.0,0.0,0.0,35119.324304993264,4.6707577208153495e-12,35119.324304993206,35119.324304993206,35119.324304993206,35119.324304993206,0.0,0.0,0.0,0.0,0.0,66059.51260628336,9.116359721709556e-12,66059.51260628334,66059.51260628334,66059.51260628334,66059.51260628334,0.0,0.0,0.0,0.0,0.0,48493.22864403702,4.013942620410637e-12,48493.22864403712,48493.22864403712,48493.22864403712,48493.22864403712
8,8,70062.65640033843,60616.626553781076,79051.57863338383,0.0,0.0,0.0,0.0,0.0,40109.885761863065,7.729138758134098e-12,40109.88576186296,40109.88576186296,40109.88576186296,40109.88576186296,0.0,0.0,0.0,0.0,0.0,37033.858475005065,5.103309344876651e-12,37033.858475005014,37033.858475005014,37033.858475005014,37033.858475005014,0.0,0.0,0.0,0.0,0.0,68310.60804392525,9.875998889622722e-12,68310.60804392521,68310.60804392521,68310.60804392521,68310.60804392521,0.0,0.0,0.0,0.0,0.0,49832.198164837675,4.464368985899339e-12,49832.19816483778,49832.19816483778,49832.19816483778,49832.19816483778
9,9,74355.50625972982,64633.592509471375,83849.39064318824,0.0,0.0,0.0,0.0,0.0,41996.57069339359,7.63655066235797e-12,41996.57069339352,41996.57069339352,41996.57069339352,41996.57069339352,0.0,0.0,0.0,0.0,0.0,39128.20605037978,5.501563811214273e-12,39128.206050379726,39128.206050379726,39128.206050379726,39128.206050379726,0.0,0.0,0.0,0.0,0.0,70725.01258029383,1.0872608837341893e-11,70725.01258029378,70725.01258029378,70725.01258029378,70725.01258029378,0.0,0.0,0.0,0.0,0.0,51266.93562462836,4.928988271908837e-12,51266.93562462843,51266.93562462843,51266.93562462843,51266.93562462843
