,pred,pred_high,pred_low,dif15,sigma_dif15,dif15_high,dif15_low,dif15_median,match15,sigma_match15,match15_high,match15_low,match15_median,spectrum15
0,614851.3350053296,529042.5180346527,703301.9235850563,0.0,0.0,0.0,0.0,0.0,530658.6324432874,0.0,530658.6324432874,530658.6324432874,530658.6324432874,530658.6324432874
1,758339.5075667219,648166.1696133461,875630.0820779707,0.0,0.0,0.0,0.0,0.0,530658.6324432874,0.0,530658.6324432874,530658.6324432874,530658.6324432874,530658.6324432874
2,929989.2685949298,788028.2457947173,1084966.2011336773,0.0,0.0,0.0,0.0,0.0,623490.219661077,0.0,623490.219661077,623490.219661077,623490.219661077,623490.219661077
3,1126180.2720548685,946440.2136940408,1316475.9852513,0.0,0.0,0.0,0.0,0.0,765747.6559036854,0.0,765747.6559036854,765747.6559036854,765747.6559036854,765747.6559036854
4,1339257.0290539162,1128145.0706188548,1548066.6334181617,0.0,0.0,0.0,0.0,0.0,929392.1826828062,0.0,929392.1826828062,929392.1826828062,929392.1826828062,929392.1826828062
5,1559801.0941279228,1328782.3755638243,1796823.3691281814,0.0,0.0,0.0,0.0,0.0,1111865.6057071795,0.0,1111865.6057071795,1111865.6057071795,1111865.6057071795,1111865.6057071795
6,1773115.9690840621,1540956.03440409,2007388.5370523743,0.0,0.0,0.0,0.0,0.0,1309991.9970674503,0.0,1309991.9970674503,1309991.9970674503,1309991.9970674503,1309991.9970674503
7,1961568.097723198,1748001.9214526697,2178130.05794089,0.0,0.0,0.0,0.0,0.0,1518391.3750216337,0.0,1518391.3750216337,1518391.3750216337,1518391.3750216337,1518391.3750216337
8,2118311.1435487005,1915561.427914293,2316760.107645853,0.0,0.0,0.0,0.0,0.0,1726526.279200517,0.0,1726526.279200517,1726526.279200517,1726526.279200517,1726526.279200517
9,2240730.6104936204,2020998.4501410339,2440178.029157148,0.0,0.0,0.0,0.0,0.0,1918530.4902504643,0.0,1918530.4902504643,1918530.4902504643,1918530.4902504643,1918530.4902504643
10,2330857.522440715,2109505.770239488,2520123.3578973077,0.0,0.0,0.0,0.0,0.0,2077900.2784012726,0.0,2077900.2784012726,2077900.2784012726,2077900.2784012726,2077900.2784012726
11,2373672.412020233,2113098.028414314,2570135.3764550705,0.0,0.0,0.0,0.0,0.0,2193639.6328698075,0.0,2193639.6328698075,2193639.6328698075,2193639.6328698075,2193639.6328698075
12,2349818.9521009745,2083210.1909444,2562669.7167117707,0.0,0.0,0.0,0.0,0.0,2262186.73738161,0.0,2262186.73738161,2262186.73738161,2262186.73738161,2262186.73738161
13,2284056.3851815155,2041084.6859927631,2512073.96298444,0.0,0.0,0.0,0.0,0.0,2284009.9339827355,0.0,2284009.9339827355,2284009.9339827355,2284009.9339827355,2284009.9339827355
14,2198350.444988415,1978578.527630964,2423333.3249376,0.0,0.0,0.0,0.0,0.0,2260445.312109989,0.0,2260445.312109989,2260445.312109989,2260445.312109989,2260445.312109989
15,2098511.704264595,1907458.95571385,2302230.1373822847,0.0,0.0,0.0,0.0,0.0,2196427.349830533,0.0,2196427.349830533,2196427.349830533,2196427.349830533,2196427.349830533
16,1989404.0978314215,1811966.6802793376,2173004.744499448,0.0,0.0,0.0,0.0,0.0,2102088.5698103434,0.0,2102088.5698103434,2102088.5698103434,2102088.5698103434,2102088.5698103434
17,1874540.4126881545,1709120.9597931488,2035893.9953888424,0.0,0.0,0.0,0.0,0.0,1989726.7835789137,0.0,1989726.7835789137,1989726.7835789137,1989726.7835789137,1989726.7835789137
18,1756986.8578584848,1605328.6590446543,1892962.4742326252,0.0,0.0,0.0,0.0,0.0,1870145.9059912988,0.0,1870145.9059912988,1870145.9059912988,1870145.9059912988,1870145.9059912988
19,1640040.7479828533,1503635.9003739029,1769567.0734001438,0.0,0.0,0.0,0.0,0.0,1750305.348710399,0.0,1750305.348710399,1750305.348710399,1750305.348710399,1750305.348710399
20,1523392.1861513632,1386079.436375416,1644451.4038212385,0.0,0.0,0.0,0.0,0.0,1631858.7132289314,0.0,1631858.7132289314,1631858.7132289314,1631858.7132289314,1631858.7132289314
21,1406026.8513011045,1274592.0040287934,1520665.1713619644,0.0,0.0,0.0,0.0,0.0,1513799.4245384836,0.0,1513799.4245384836,1513799.4245384836,1513799.4245384836,1513799.4245384836
22,1291128.6657658885,1164922.3802802793,1393805.468569495,0.0,0.0,0.0,0.0,0.0,1397272.1494567576,0.0,1397272.1494567576,1397272.1494567576,1397272.1494567576,1397272.1494567576
23,1179462.5310299348,1063329.9977548455,1278099.6512399148,0.0,0.0,0.0,0.0,0.0,1284473.212129225,0.0,1284473.212129225,1284473.212129225,1284473.212129225,1284473.212129225
24,1071921.1440719014,963389.302151918,1161713.265211986,0.0,0.0,0.0,0.0,0.0,1174936.803398875,0.0,1174936.803398875,1174936.803398875,1174936.803398875,1174936.803398875
25,970247.4466025844,868935.2026658205,1053612.760829957,0.0,0.0,0.0,0.0,0.0,1067327.4033774824,0.0,1067327.4033774824,1067327.4033774824,1067327.4033774824,1067327.4033774824
26,874745.5058531134,779118.358680204,953574.9601024687,0.0,0.0,0.0,0.0,0.0,963108.5141005248,0.0,963108.5141005248,963108.5141005248,963108.5141005248,963108.5141005248
27,785023.1513387661,698101.9236061226,853188.8357364994,0.0,0.0,0.0,0.0,0.0,864873.5181658344,0.0,864873.5181658344,864873.5181658344,864873.5181658344,864873.5181658344
28,701317.970197047,624144.5649271947,764754.3379902056,0.0,0.0,0.0,0.0,0.0,773550.2619352445,0.0,773550.2619352445,773550.2619352445,773550.2619352445,773550.2619352445
29,624370.6022112719,554353.2202627569,680886.9221603938,0.0,0.0,0.0,0.0,0.0,689025.0873147934,0.0,689025.0873147934,689025.0873147934,689025.0873147934,689025.0873147934
30,554456.8024217074,492508.7268927106,608548.3958696518,0.0,0.0,0.0,0.0,0.0,611729.2708229184,0.0,611729.2708229184,611729.2708229184,611729.2708229184,611729.2708229184
31,491366.53492874326,435565.76123977813,541220.8526424873,0.0,0.0,0.0,0.0,0.0,542341.2423657527,0.0,542341.2423657527,542341.2423657527,542341.2423657527,542341.2423657527
32,434565.4064971299,385545.2338671387,478716.25333204423,0.0,0.0,0.0,0.0,0.0,480492.6091315329,0.0,480492.6091315329,480492.6091315329,480492.6091315329,480492.6091315329
